Date,OXY Raw Price,KMI Raw Price,OXY Log Price,KMI Log Price,Residual,Spread,Beta
2025-03-13,45.1977,26.2542,3.81105,3.26783,-0.0370785,18.9435,0.140638
2025-03-14,46.2717,26.8082,3.83453,3.28871,-0.0195006,19.4636,0.140638
2025-03-17,46.9977,27.4908,3.8501,3.31385,0.00345262,19.5069,0.140638
2025-03-18,47.3855,27.2237,3.85832,3.30409,-0.00746648,20.1619,0.140638
2025-03-19,47.6938,27.5501,3.8648,3.31601,0.0035415,20.1437,0.140638
2025-03-20,47.6938,27.7578,3.8648,3.32352,0.0110536,19.936,0.140638
2025-03-21,47.6739,27.6292,3.86438,3.31887,0.0064686,20.0447,0.140638
2025-03-24,47.654,28.4008,3.86397,3.34642,0.0340713,19.2532,0.140638
2025-03-25,48.738,28.5196,3.88646,3.35059,0.0350793,20.2184,0.140638
2025-03-26,49.4739,28.1733,3.90144,3.33838,0.0207571,21.3005,0.140638
2025-03-27,49.2352,27.926,3.89661,3.32956,0.0126204,21.3092,0.140638
2025-03-28,48.559,28.0645,3.88278,3.33451,0.0195125,20.4945,0.140638
2025-03-31,49.086,28.2228,3.89357,3.34013,0.0236181,20.8632,0.140638
2025-04-01,48.917,28.3217,3.89012,3.34363,0.0276023,20.5953,0.140638
2025-04-02,49.0562,28.6086,3.89297,3.35371,0.0372808,20.4476,0.140638
2025-04-03,43.6563,27.4215,3.77635,3.31133,0.0113025,16.2348,0.140638
2025-04-04,40.315,25.0177,3.69672,3.21958,-0.0692442,15.2973,0.140638
2025-04-07,38.5349,25.0968,3.65156,3.22274,-0.0597349,13.4381,0.140638
2025-04-08,35.9096,24.9385,3.581,3.21641,-0.056138,10.971,0.140638
2025-04-09,40.0067,25.9673,3.68905,3.25684,-0.0309077,14.0394,0.140638
2025-04-10,36.2676,25.5123,3.59092,3.23916,-0.034787,10.7553,0.140638
2025-04-11,37.4609,26.185,3.6233,3.26519,-0.0133149,11.2759,0.140638
2025-04-14,37.6896,26.5114,3.62939,3.27758,-0.00178111,11.1782,0.140638
2025-04-15,37.5902,26.9269,3.62674,3.29313,0.0141406,10.6633,0.140638
2025-04-16,38.2366,26.6598,3.64379,3.28316,0.00177409,11.5768,0.140638
2025-04-17,39.4896,26.8082,3.67604,3.28871,0.00278972,12.6814,0.140638
2025-04-21,38.8034,25.5123,3.65851,3.23916,-0.0442919,13.2911,0.140638
2025-04-22,39.7481,26.3136,3.68256,3.27008,-0.0167506,13.4346,0.140638
2025-04-23,39.6089,26.3136,3.67905,3.27008,-0.0162571,13.2954,0.140638
2025-04-24,40.1459,26.5807,3.69252,3.28018,-0.0080518,13.5653,0.140638
2025-04-25,40.136,26.5609,3.69227,3.27944,-0.00876158,13.5751,0.140638
2025-04-28,40.2851,26.7785,3.69598,3.2876,-0.00112302,13.5066,0.140638
2025-04-29,40.126,26.917,3.69203,3.29276,0.00459193,13.209,0.140638
2025-04-30,39.1913,26.3,3.66845,3.26957,-0.0152821,12.8913,0.140638
2025-05-01,40.2155,26.3,3.69425,3.26957,-0.0189105,13.9155,0.140638
2025-05-02,40.3846,26.83,3.69845,3.28952,0.000451285,13.5546,0.140638
2025-05-05,38.5946,26.87,3.65311,3.29101,0.00831711,11.7246,0.140638
2025-05-06,39.062,27.21,3.66515,3.30358,0.0191982,11.852,0.140638
2025-05-07,38.7935,27.62,3.65825,3.31854,0.0351239,11.1735,0.140638
2025-05-08,41.21,27.04,3.71868,3.29732,0.00540249,14.17,0.140638
2025-05-09,41.926,27.31,3.73591,3.30725,0.0129156,14.616,0.140638
2025-05-12,43.6166,27.31,3.77544,3.30725,0.00735603,16.3066,0.140638
2025-05-13,44.1436,27.5,3.78745,3.31419,0.0125998,16.6436,0.140638
2025-05-14,43.5768,27.46,3.77452,3.31273,0.0129618,16.1168,0.140638
2025-05-15,43.1293,28,3.7642,3.3322,0.0338877,15.1293,0.140638
2025-05-16,42.8011,28.09,3.75656,3.33541,0.038171,14.7111,0.140638
2025-05-19,42.0752,28,3.73946,3.3322,0.0373677,14.0752,0.140638
2025-05-20,41.6674,27.98,3.72972,3.33149,0.0380226,13.6874,0.140638
2025-05-21,40.9017,27.47,3.71117,3.31309,0.0222357,13.4317,0.140638
2025-05-22,40.852,27.34,3.70996,3.30835,0.0176631,13.512,0.140638
2025-05-23,41.0608,27.86,3.71505,3.32719,0.0357872,13.2008,0.140638
2025-05-27,41.389,28.19,3.72301,3.33897,0.046443,13.199,0.140638
2025-05-28,40.8918,27.95,3.71093,3.33042,0.0395927,12.9418,0.140638
2025-05-29,41.2299,27.92,3.71916,3.32934,0.0373606,13.3099,0.140638
2025-05-30,40.5536,28.04,3.70263,3.33363,0.0439752,12.5136,0.140638
2025-06-02,41.21,28.65,3.71868,3.35515,0.0632386,12.56,0.140638
2025-06-03,42.453,28.56,3.7484,3.35201,0.0559128,13.893,0.140638
2025-06-04,41.6774,28.03,3.72996,3.33328,0.0397745,13.6474,0.140638
2025-06-05,41.5879,28.24,3.72781,3.34074,0.0475408,13.3479,0.140638
2025-06-06,42.3039,28.14,3.74488,3.33719,0.0415928,14.1639,0.140638
2025-06-09,43,27.53,3.7612,3.31528,0.0173817,15.47,0.140638
2025-06-10,43.91,27.38,3.78214,3.30981,0.00897289,16.53,0.140638
2025-06-11,44.84,27.52,3.8031,3.31491,0.0111256,17.32,0.140638
2025-06-12,44.76,27.66,3.80131,3.31999,0.016451,17.1,0.140638
2025-06-13,46.45,27.64,3.83838,3.31926,0.0105154,18.81,0.140638
