Date,XOM Raw Price,WMB Raw Price,XOM Log Price,WMB Log Price,Residual,Spread,Beta
2025-05-08,105.102,56.5851,4.65493,4.03575,-0.00592126,48.5169,0.219781
2025-05-09,106.331,57.1801,4.66655,4.04621,0.00198471,49.1505,0.219781
2025-05-12,108.164,56.6546,4.68365,4.03697,-0.0110063,51.5092,0.219781
2025-05-13,108.461,57.5867,4.68639,4.05329,0.00471029,50.8743,0.219781
2025-05-14,107.49,57.7156,4.6774,4.05553,0.00892302,49.7744,0.219781
2025-05-15,108.58,58.2809,4.68749,4.06527,0.0164518,50.2991,0.219781
2025-05-16,108.19,58.3007,4.68389,4.06561,0.0175828,49.8893,0.219781
2025-05-19,106.47,58.0528,4.66786,4.06135,0.0168435,48.4172,0.219781
2025-05-20,104.95,58.2809,4.65348,4.06527,0.023925,46.6691,0.219781
2025-05-21,103.66,57.4479,4.64112,4.05088,0.012247,46.2121,0.219781
2025-05-22,102.97,57.2694,4.63444,4.04777,0.0106028,45.7006,0.219781
2025-05-23,103.03,58.4991,4.63502,4.06901,0.0317194,44.5309,0.219781
2025-05-27,103.52,59.5998,4.63976,4.08765,0.0493185,43.9202,0.219781
2025-05-28,102.11,60.1155,4.62605,4.09627,0.0609476,41.9945,0.219781
2025-05-29,102.69,59.7684,4.63171,4.09048,0.0539124,42.9216,0.219781
2025-05-30,102.3,60.0064,4.62791,4.09445,0.0587228,42.2936,0.219781
2025-06-02,103.05,60.7601,4.63521,4.10693,0.0695991,42.2899,0.219781
2025-06-03,103.8,60.6014,4.64247,4.10432,0.0653905,43.1986,0.219781
2025-06-04,102.3,59.6197,4.62791,4.08799,0.0522568,42.6803,0.219781
2025-06-05,101.83,60.056,4.6233,4.09528,0.0605609,41.774,0.219781
2025-06-06,104.27,60.056,4.64698,4.09528,0.0553568,44.214,0.219781
2025-06-09,104.97,59.1635,4.65367,4.0803,0.0389133,45.8065,0.219781
2025-06-10,107.22,58.4693,4.67488,4.0685,0.0224496,48.7507,0.219781
2025-06-11,109.31,58.9255,4.69419,4.07627,0.0259784,50.3845,0.219781
2025-06-12,109.73,59.58,4.69802,4.08732,0.0361817,50.15,0.219781
2025-06-13,112.12,59.78,4.71957,4.09067,0.0347973,52.34,0.219781
