Date,COP Raw Price,PSX Raw Price,COP Log Price,PSX Log Price,Residual,Spread,Beta
2025-04-07,84.947,95.6681,4.44203,4.56089,-0.106208,10.7211,0.819255
2025-04-08,81.9624,91.9836,4.40626,4.52161,-0.11618,10.0212,0.819255
2025-04-09,90.7378,102.146,4.50797,4.6264,-0.0947191,11.4079,0.819255
2025-04-10,82.5871,96.0643,4.41385,4.56502,-0.0789934,13.4772,0.819255
2025-04-11,85.661,96.4506,4.4504,4.56903,-0.104919,10.7896,0.819255
2025-04-14,85.7205,96.8864,4.45109,4.57354,-0.100979,11.1659,0.819255
2025-04-15,84.9966,95.2917,4.44261,4.55694,-0.110628,10.2951,0.819255
2025-04-16,85.6312,95.6483,4.45005,4.56068,-0.112987,10.0171,0.819255
2025-04-17,88.2291,98.1542,4.47994,4.58654,-0.111611,9.92504,0.819255
2025-04-21,86.8112,96.0841,4.46374,4.56522,-0.119653,9.27293,0.819255
2025-04-22,89.0025,99.937,4.48866,4.60454,-0.100761,10.9345,0.819255
2025-04-23,89.1711,101.799,4.49056,4.623,-0.0838499,12.6279,0.819255
2025-04-24,91.0253,103.691,4.51114,4.64141,-0.082298,12.6655,0.819255
2025-04-25,90.946,102.978,4.51027,4.63451,-0.0884849,12.0317,0.819255
2025-04-28,92.1458,104.77,4.52337,4.65177,-0.081963,12.6246,0.819255
2025-04-29,91.1046,104.988,4.51201,4.65385,-0.070576,13.8837,0.819255
2025-04-30,88.3679,103.067,4.48151,4.63538,-0.0640606,14.6989,0.819255
2025-05-01,89.885,102.473,4.49853,4.62959,-0.0837887,12.5875,0.819255
2025-05-02,90.6386,106.127,4.50688,4.66464,-0.0555839,15.4887,0.819255
2025-05-05,86.8707,105.88,4.46442,4.6623,-0.0231344,19.009,0.819255
2025-05-06,86.8905,104.384,4.46465,4.64808,-0.0375475,17.4936,0.819255
2025-05-07,86.9698,104.543,4.46556,4.64959,-0.036778,17.5728,0.819255
2025-05-08,88.0705,108.148,4.47814,4.6835,-0.0131762,20.0774,0.819255
2025-05-09,87.8424,109.861,4.47554,4.69922,0.00466775,22.019,0.819255
2025-05-12,91.4913,117.547,4.51624,4.76684,0.0389455,26.0559,0.819255
2025-05-13,93.3753,124.372,4.53663,4.82327,0.0786796,30.9962,0.819255
2025-05-14,91.7888,123.51,4.51949,4.81632,0.0857662,31.721,0.819255
2025-05-15,92.1755,123.579,4.52369,4.81688,0.0828831,31.4036,0.819255
2025-05-16,91.65,124.53,4.51798,4.82455,0.0952321,32.88,0.819255
2025-05-19,90.41,122.18,4.50435,4.8055,0.0873407,31.77,0.819255
2025-05-20,89.69,120.9,4.49636,4.79496,0.0833596,31.21,0.819255
2025-05-21,87.15,111.78,4.46763,4.71653,0.0284644,24.63,0.819255
2025-05-22,86.13,112.98,4.45586,4.72721,0.0487878,26.85,0.819255
2025-05-23,85.19,113.13,4.44488,4.72854,0.0591047,27.94,0.819255
2025-05-27,85.55,114.33,4.4491,4.73909,0.0662014,28.78,0.819255
2025-05-28,84.58,112.77,4.4377,4.72535,0.0618048,28.19,0.819255
2025-05-29,85.6,114.68,4.44969,4.74215,0.0687794,29.08,0.819255
2025-05-30,85.35,113.48,4.44676,4.73163,0.0606566,28.13,0.819255
2025-06-02,86.72,114.28,4.46268,4.73865,0.0546356,27.56,0.819255
2025-06-03,87.91,115.97,4.47631,4.75333,0.0581499,28.06,0.819255
2025-06-04,85.95,112.48,4.45377,4.72278,0.0460663,26.53,0.819255
2025-06-05,85.35,112.23,4.44676,4.72055,0.0495803,26.88,0.819255
2025-06-06,87.22,114.29,4.46843,4.73874,0.0500131,27.07,0.819255
2025-06-09,88.04,116.1,4.47779,4.75445,0.0580597,28.06,0.819255
2025-06-10,91.18,118.7,4.51284,4.7766,0.0514968,27.52,0.819255
2025-06-11,93.35,120.95,4.53636,4.79538,0.0510056,27.6,0.819255
2025-06-12,94.69,121.52,4.55061,4.80008,0.0440308,26.83,0.819255
2025-06-13,96.96,122.15,4.5743,4.80525,0.0297935,25.19,0.819255
