Date,VLO Raw Price,MTDR Raw Price,VLO Log Price,MTDR Log Price,Residual,Spread,Beta
2025-05-01,113.914,40.193,4.73544,3.69369,-0.0359832,73.7206,1.49996
2025-05-02,117.93,40.7886,4.77009,3.7084,-0.0732425,77.141,1.49996
2025-05-05,118.336,39.3592,4.77353,3.67273,-0.114078,78.9769,1.49996
2025-05-06,116.016,40.0342,4.75373,3.68973,-0.0673706,75.9816,1.49996
2025-05-07,115.966,39.7463,4.7533,3.68252,-0.0739461,76.2199,1.49996
2025-05-08,120.706,42.357,4.79336,3.74613,-0.0704157,78.349,1.49996
2025-05-09,121.896,42.75,4.80317,3.75537,-0.0758941,79.1459,1.49996
2025-05-12,129.392,44.69,4.86285,3.79975,-0.121033,84.7023,1.49996
2025-05-13,133.973,46.36,4.89764,3.83644,-0.136533,87.6134,1.49996
2025-05-14,133.19,45.89,4.89178,3.82625,-0.137927,87.3001,1.49996
2025-05-15,134.231,44.59,4.89956,3.79751,-0.178344,89.6412,1.49996
2025-05-16,134.598,44.54,4.90229,3.79639,-0.183561,90.0581,1.49996
2025-05-19,133.2,44.29,4.89185,3.79076,-0.173527,88.91,1.49996
2025-05-20,132.21,44.28,4.88439,3.79053,-0.162563,87.93,1.49996
2025-05-21,127.8,43.55,4.85047,3.77391,-0.1283,84.25,1.49996
2025-05-22,128.72,43.6,4.85764,3.77506,-0.137912,85.12,1.49996
2025-05-23,128.55,43.4,4.85632,3.77046,-0.140527,85.15,1.49996
2025-05-27,130.71,44.16,4.87298,3.78782,-0.148162,86.55,1.49996
2025-05-28,126.93,43.83,4.84364,3.78032,-0.111646,83.1,1.49996
2025-05-29,129.16,44.04,4.86105,3.7851,-0.132989,85.12,1.49996
2025-05-30,128.97,43.01,4.85958,3.76143,-0.154447,85.96,1.49996
2025-06-02,128.3,43.51,4.85437,3.77299,-0.135076,84.79,1.49996
2025-06-03,130.95,45.8,4.87482,3.82428,-0.114448,85.15,1.49996
2025-06-04,126.54,45.01,4.84056,3.80688,-0.0804636,81.53,1.49996
2025-06-05,126.88,44.77,4.84324,3.80154,-0.0898348,82.11,1.49996
2025-06-06,128.35,45.79,4.85476,3.82407,-0.0845856,82.56,1.49996
2025-06-09,128.26,46.66,4.85406,3.84289,-0.0647118,81.6,1.49996
2025-06-10,131.93,47.93,4.88227,3.86974,-0.0801742,84,1.49996
2025-06-11,134.06,49.02,4.89829,3.89223,-0.0817108,85.04,1.49996
2025-06-12,133.5,49.5,4.8941,3.90197,-0.0656877,84,1.49996
2025-06-13,134.11,51.64,4.89866,3.9443,-0.030202,82.47,1.49996
