Date,VLO Raw Price,AR Raw Price,VLO Log Price,AR Log Price,Residual,Spread,Beta
2025-03-28,130.374,39.69,4.87041,3.6811,0.0292467,90.684,0.726438
2025-03-31,130.959,40.44,4.87488,3.69982,0.0447143,90.519,0.726438
2025-04-01,132.615,40.92,4.88745,3.71162,0.0473857,91.695,0.726438
2025-04-02,132.496,42,4.88655,3.73767,0.0740886,90.496,0.726438
2025-04-03,113.329,38.79,4.73029,3.65816,0.108095,74.5386,0.726438
2025-04-04,103.809,33.46,4.64256,3.51035,0.0240178,70.3493,0.726438
2025-04-07,105.773,34.15,4.66129,3.53076,0.030819,71.6227,0.726438
2025-04-08,104.295,32.24,4.64723,3.47321,-0.0165171,72.0552,0.726438
2025-04-09,114.925,34.89,4.74428,3.5522,-0.0080289,80.035,0.726438
2025-04-10,108.093,31.92,4.68299,3.46323,-0.0524744,76.173,0.726438
2025-04-11,109.769,33.1,4.69838,3.49953,-0.0273496,76.6688,0.726438
2025-04-14,109.402,33.23,4.69503,3.50345,-0.0209977,76.1719,0.726438
2025-04-15,106.645,33.1,4.66951,3.49953,-0.00637881,73.5453,0.726438
2025-04-16,106.229,34.3,4.6656,3.53515,0.0320757,71.9288,0.726438
2025-04-17,109.134,34.42,4.69258,3.53864,0.0159669,74.7142,0.726438
2025-04-21,107.924,32.06,4.68143,3.46761,-0.0469642,75.8644,0.726438
2025-04-22,111.514,32.83,4.71415,3.49134,-0.0469987,78.684,0.726438
2025-04-23,113.537,34.29,4.73213,3.53485,-0.016547,79.2468,0.726438
2025-04-24,112.406,34.54,4.72212,3.54212,-0.00201381,77.8664,0.726438
2025-04-25,112.912,35.33,4.72661,3.56473,0.0173397,77.5821,0.726438
2025-04-28,113.785,35.93,4.73431,3.58157,0.0285874,77.8547,0.726438
2025-04-29,114.548,36.18,4.741,3.58851,0.0306631,78.3682,0.726438
2025-04-30,115.113,34.83,4.74592,3.55048,-0.0109399,80.2834,0.726438
2025-05-01,113.914,34.65,4.73544,3.5453,-0.00850991,79.2636,0.726438
2025-05-02,117.93,35.76,4.77009,3.57683,-0.00214669,82.1696,0.726438
2025-05-05,118.336,35.49,4.77353,3.56925,-0.0122255,82.8461,0.726438
2025-05-06,116.016,35.5,4.75373,3.56953,0.00244146,80.5158,0.726438
2025-05-07,115.966,36.71,4.7533,3.60305,0.0362685,79.2562,0.726438
2025-05-08,120.706,37.39,4.79336,3.6214,0.0255222,83.316,0.726438
2025-05-09,121.896,38.71,4.80317,3.6561,0.0530908,83.1859,0.726438
2025-05-12,129.392,39.4,4.86285,3.67377,0.0274038,89.9923,0.726438
2025-05-13,133.973,41.04,4.89764,3.71455,0.0429105,92.9334,0.726438
2025-05-14,133.19,40.5,4.89178,3.7013,0.0339252,92.6901,0.726438
2025-05-15,134.231,40.23,4.89956,3.69461,0.0215797,94.0012,0.726438
2025-05-16,134.598,39.8,4.90229,3.68387,0.00885073,94.7981,0.726438
2025-05-19,133.2,39.42,4.89185,3.67427,0.00684247,93.78,0.726438
2025-05-20,132.21,39.77,4.88439,3.68311,0.0211014,92.44,0.726438
2025-05-21,127.8,39.11,4.85047,3.66638,0.0290112,88.69,0.726438
2025-05-22,128.72,39.05,4.85764,3.66484,0.0222651,89.67,0.726438
2025-05-23,128.55,39.49,4.85632,3.67605,0.0344298,89.06,0.726438
2025-05-27,130.71,40.17,4.87298,3.69312,0.0393979,90.54,0.726438
2025-05-28,126.93,38.97,4.84364,3.66279,0.0303873,87.96,0.726438
2025-05-29,129.16,38.84,4.86105,3.65945,0.014394,90.32,0.726438
2025-05-30,128.97,37.45,4.85958,3.62301,-0.0209805,91.52,0.726438
2025-06-02,128.3,38.65,4.85437,3.65455,0.0143432,89.65,0.726438
2025-06-03,130.95,38.36,4.87482,3.64702,-0.00803979,92.59,0.726438
2025-06-04,126.54,37.3,4.84056,3.61899,-0.0111761,89.24,0.726438
2025-06-05,126.88,37.19,4.84324,3.61604,-0.0160788,89.69,0.726438
2025-06-06,128.35,38.65,4.85476,3.65455,0.0140602,89.7,0.726438
2025-06-09,128.26,38.92,4.85406,3.66151,0.0215312,89.34,0.726438
2025-06-10,131.93,38.39,4.88227,3.6478,-0.0126743,93.54,0.726438
2025-06-11,134.06,39.22,4.89829,3.66919,-0.00291907,94.84,0.726438
2025-06-12,133.5,40.04,4.8941,3.68988,0.0208139,93.46,0.726438
2025-06-13,134.11,41.66,4.89866,3.72954,0.0571646,92.45,0.726438
