Date,KMI Raw Price,ET Raw Price,KMI Log Price,ET Log Price,Residual,Spread,Beta
2025-05-07,27.62,16.5711,3.31854,2.80766,-0.100672,11.0489,0.798819
2025-05-08,27.04,17.042,3.29732,2.83568,-0.0556953,9.998,0.798819
2025-05-09,27.31,17.21,3.30725,2.84549,-0.0538225,10.1,0.798819
2025-05-12,27.31,17.44,3.30725,2.85877,-0.0405466,9.87,0.798819
2025-05-13,27.5,18,3.31419,2.89037,-0.0144796,9.5,0.798819
2025-05-14,27.46,18.16,3.31273,2.89922,-0.00446719,9.3,0.798819
2025-05-15,28,17.97,3.3322,2.8887,-0.0305412,10.03,0.798819
2025-05-16,28.09,17.95,3.33541,2.88759,-0.0342182,10.14,0.798819
2025-05-19,28,18,3.3322,2.89037,-0.0288731,10,0.798819
2025-05-20,27.98,18.14,3.33149,2.89812,-0.0205547,9.84,0.798819
2025-05-21,27.47,17.76,3.31309,2.87695,-0.0270307,9.71,0.798819
2025-05-22,27.34,17.88,3.30835,2.88368,-0.0165074,9.46,0.798819
2025-05-23,27.86,17.85,3.32719,2.882,-0.0332372,10.01,0.798819
2025-05-27,28.19,17.95,3.33897,2.88759,-0.037057,10.24,0.798819
2025-05-28,27.95,17.76,3.33042,2.87695,-0.0408684,10.19,0.798819
2025-05-29,27.92,17.68,3.32934,2.87243,-0.0445252,10.24,0.798819
2025-05-30,28.04,17.48,3.33363,2.86106,-0.0593279,10.56,0.798819
2025-06-02,28.65,17.48,3.35515,2.86106,-0.0765196,11.17,0.798819
2025-06-03,28.56,17.9,3.35201,2.8848,-0.0502629,10.66,0.798819
2025-06-04,28.03,17.53,3.33328,2.86391,-0.0561866,10.5,0.798819
2025-06-05,28.24,17.67,3.34074,2.87187,-0.0541944,10.57,0.798819
2025-06-06,28.14,17.93,3.33719,2.88648,-0.0367537,10.21,0.798819
2025-06-09,27.53,17.71,3.31528,2.87413,-0.0315929,9.82,0.798819
2025-06-10,27.38,17.99,3.30981,2.88982,-0.0115419,9.39,0.798819
2025-06-11,27.52,18.25,3.31491,2.90417,-0.00126703,9.27,0.798819
2025-06-12,27.66,18.45,3.31999,2.91506,0.00557886,9.21,0.798819
2025-06-13,27.64,18.32,3.31926,2.90799,-0.000914387,9.32,0.798819
