Date,CVX Raw Price,VLO Raw Price,CVX Log Price,VLO Log Price,Residual,Spread,Beta
2025-04-07,138.463,105.773,4.93061,4.66129,-0.136576,32.6908,0.720124
2025-04-08,135.282,104.295,4.90736,4.64723,-0.133904,30.987,0.720124
2025-04-09,144.273,114.925,4.97171,4.74428,-0.0831841,29.3477,0.720124
2025-04-10,133.356,108.093,4.89302,4.68299,-0.087809,25.2627,0.720124
2025-04-11,133.998,109.769,4.89782,4.69838,-0.0758843,24.2291,0.720124
2025-04-14,133.692,109.402,4.89554,4.69503,-0.0775844,24.2897,0.720124
2025-04-15,132.921,106.645,4.88975,4.66951,-0.0989415,26.2757,0.720124
2025-04-16,133.731,106.229,4.89583,4.6656,-0.10723,27.5023,0.720124
2025-04-17,136.211,109.134,4.9142,4.69258,-0.0934785,27.0767,0.720124
2025-04-21,132.121,107.924,4.88372,4.68143,-0.0826699,24.1963,0.720124
2025-04-22,135.648,111.514,4.91006,4.71415,-0.0689232,24.1338,0.720124
2025-04-23,135.035,113.537,4.90554,4.73213,-0.0476867,21.4984,0.720124
2025-04-24,137.396,112.406,4.92287,4.72212,-0.0701763,24.9901,0.720124
2025-04-25,137.061,112.912,4.92042,4.72661,-0.0639246,24.1484,0.720124
2025-04-28,138.414,113.785,4.93025,4.73431,-0.0633029,24.6294,0.720124
2025-04-29,137.624,114.548,4.92452,4.741,-0.0524913,23.0755,0.720124
2025-04-30,134.423,115.113,4.90099,4.74592,-0.0306218,19.3092,0.720124
2025-05-01,134.62,113.914,4.90246,4.73544,-0.0421572,20.7067,0.720124
2025-05-02,136.833,117.93,4.91876,4.77009,-0.0192522,18.9038,0.720124
2025-05-05,133.869,118.336,4.89686,4.77353,-4.10367e-05,15.5333,0.720124
2025-05-06,133.968,116.016,4.8976,4.75373,-0.0203749,17.9524,0.720124
2025-05-07,134.156,115.966,4.899,4.7533,-0.0218106,18.1897,0.720124
2025-05-08,135.391,120.706,4.90817,4.79336,0.0116498,14.6849,0.720124
2025-05-09,136.823,121.896,4.91869,4.80317,0.0138797,14.9276,0.720124
2025-05-12,139.916,129.392,4.94104,4.86285,0.0574671,10.5235,0.720124
2025-05-13,140.637,133.973,4.94618,4.89764,0.0885573,6.66356,0.720124
2025-05-14,139.965,133.19,4.94139,4.89178,0.0861414,6.77509,0.720124
2025-05-15,140.548,134.231,4.94555,4.89956,0.0909353,6.31682,0.720124
2025-05-16,140.39,134.598,4.94442,4.90229,0.0944751,5.79187,0.720124
2025-05-19,138.49,133.2,4.9308,4.89185,0.0938458,5.29001,0.720124
2025-05-20,137.27,132.21,4.92195,4.88439,0.0927576,5.06,0.720124
2025-05-21,135.56,127.8,4.90941,4.85047,0.0678596,7.75999,0.720124
2025-05-22,135.29,128.72,4.90742,4.85764,0.0764683,6.56999,0.720124
2025-05-23,136.54,128.55,4.91662,4.85632,0.0685238,7.98999,0.720124
2025-05-27,137.83,130.71,4.92602,4.87298,0.0784153,7.12,0.720124
2025-05-28,136.02,126.93,4.9128,4.84364,0.0585893,9.09,0.720124
2025-05-29,137.91,129.16,4.9266,4.86105,0.0660683,8.75,0.720124
2025-05-30,136.7,128.97,4.91779,4.85958,0.0709423,7.73,0.720124
2025-06-02,137.84,128.3,4.92609,4.85437,0.0597532,9.53999,0.720124
2025-06-03,139.55,130.95,4.93842,4.87482,0.0713188,8.60001,0.720124
2025-06-04,137.37,126.54,4.92268,4.84056,0.0484001,10.83,0.720124
2025-06-05,136.9,126.88,4.91925,4.84324,0.0535514,10.02,0.720124
2025-06-06,140.21,128.35,4.94314,4.85476,0.0478664,11.86,0.720124
2025-06-09,140.76,128.26,4.94706,4.85406,0.0443456,12.5,0.720124
2025-06-10,143.35,131.93,4.96529,4.88227,0.0594276,11.42,0.720124
2025-06-11,144.78,134.06,4.97522,4.89829,0.0682956,10.72,0.720124
2025-06-12,144.97,133.5,4.97653,4.8941,0.0631652,11.47,0.720124
2025-06-13,145.91,134.11,4.98299,4.89866,0.0630698,11.8,0.720124
