Date,MPC Raw Price,AR Raw Price,MPC Log Price,AR Log Price,Residual,Spread,Beta
2025-04-21,126.006,32.06,4.83633,3.46761,-0.0653239,93.9461,0.655489
2025-04-22,130.65,32.83,4.87252,3.49134,-0.0653125,97.8198,0.655489
2025-04-23,133.543,34.29,4.89443,3.53485,-0.0361607,99.2534,0.655489
2025-04-24,136.765,34.54,4.91827,3.54212,-0.0445223,102.225,0.655489
2025-04-25,136.666,35.33,4.91754,3.56473,-0.0214312,101.336,0.655489
2025-04-28,136.805,35.93,4.91856,3.58157,-0.00525844,100.875,0.655489
2025-04-29,137.531,36.18,4.92385,3.58851,-0.00179341,101.351,0.655489
2025-04-30,136.636,34.83,4.91732,3.55048,-0.0355415,101.806,0.655489
2025-05-01,136.944,34.65,4.91957,3.5453,-0.0422,102.294,0.655489
2025-05-02,140.753,35.76,4.947,3.57683,-0.0286482,104.993,0.655489
2025-05-05,142.523,35.49,4.9595,3.56925,-0.0444185,107.033,0.655489
2025-05-06,143.736,35.5,4.96798,3.56953,-0.0496926,108.236,0.655489
2025-05-07,143.875,36.71,4.96894,3.60305,-0.0168107,107.165,0.655489
2025-05-08,149.125,37.39,5.00479,3.6214,-0.0219505,111.735,0.655489
2025-05-09,150.04,38.71,5.0109,3.6561,0.00873539,111.33,0.655489
2025-05-12,157.249,39.4,5.05783,3.67377,-0.00435861,117.849,0.655489
2025-05-13,161.923,41.04,5.08712,3.71455,0.0172252,120.883,0.655489
2025-05-14,162.599,40.5,5.09129,3.7013,0.00124841,122.099,0.655489
2025-05-15,164.359,40.23,5.10205,3.69461,-0.0124977,124.129,0.655489
2025-05-16,163.195,39.8,5.09495,3.68387,-0.0185874,123.395,0.655489
2025-05-19,161.356,39.42,5.08361,3.67427,-0.0207503,121.936,0.655489
2025-05-20,160.62,39.77,5.07904,3.68311,-0.0089146,120.85,0.655489
2025-05-21,156.7,39.11,5.05433,3.66638,-0.00945333,117.59,0.655489
2025-05-22,158.89,39.05,5.06821,3.66484,-0.0200862,119.84,0.655489
2025-05-23,159.11,39.49,5.0696,3.67605,-0.00978853,119.62,0.655489
2025-05-27,162.33,40.17,5.08963,3.69312,-0.00584871,122.16,0.655489
2025-05-28,158.61,38.97,5.06645,3.66279,-0.0209808,119.64,0.655489
2025-05-29,159.92,38.84,5.07467,3.65945,-0.0297139,121.08,0.655489
2025-05-30,160.74,37.45,5.07979,3.62301,-0.0695103,123.29,0.655489
2025-06-02,158.75,38.65,5.06733,3.65455,-0.0298044,120.1,0.655489
2025-06-03,161.97,38.36,5.08741,3.64702,-0.0504985,123.61,0.655489
2025-06-04,156.95,37.3,5.05593,3.61899,-0.0578832,119.65,0.655489
2025-06-05,158.21,37.19,5.06392,3.61604,-0.0660779,121.02,0.655489
2025-06-06,160.12,38.65,5.07592,3.65455,-0.035437,121.47,0.655489
2025-06-09,160.27,38.92,5.07686,3.66151,-0.0290894,121.35,0.655489
2025-06-10,162.64,38.39,5.09154,3.6478,-0.0524227,124.25,0.655489
2025-06-11,164.66,39.22,5.10388,3.66919,-0.0391239,125.44,0.655489
2025-06-12,165.07,40.04,5.10637,3.68988,-0.0200619,125.03,0.655489
2025-06-13,166.15,41.66,5.11289,3.72954,0.0153259,124.49,0.655489
