Date,SHEL Raw Price,EOG Raw Price,SHEL Log Price,EOG Log Price,Residual,Spread,Beta
2025-03-17,69.3552,122.459,4.23924,4.80778,-0.00621038,53.1037,0.509828
2025-03-18,70.216,121.458,4.25158,4.79957,-0.0207053,51.2421,0.509828
2025-03-19,70.7601,123.807,4.2593,4.81872,-0.00548968,53.0465,0.509828
2025-03-20,71.1855,123.172,4.26529,4.81359,-0.0136814,51.9869,0.509828
2025-03-21,70.2555,124.035,4.25214,4.82056,-1.9809e-06,53.779,0.509828
2025-03-24,70.5227,127.106,4.25593,4.84502,0.0225279,56.5837,0.509828
2025-03-25,71.2647,126.224,4.2664,4.83806,0.0102288,54.9598,0.509828
2025-03-26,72.2541,128.008,4.28019,4.85209,0.0172314,55.7541,0.509828
2025-03-27,72.5113,125.58,4.28374,4.83295,-0.00372824,53.0691,0.509828
2025-03-28,71.9573,125.442,4.27607,4.83184,-0.00092312,53.4844,0.509828
2025-03-31,72.5014,127.077,4.28361,4.84479,0.00818605,54.5753,0.509828
2025-04-01,72.2739,128.127,4.28046,4.85302,0.0180204,55.8532,0.509828
2025-04-02,71.9474,128.791,4.27593,4.85819,0.0254972,56.8436,0.509828
2025-04-03,69.0287,118.802,4.23452,4.77746,-0.0341187,49.7737,0.509828
2025-04-04,63.4486,109.547,4.15023,4.69636,-0.0722511,46.0985,0.509828
2025-04-07,61.6579,108.041,4.1216,4.68251,-0.0714996,46.3831,0.509828
2025-04-08,59.1152,104.008,4.07949,4.64447,-0.0880729,44.8927,0.509828
2025-04-09,63.2112,113.015,4.14648,4.72752,-0.0391705,49.8042,0.509828
2025-04-10,59.1449,103.661,4.07999,4.64113,-0.091669,44.5162,0.509828
2025-04-11,61.4303,107.555,4.1179,4.67801,-0.0741189,46.1251,0.509828
2025-04-14,61.8755,106.664,4.12512,4.66968,-0.086127,44.788,0.509828
2025-04-15,62.113,106.505,4.12895,4.66819,-0.0895672,44.392,0.509828
2025-04-16,63.3497,108.24,4.14867,4.68435,-0.0834596,44.8903,0.509828
2025-04-17,64.349,110.5,4.16432,4.70502,-0.0707742,46.151,0.509828
2025-04-21,63.9631,109.11,4.15831,4.69236,-0.0803669,45.1469,0.509828
2025-04-22,64.4776,111.32,4.16632,4.71241,-0.0643988,46.8424,0.509828
2025-04-23,63.8246,111.57,4.15614,4.71465,-0.0569661,47.7454,0.509828
2025-04-24,64.3589,113.46,4.16447,4.73145,-0.0444178,49.1011,0.509828
2025-04-25,65.1603,113.07,4.17685,4.72801,-0.0541702,47.9097,0.509828
2025-04-28,65.3186,114.14,4.17928,4.73743,-0.0459885,48.8214,0.509828
2025-04-29,64.814,112.93,4.17152,4.72677,-0.0526926,48.116,0.509828
2025-04-30,63.7949,110.33,4.15567,4.70348,-0.0679052,46.5351,0.509828
2025-05-01,64.1115,111.68,4.16062,4.71564,-0.0582673,47.5685,0.509828
2025-05-02,65.932,110.86,4.18862,4.70827,-0.0799117,44.928,0.509828
2025-05-05,64.4281,108.52,4.16555,4.68693,-0.089482,44.0919,0.509828
2025-05-06,64.4083,108.72,4.16524,4.68878,-0.0874841,44.3117,0.509828
2025-05-07,64.3589,107.97,4.16447,4.68185,-0.0940147,43.6111,0.509828
2025-05-08,64.3885,109.71,4.16494,4.69784,-0.0782627,45.3215,0.509828
2025-05-09,65.4472,111.12,4.18124,4.71061,-0.0738065,45.6728,0.509828
2025-05-12,65.6747,114.06,4.18471,4.73672,-0.0494622,48.3853,0.509828
2025-05-13,66.8917,116.65,4.20307,4.75918,-0.0363693,49.7583,0.509828
2025-05-14,66.3772,115.59,4.19535,4.75005,-0.0415615,49.2128,0.509828
2025-05-15,66.674,115.86,4.19982,4.75238,-0.0415031,49.186,0.509828
2025-05-16,66.62,115.5,4.199,4.74927,-0.0442021,48.88,0.509828
2025-05-19,66.67,113.95,4.19976,4.73576,-0.0580953,47.28,0.509828
2025-05-20,66.62,112.58,4.199,4.72366,-0.0698085,45.96,0.509828
2025-05-21,66.36,111.38,4.19509,4.71295,-0.0785312,45.02,0.509828
2025-05-22,65.95,110.79,4.1889,4.70764,-0.0806827,44.84,0.509828
2025-05-23,66.3,110.18,4.19419,4.70212,-0.0889024,43.88,0.509828
2025-05-27,66.69,111.23,4.20006,4.7116,-0.0824078,44.54,0.509828
2025-05-28,66.04,110.45,4.19026,4.70456,-0.0844516,44.41,0.509828
2025-05-29,66.44,109.88,4.1963,4.69939,-0.0927044,43.44,0.509828
2025-05-30,66.22,108.57,4.19298,4.6874,-0.103007,42.35,0.509828
2025-06-02,67.45,111.34,4.21139,4.71259,-0.0871966,43.89,0.509828
2025-06-03,67.83,112.82,4.217,4.72579,-0.0768557,44.99,0.509828
2025-06-04,67.27,110.77,4.20871,4.70746,-0.0909668,43.5,0.509828
2025-06-05,67.53,111.03,4.21257,4.7098,-0.090589,43.5,0.509828
2025-06-06,68.02,114.05,4.2198,4.73664,-0.0674384,46.03,0.509828
2025-06-09,68.26,114.33,4.22332,4.73909,-0.0667821,46.07,0.509828
2025-06-10,70.05,117.88,4.24921,4.76967,-0.0494011,47.83,0.509828
2025-06-11,71.02,119.92,4.26296,4.78682,-0.0392546,48.9,0.509828
2025-06-12,71.44,120.59,4.26886,4.7924,-0.0366893,49.15,0.509828
2025-06-13,72.54,125.28,4.28414,4.83055,-0.00632467,52.74,0.509828
