Date,FANG Raw Price,WMB Raw Price,FANG Log Price,WMB Log Price,Residual,Spread,Beta
2025-02-11,159.764,54.2927,5.0737,3.99439,-0.0492232,105.471,-0.0374388
2025-02-12,153.305,53.8799,5.03243,3.98676,-0.0584005,99.4247,-0.0374388
2025-02-13,154.005,56.4747,5.03698,4.03379,-0.011196,97.5301,-0.0374388
2025-02-14,154.813,56.0029,5.04222,4.0254,-0.0193887,98.8105,-0.0374388
2025-02-18,154.587,56.8088,5.04075,4.03969,-0.00515513,97.7778,-0.0374388
2025-02-19,158.038,57.2708,5.06284,4.04779,0.00377025,100.767,-0.0374388
2025-02-20,159.843,57.4477,5.07419,4.05087,0.00727966,102.395,-0.0374388
2025-02-21,153.955,56.455,5.03666,4.03344,-0.0115561,97.5005,-0.0374388
2025-02-24,153.078,56.3469,5.03095,4.03153,-0.0136869,96.7309,-0.0374388
2025-02-25,149.814,55.2166,5.00939,4.01126,-0.0347572,94.5971,-0.0374388
2025-02-26,150.317,55.9243,5.01274,4.024,-0.0218972,94.3924,-0.0374388
2025-02-27,153.433,55.2952,5.03326,4.01269,-0.0324406,98.1376,-0.0374388
2025-02-28,156.756,57.1823,5.05469,4.04624,0.00191961,99.5738,-0.0374388
2025-03-03,145.948,56.6123,4.98325,4.03623,-0.0107742,89.3358,-0.0374388
2025-03-04,143.029,55.826,4.96305,4.02224,-0.0255168,87.2031,-0.0374388
2025-03-05,140.722,55.2559,4.94678,4.01198,-0.0363895,85.4656,-0.0374388
2025-03-06,138.934,53.6735,4.934,3.98292,-0.0659236,85.2604,-0.0374388
2025-03-07,139.143,53.4475,4.9355,3.9787,-0.0700881,85.695,-0.0374388
2025-03-10,139.609,53.0937,4.93885,3.97206,-0.0766048,86.5156,-0.0374388
2025-03-11,143.651,54.0077,4.96739,3.98913,-0.0584669,89.6435,-0.0374388
2025-03-12,145.538,55.3346,4.98044,4.0134,-0.0337075,90.2035,-0.0374388
2025-03-13,144.793,55.2166,4.97531,4.01126,-0.0360333,89.5766,-0.0374388
2025-03-14,149.163,56.7934,5.00504,4.03942,-0.00676429,92.3695,-0.0374388
2025-03-17,151.973,57.9041,5.0237,4.05879,0.0133023,94.0692,-0.0374388
2025-03-18,153.93,57.914,5.0365,4.05896,0.0139524,96.0157,-0.0374388
2025-03-19,156.512,58.8263,5.05313,4.07459,0.0302058,97.6854,-0.0374388
2025-03-20,157.386,59.2527,5.0587,4.08181,0.037637,98.1329,-0.0374388
2025-03-21,157.406,59.104,5.05883,4.0793,0.0351281,98.3015,-0.0374388
2025-03-24,159.898,60.5816,5.07454,4.10399,0.060409,99.3166,-0.0374388
2025-03-25,160.484,60.4031,5.0782,4.10104,0.057595,100.081,-0.0374388
2025-03-26,161.964,59.4511,5.08737,4.08515,0.0420522,102.513,-0.0374388
2025-03-27,159.124,58.9354,5.06968,4.07644,0.0326781,100.188,-0.0374388
2025-03-28,156.452,58.6974,5.05275,4.0724,0.0279977,97.7548,-0.0374388
2025-03-31,158.776,59.2627,5.06749,4.08198,0.0381336,99.5134,-0.0374388
2025-04-01,159.759,60.0659,5.07367,4.09544,0.0518279,99.6932,-0.0374388
2025-04-02,160.375,61.0873,5.07751,4.1123,0.0688341,99.2875,-0.0374388
2025-04-03,140.304,58.5387,4.94381,4.06969,0.0212124,81.7657,-0.0374388
2025-04-04,122.518,54.1159,4.80826,3.99113,-0.0624241,68.4023,-0.0374388
2025-04-07,123.67,54.3935,4.81762,3.99625,-0.0569559,69.2766,-0.0374388
2025-04-08,118.427,53.8779,4.77429,3.98672,-0.0681035,64.5487,-0.0374388
2025-04-09,133.998,55.9505,4.89783,4.02447,-0.0257314,78.0478,-0.0374388
2025-04-10,122.31,54.6117,4.80656,4.00025,-0.0533671,67.6979,-0.0374388
2025-04-11,128.119,55.9207,4.85296,4.02393,-0.027943,72.1984,-0.0374388
2025-04-14,126.759,56.8826,4.84228,4.04099,-0.0112873,69.876,-0.0374388
2025-04-15,126.262,58.0528,4.83836,4.06135,0.00892886,68.2093,-0.0374388
2025-04-16,129.321,57.7751,4.8623,4.05656,0.00503045,71.5457,-0.0374388
2025-04-17,136.69,58.1321,4.91771,4.06272,0.0132653,78.5574,-0.0374388
2025-04-21,131.436,55.9703,4.87852,4.02482,-0.0260998,75.4658,-0.0374388
2025-04-22,135.597,57.7156,4.90969,4.05553,0.00577435,77.8815,-0.0374388
2025-04-23,134.604,57.9933,4.90234,4.06033,0.0102986,76.6107,-0.0374388
2025-04-24,135.22,59.1139,4.9069,4.07947,0.029608,76.1059,-0.0374388
2025-04-25,135.816,58.5387,4.9113,4.06969,0.0199951,77.2769,-0.0374388
2025-04-28,136.868,59.1635,4.91902,4.0803,0.0309001,77.7049,-0.0374388
2025-04-29,135.706,59.1734,4.91049,4.08047,0.0307485,76.533,-0.0374388
2025-04-30,131.098,58.0826,4.87595,4.06187,0.0108484,73.0159,-0.0374388
2025-05-01,133.899,58.3106,4.89709,4.06578,0.015559,75.5883,-0.0374388
2025-05-02,135.865,59.5007,4.91166,4.08599,0.0363075,76.3646,-0.0374388
2025-05-05,132.161,59.6693,4.88402,4.08882,0.0381019,72.4918,-0.0374388
2025-05-06,131.069,58.2115,4.87572,4.06408,0.0130571,72.8572,-0.0374388
2025-05-07,128.675,58.4495,4.85729,4.06816,0.0164473,70.2258,-0.0374388
2025-05-08,135.24,56.5851,4.90705,4.03575,-0.0141065,78.6545,-0.0374388
2025-05-09,136.938,57.1801,4.91953,4.04621,-0.00317892,79.7577,-0.0374388
2025-05-12,141.933,56.6546,4.95536,4.03697,-0.0110719,85.2786,-0.0374388
2025-05-13,145.161,57.5867,4.97784,4.05329,0.00608974,87.5739,-0.0374388
2025-05-14,143.82,57.7156,4.96856,4.05553,0.00797852,86.1044,-0.0374388
2025-05-15,141.95,58.2809,4.95547,4.06527,0.0172347,83.6691,-0.0374388
2025-05-16,141.13,58.3007,4.94968,4.06561,0.0173581,82.8293,-0.0374388
2025-05-19,139.35,58.0528,4.93699,4.06135,0.0126214,81.2972,-0.0374388
2025-05-20,138.35,58.2809,4.92979,4.06527,0.016273,80.0691,-0.0374388
2025-05-21,136.31,57.4479,4.91493,4.05088,0.00132066,78.8621,-0.0374388
2025-05-22,136.29,57.2694,4.91478,4.04777,-0.00179685,79.0206,-0.0374388
2025-05-23,135.86,58.4991,4.91162,4.06901,0.0193295,77.3609,-0.0374388
2025-05-27,137.49,59.5998,4.92355,4.08765,0.0384178,77.8902,-0.0374388
2025-05-28,136.28,60.1155,4.91471,4.09627,0.0467019,76.1645,-0.0374388
2025-05-29,137.81,59.7684,4.92588,4.09048,0.0413295,78.0416,-0.0374388
2025-05-30,134.55,60.0064,4.90194,4.09445,0.0444074,74.5436,-0.0374388
2025-06-02,137.59,60.7601,4.92428,4.10693,0.0577256,76.8299,-0.0374388
2025-06-03,142.28,60.6014,4.9578,4.10432,0.0563657,81.6786,-0.0374388
2025-06-04,139.35,59.6197,4.93699,4.08799,0.0392537,79.7303,-0.0374388
2025-06-05,137.45,60.056,4.92326,4.09528,0.0460318,77.394,-0.0374388
2025-06-06,140.56,60.056,4.94563,4.09528,0.0468694,80.504,-0.0374388
2025-06-09,142.13,59.1635,4.95674,4.0803,0.0323124,82.9665,-0.0374388
2025-06-10,145.57,58.4693,4.98066,4.0685,0.0214052,87.1007,-0.0374388
2025-06-11,148.92,58.9255,5.00341,4.07627,0.0300286,89.9945,-0.0374388
2025-06-12,149.33,59.58,5.00616,4.08732,0.0411778,89.75,-0.0374388
2025-06-13,154.91,59.78,5.04284,4.09067,0.0459024,95.13,-0.0374388
