Date,COP Raw Price,MTDR Raw Price,COP Log Price,MTDR Log Price,Residual,Spread,Beta
2025-03-24,101.328,52.5814,4.61836,3.96236,-0.0712501,48.7462,1.95578
2025-03-25,101.685,51.9362,4.62188,3.95002,-0.090475,49.7484,1.95578
2025-03-26,102.329,51.8568,4.62819,3.94849,-0.104362,50.4723,1.95578
2025-03-27,101.952,51.1222,4.62451,3.93422,-0.111414,50.8301,1.95578
2025-03-28,101.506,50.1395,4.62012,3.91481,-0.122247,51.3666,1.95578
2025-03-31,104.134,50.7152,4.64568,3.92623,-0.160813,53.4185,1.95578
2025-04-01,104.501,50.7351,4.64919,3.92662,-0.1673,53.7655,1.95578
2025-04-02,105.205,51.8469,4.65591,3.94829,-0.158755,53.3578,1.95578
2025-04-03,94.4462,44.2431,4.54803,3.7897,-0.106367,50.2031,1.95578
2025-04-04,85.5618,38.0985,4.44924,3.64017,-0.0626771,47.4633,1.95578
2025-04-07,84.947,38.0488,4.44203,3.63887,-0.0498775,46.8982,1.95578
2025-04-08,81.9624,36.401,4.40626,3.5946,-0.0241992,45.5614,1.95578
2025-04-09,90.7378,42.1882,4.50797,3.74214,-0.0755815,48.5495,1.95578
2025-04-10,82.5871,37.5624,4.41385,3.626,-0.00764088,45.0247,1.95578
2025-04-11,85.661,39.1209,4.4504,3.66666,-0.0384592,46.5401,1.95578
2025-04-14,85.7205,38.9422,4.45109,3.66208,-0.0443948,46.7782,1.95578
2025-04-15,84.9966,38.6643,4.44261,3.65492,-0.0349728,46.3323,1.95578
2025-04-16,85.6312,39.8356,4.45005,3.68476,-0.0196753,45.7956,1.95578
2025-04-17,88.2291,41.1658,4.47994,3.71761,-0.0452819,47.0633,1.95578
2025-04-21,86.8112,39.7364,4.46374,3.68227,-0.0489361,47.0748,1.95578
2025-04-22,89.0025,40.7191,4.48866,3.7067,-0.073262,48.2834,1.95578
2025-04-23,89.1711,40.5404,4.49056,3.7023,-0.0813604,48.6307,1.95578
2025-04-24,91.0253,40.4511,4.51114,3.70009,-0.123818,50.5742,1.95578
2025-04-25,90.946,40.7687,4.51027,3.70792,-0.114291,50.1773,1.95578
2025-04-28,92.1458,41.2353,4.52337,3.71929,-0.128544,50.9105,1.95578
2025-04-29,91.1046,40.7191,4.51201,3.7067,-0.118918,50.3855,1.95578
2025-04-30,88.3679,39.25,4.48151,3.66995,-0.096014,49.118,1.95578
2025-05-01,89.885,40.193,4.49853,3.69369,-0.105563,49.692,1.95578
2025-05-02,90.6386,40.7886,4.50688,3.7084,-0.107182,49.85,1.95578
2025-05-05,86.8707,39.3592,4.46442,3.67273,-0.0598142,47.5115,1.95578
2025-05-06,86.8905,40.0342,4.46465,3.68973,-0.0432558,46.8563,1.95578
2025-05-07,86.9698,39.7463,4.46556,3.68252,-0.0522573,47.2235,1.95578
2025-05-08,88.0705,42.357,4.47814,3.74613,-0.013236,45.7135,1.95578
2025-05-09,87.8424,42.75,4.47554,3.75537,0.00107075,45.0924,1.95578
2025-05-12,91.4913,44.69,4.51624,3.79975,-0.0341493,46.8013,1.95578
2025-05-13,93.3753,46.36,4.53663,3.83644,-0.0373259,47.0153,1.95578
2025-05-14,91.7888,45.89,4.51949,3.82625,-0.0140005,45.8988,1.95578
2025-05-15,92.1755,44.59,4.52369,3.79751,-0.0509606,47.5855,1.95578
2025-05-16,91.65,44.54,4.51798,3.79639,-0.0408999,47.11,1.95578
2025-05-19,90.41,44.29,4.50435,3.79076,-0.0198869,46.12,1.95578
2025-05-20,89.69,44.28,4.49636,3.79053,-0.00447502,45.41,1.95578
2025-05-21,87.15,43.55,4.46763,3.77391,0.0350883,43.6,1.95578
2025-05-22,86.13,43.6,4.45586,3.77506,0.0592613,42.53,1.95578
2025-05-23,85.19,43.4,4.44488,3.77046,0.0761258,41.79,1.95578
2025-05-27,85.55,44.16,4.4491,3.78782,0.0852382,41.39,1.95578
2025-05-28,84.58,43.83,4.4377,3.78032,0.10004,40.75,1.95578
2025-05-29,85.6,44.04,4.44969,3.7851,0.0813745,41.56,1.95578
2025-05-30,85.35,43.01,4.44676,3.76143,0.0634292,42.34,1.95578
2025-06-02,86.72,43.51,4.46268,3.77299,0.0438432,43.21,1.95578
2025-06-03,87.91,45.8,4.47631,3.82428,0.068481,42.11,1.95578
2025-06-04,85.95,45.01,4.45377,3.80688,0.0951804,40.94,1.95578
2025-06-05,85.35,44.77,4.44676,3.80154,0.103535,40.58,1.95578
2025-06-06,87.22,45.79,4.46843,3.82407,0.0836741,41.43,1.95578
2025-06-09,88.04,46.66,4.47779,3.84289,0.0841942,41.38,1.95578
2025-06-10,91.18,47.93,4.51284,3.86974,0.0425095,43.25,1.95578
2025-06-11,93.35,49.02,4.53636,3.89223,0.0189957,44.33,1.95578
2025-06-12,94.69,49.5,4.55061,3.90197,0.000865048,45.19,1.95578
2025-06-13,96.96,51.64,4.5743,3.9443,-0.00314375,45.32,1.95578
