Date,DVN Raw Price,AR Raw Price,DVN Log Price,AR Log Price,Residual,Spread,Beta
2025-03-06,33.3943,33.78,3.50839,3.51987,-0.111964,0.38567,0.592301
2025-03-07,34.2225,33.64,3.53288,3.51572,-0.130628,0.582535,0.592301
2025-03-10,33.7296,34.69,3.51837,3.54645,-0.0912981,0.960442,0.592301
2025-03-11,33.9267,35.86,3.5242,3.57962,-0.0615797,1.93325,0.592301
2025-03-12,34.262,36.01,3.53404,3.5838,-0.0632292,1.74803,0.592301
2025-03-13,33.3155,36.37,3.50602,3.59374,-0.0366885,3.05454,0.592301
2025-03-14,34.3085,37.57,3.53539,3.62621,-0.0216231,3.26154,0.592301
2025-03-17,34.8645,38.9,3.55147,3.66099,0.00364199,4.03545,0.592301
2025-03-18,35.1227,39.87,3.55885,3.68562,0.0239018,4.74727,0.592301
2025-03-19,35.798,41.02,3.57789,3.71406,0.0410584,5.22203,0.592301
2025-03-20,35.8774,40.97,3.58011,3.71284,0.0385257,5.09258,0.592301
2025-03-21,35.8973,40.77,3.58066,3.70795,0.0333044,4.87272,0.592301
2025-03-24,36.7016,41.21,3.60282,3.71868,0.0309138,4.50838,0.592301
2025-03-25,36.7115,41.42,3.60309,3.72376,0.0358365,4.70845,0.592301
2025-03-26,37.208,40.97,3.61653,3.71284,0.0169559,3.76195,0.592301
2025-03-27,36.6222,39.53,3.60065,3.67706,-0.00942385,2.90783,0.592301
2025-03-28,36.503,39.69,3.59739,3.6811,-0.00345405,3.18699,0.592301
2025-03-31,37.1385,40.44,3.61466,3.69982,0.00504267,3.30146,0.592301
2025-04-01,37.3074,40.92,3.61919,3.71162,0.014156,3.61265,0.592301
2025-04-02,37.6549,42,3.62846,3.73767,0.0347145,4.3451,0.592301
2025-04-03,32.9282,38.79,3.49433,3.65816,0.0346553,5.86182,0.592301
2025-04-04,29.1051,33.46,3.37091,3.51035,-0.0400573,4.3549,0.592301
2025-04-07,28.41,34.15,3.34674,3.53076,-0.00532801,5.74001,0.592301
2025-04-08,26.6126,32.24,3.28139,3.47321,-0.0241731,5.62736,0.592301
2025-04-09,30.8528,34.89,3.42923,3.5522,-0.0327472,4.03721,0.592301
2025-04-10,27.556,31.92,3.31622,3.46323,-0.0547805,4.364,0.592301
2025-04-11,28.0326,33.1,3.33337,3.49953,-0.0286377,5.06735,0.592301
2025-04-14,28.5291,33.23,3.35093,3.50345,-0.0351167,4.70085,0.592301
2025-04-15,28.3305,33.1,3.34394,3.49953,-0.0348989,4.76945,0.592301
2025-04-16,29.0952,34.3,3.37057,3.53515,-0.0150605,5.20484,0.592301
2025-04-17,30.0981,34.42,3.40446,3.53864,-0.0316413,4.3219,0.592301
2025-04-21,29.2739,32.06,3.3767,3.46761,-0.0862243,2.78609,0.592301
2025-04-22,30.9819,32.83,3.4334,3.49134,-0.0960777,1.84812,0.592301
2025-04-23,30.8627,34.29,3.42955,3.53485,-0.0502843,3.42728,0.592301
2025-04-24,31.25,34.54,3.44202,3.54212,-0.0504061,3.29001,0.592301
2025-04-25,31.1308,35.33,3.4382,3.56473,-0.0255288,4.19917,0.592301
2025-04-28,31.3294,35.93,3.44456,3.58157,-0.0124553,4.60057,0.592301
2025-04-29,31.0812,36.18,3.4366,3.58851,-0.000809402,5.09882,0.592301
2025-04-30,30.1974,34.83,3.40776,3.55048,-0.0217509,4.6326,0.592301
2025-05-01,30.9422,34.65,3.43212,3.5453,-0.0413629,3.70784,0.592301
2025-05-02,31.2202,35.76,3.44107,3.57683,-0.0151294,4.53979,0.592301
2025-05-05,30.4059,35.49,3.41464,3.56925,-0.00705517,5.08406,0.592301
2025-05-06,30.3761,35.5,3.41366,3.56953,-0.00619288,5.12385,0.592301
2025-05-07,30.0782,36.71,3.4038,3.60305,0.033161,6.63175,0.592301
2025-05-08,31.7068,37.39,3.45653,3.6214,0.020284,5.68322,0.592301
2025-05-09,32.3026,38.71,3.47515,3.6561,0.043952,6.40742,0.592301
2025-05-12,33.3155,39.4,3.50602,3.67377,0.0433331,6.08455,0.592301
2025-05-13,34.0503,41.04,3.52784,3.71455,0.0711923,6.98972,0.592301
2025-05-14,33.7226,40.5,3.51817,3.7013,0.0636749,6.77741,0.592301
2025-05-15,33.1665,40.23,3.50154,3.69461,0.0668343,7.0635,0.592301
2025-05-16,33.0275,39.8,3.49734,3.68387,0.0585762,6.77252,0.592301
2025-05-19,32.4615,39.42,3.48005,3.67427,0.0592212,6.95853,0.592301
2025-05-20,31.9451,39.77,3.46402,3.68311,0.0775583,7.8249,0.592301
2025-05-21,31.2798,39.11,3.44297,3.66638,0.0732897,7.83022,0.592301
2025-05-22,30.9223,39.05,3.43148,3.66484,0.0785625,8.1277,0.592301
2025-05-23,30.9422,39.49,3.43212,3.67605,0.0893868,8.54784,0.592301
2025-05-27,31.1308,40.17,3.4382,3.69312,0.102859,9.03917,0.592301
2025-05-28,30.6443,38.97,3.42245,3.66279,0.0818616,8.32574,0.592301
2025-05-29,30.8925,38.84,3.43051,3.65945,0.0737411,7.94749,0.592301
2025-05-30,30.0485,37.45,3.40281,3.62301,0.0537055,7.40155,0.592301
2025-06-02,30.9223,38.65,3.43148,3.65455,0.0682664,7.7277,0.592301
2025-06-03,31.7862,38.36,3.45903,3.64702,0.0444139,6.57378,0.592301
2025-06-04,31.3394,37.3,3.44487,3.61899,0.0247777,5.96063,0.592301
2025-06-05,31.2003,37.19,3.44043,3.61604,0.0244575,5.98965,0.592301
2025-06-06,32.0643,38.65,3.46774,3.65455,0.0467869,6.58574,0.592301
2025-06-09,32.4217,38.92,3.47883,3.66151,0.0471813,6.49825,0.592301
2025-06-10,33.236,38.39,3.50363,3.6478,0.0187783,5.15398,0.592301
2025-06-11,34.229,39.22,3.53307,3.66919,0.0227309,4.99098,0.592301
2025-06-12,34.09,40.04,3.529,3.68988,0.0458335,5.95,0.592301
2025-06-13,35.11,41.66,3.55849,3.72954,0.0680338,6.55,0.592301
