Date,EOG Raw Price,PSX Raw Price,EOG Log Price,PSX Log Price,Residual,Spread,Beta
2025-04-02,128.791,122.876,4.85819,4.81118,0.00313291,5.91505,0.846363
2025-04-03,118.802,106.157,4.77746,4.66492,-0.0747967,12.6454,0.846363
2025-04-04,109.547,97.8669,4.69636,4.58361,-0.0874618,11.6802,0.846363
2025-04-07,108.041,95.6681,4.68251,4.56089,-0.0984677,12.3728,0.846363
2025-04-08,104.008,91.9836,4.64447,4.52161,-0.105543,12.0242,0.846363
2025-04-09,113.015,102.146,4.72752,4.6264,-0.0710507,10.8697,0.846363
2025-04-10,103.661,96.0643,4.64113,4.56502,-0.0593092,7.59673,0.846363
2025-04-11,107.555,96.4506,4.67801,4.56903,-0.0865098,11.1048,0.846363
2025-04-14,106.664,96.8864,4.66968,4.57354,-0.0749543,9.77716,0.846363
2025-04-15,106.505,95.2917,4.66819,4.55694,-0.0902911,11.2133,0.846363
2025-04-16,108.24,95.6483,4.68435,4.56068,-0.100233,12.5917,0.846363
2025-04-17,110.5,98.1542,4.70502,4.58654,-0.0918611,12.3458,0.846363
2025-04-21,109.11,96.0841,4.69236,4.56522,-0.102462,13.0259,0.846363
2025-04-22,111.32,99.937,4.71241,4.60454,-0.0801181,11.383,0.846363
2025-04-23,111.57,101.799,4.71465,4.623,-0.0635558,9.77096,0.846363
2025-04-24,113.46,103.691,4.73145,4.64141,-0.0593604,9.76919,0.846363
2025-04-25,113.07,102.978,4.72801,4.63451,-0.0633473,10.0923,0.846363
2025-04-28,114.14,104.77,4.73743,4.65177,-0.0540599,9.36959,0.846363
2025-04-29,112.93,104.988,4.72677,4.65385,-0.042962,7.94169,0.846363
2025-04-30,110.33,103.067,4.70348,4.63538,-0.0417198,7.26318,0.846363
2025-05-01,111.68,102.473,4.71564,4.62959,-0.0577956,9.20745,0.846363
2025-05-02,110.86,106.127,4.70827,4.66464,-0.0165137,4.73267,0.846363
2025-05-05,108.52,105.88,4.68693,4.6623,-0.000793517,2.64027,0.846363
2025-05-06,108.72,104.384,4.68878,4.64808,-0.016578,4.33587,0.846363
2025-05-07,107.97,104.543,4.68185,4.64959,-0.00920213,3.42739,0.846363
2025-05-08,109.71,108.148,4.69784,4.6835,0.0111717,1.56213,0.846363
2025-05-09,111.12,109.861,4.71061,4.69922,0.0160831,1.25865,0.846363
2025-05-12,114.06,117.547,4.73672,4.76684,0.0616029,3.48729,0.846363
2025-05-13,116.65,124.372,4.75918,4.82327,0.0990317,7.72153,0.846363
2025-05-14,115.59,123.51,4.75005,4.81632,0.0998053,7.91983,0.846363
2025-05-15,115.86,123.579,4.75238,4.81688,0.0983918,7.71916,0.846363
2025-05-16,115.5,124.53,4.74927,4.82455,0.10869,9.03001,0.846363
2025-05-19,113.95,122.18,4.73576,4.8055,0.101074,8.23,0.846363
2025-05-20,112.58,120.9,4.72366,4.79496,0.10078,8.32,0.846363
2025-05-21,111.38,111.78,4.71295,4.71653,0.0314187,0.400002,0.846363
2025-05-22,110.79,112.98,4.70764,4.72721,0.0465921,2.19,0.846363
2025-05-23,110.18,113.13,4.70212,4.72854,0.0525917,2.95,0.846363
2025-05-27,111.23,114.33,4.7116,4.73909,0.0551156,3.1,0.846363
2025-05-28,110.45,112.77,4.70456,4.72535,0.047333,2.32,0.846363
2025-05-29,109.88,114.68,4.69939,4.74215,0.0685074,4.8,0.846363
2025-05-30,108.57,113.48,4.6874,4.73163,0.0681395,4.91,0.846363
2025-06-02,111.34,114.28,4.71259,4.73865,0.0538416,2.94,0.846363
2025-06-03,112.82,115.97,4.72579,4.75333,0.0573453,3.15,0.846363
2025-06-04,110.77,112.48,4.70746,4.72278,0.0423096,1.71001,0.846363
2025-06-05,111.03,112.23,4.7098,4.72055,0.0381002,1.2,0.846363
2025-06-06,114.05,114.29,4.73664,4.73874,0.0335754,0.239998,0.846363
2025-06-09,114.33,116.1,4.73909,4.75445,0.0472129,1.77,0.846363
2025-06-10,117.88,118.7,4.76967,4.7766,0.0434801,0.82,0.846363
2025-06-11,119.92,120.95,4.78682,4.79538,0.0477364,1.03,0.846363
2025-06-12,120.59,121.52,4.7924,4.80008,0.0477225,0.93,0.846363
2025-06-13,125.28,122.15,4.83055,4.80525,0.0206006,3.13,0.846363
