Date,VLO Raw Price,KMI Raw Price,VLO Log Price,KMI Log Price,Residual,Spread,Beta
2025-03-25,130.89,28.5196,4.87435,3.35059,0.0375295,102.37,0.264617
2025-03-26,133.388,28.1733,4.89327,3.33838,0.0203109,105.215,0.264617
2025-03-27,132.109,27.926,4.88363,3.32956,0.0140439,104.183,0.264617
2025-03-28,130.374,28.0645,4.87041,3.33451,0.0224898,102.309,0.264617
2025-03-31,130.959,28.2228,4.87488,3.34013,0.0269289,102.736,0.264617
2025-04-01,132.615,28.3217,4.88745,3.34363,0.0271028,104.293,0.264617
2025-04-02,132.496,28.6086,4.88655,3.35371,0.0374186,103.887,0.264617
2025-04-03,113.329,27.4215,4.73029,3.31133,0.0363886,85.9071,0.264617
2025-04-04,103.809,25.0177,4.64256,3.21958,-0.0321402,78.7917,0.264617
2025-04-07,105.773,25.0968,4.66129,3.22274,-0.0339398,80.6759,0.264617
2025-04-08,104.295,24.9385,4.64723,3.21641,-0.0365442,79.3567,0.264617
2025-04-09,114.925,25.9673,4.74428,3.25684,-0.0218012,88.9577,0.264617
2025-04-10,108.093,25.5123,4.68299,3.23916,-0.0232625,82.5807,0.264617
2025-04-11,109.769,26.185,4.69838,3.26519,-0.00130825,83.5838,0.264617
2025-04-14,109.402,26.5114,4.69503,3.27758,0.0119675,82.8905,0.264617
2025-04-15,106.645,26.9269,4.66951,3.29313,0.0342707,79.7184,0.264617
2025-04-16,106.229,26.6598,4.6656,3.28316,0.0253374,79.569,0.264617
2025-04-17,109.134,26.8082,4.69258,3.28871,0.0237478,82.326,0.264617
2025-04-21,107.924,25.5123,4.68143,3.23916,-0.0228495,82.4121,0.264617
2025-04-22,111.514,26.3136,4.71415,3.27008,-0.000583013,85.2004,0.264617
2025-04-23,113.537,26.3136,4.73213,3.27008,-0.0053401,87.2232,0.264617
2025-04-24,112.406,26.5807,4.72212,3.28018,0.00740697,85.8257,0.264617
2025-04-25,112.912,26.5609,4.72661,3.27944,0.00547452,86.3512,0.264617
2025-04-28,113.785,26.7785,4.73431,3.2876,0.0115977,87.0062,0.264617
2025-04-29,114.548,26.917,4.741,3.29276,0.0149863,87.6312,0.264617
2025-04-30,115.113,26.3,4.74592,3.26957,-0.00950519,88.8134,0.264617
2025-05-01,113.914,26.3,4.73544,3.26957,-0.00673263,87.6136,0.264617
2025-05-02,117.93,26.83,4.77009,3.28952,0.00405093,91.0996,0.264617
2025-05-05,118.336,26.87,4.77353,3.29101,0.00463007,91.4661,0.264617
2025-05-06,116.016,27.21,4.75373,3.30358,0.0224442,88.8058,0.264617
2025-05-07,115.966,27.62,4.7533,3.31854,0.037513,88.3462,0.264617
2025-05-08,120.706,27.04,4.79336,3.29732,0.00568982,93.666,0.264617
2025-05-09,121.896,27.31,4.80317,3.30725,0.0130297,94.5859,0.264617
2025-05-12,129.392,27.31,4.86285,3.30725,-0.00276306,102.082,0.264617
2025-05-13,133.973,27.5,4.89764,3.31419,-0.00503669,106.473,0.264617
2025-05-14,133.19,27.46,4.89178,3.31273,-0.00494058,105.73,0.264617
2025-05-15,134.231,28,4.89956,3.3322,0.0124731,106.231,0.264617
2025-05-16,134.598,28.09,4.90229,3.33541,0.0149599,106.508,0.264617
2025-05-19,133.2,28,4.89185,3.3322,0.0145139,105.2,0.264617
2025-05-20,132.21,27.98,4.88439,3.33149,0.0157734,104.23,0.264617
2025-05-21,127.8,27.47,4.85047,3.31309,0.00635507,100.33,0.264617
2025-05-22,128.72,27.34,4.85764,3.30835,-0.000286651,101.38,0.264617
2025-05-23,128.55,27.86,4.85632,3.32719,0.0189042,100.69,0.264617
2025-05-27,130.71,28.19,4.87298,3.33897,0.0262702,102.52,0.264617
2025-05-28,126.93,27.95,4.84364,3.33042,0.0254854,98.98,0.264617
2025-05-29,129.16,27.92,4.86105,3.32934,0.0198028,101.24,0.264617
2025-05-30,128.97,28.04,4.85958,3.33363,0.0244812,100.93,0.264617
2025-06-02,128.3,28.65,4.85437,3.35515,0.0473808,99.65,0.264617
2025-06-03,130.95,28.56,4.87482,3.35201,0.0388246,102.39,0.264617
2025-06-04,126.54,28.03,4.84056,3.33328,0.0291578,98.51,0.264617
2025-06-05,126.88,28.24,4.84324,3.34074,0.0359118,98.64,0.264617
2025-06-06,128.35,28.14,4.85476,3.33719,0.0293163,100.21,0.264617
2025-06-09,128.26,27.53,4.85406,3.31528,0.00758621,100.73,0.264617
2025-06-10,131.93,27.38,4.88227,3.30981,-0.00534272,104.55,0.264617
2025-06-11,134.06,27.52,4.89829,3.31491,-0.00448058,106.54,0.264617
2025-06-12,133.5,27.66,4.8941,3.31999,0.00170138,105.84,0.264617
2025-06-13,134.11,27.64,4.89866,3.31926,-0.000228318,106.47,0.264617
