Date,MTDR Raw Price,KMI Raw Price,MTDR Log Price,KMI Log Price,Residual,Spread,Beta
2025-03-21,51.1322,27.6292,3.93441,3.31887,0.00976156,23.5029,0.109108
2025-03-24,52.5814,28.4008,3.96236,3.34642,0.0342561,24.1806,0.109108
2025-03-25,51.9362,28.5196,3.95002,3.35059,0.0397743,23.4167,0.109108
2025-03-26,51.8568,28.1733,3.94849,3.33838,0.0277267,23.6835,0.109108
2025-03-27,51.1222,27.926,3.93422,3.32956,0.0204665,23.1962,0.109108
2025-03-28,50.1395,28.0645,3.91481,3.33451,0.0275315,22.075,0.109108
2025-03-31,50.7152,28.2228,3.92623,3.34013,0.0319096,22.4925,0.109108
2025-04-01,50.7351,28.3217,3.92662,3.34363,0.0353658,22.4134,0.109108
2025-04-02,51.8469,28.6086,3.94829,3.35371,0.043079,23.2383,0.109108
2025-04-03,44.2431,27.4215,3.7897,3.31133,0.0180038,16.8216,0.109108
2025-04-04,38.0985,25.0177,3.64017,3.21958,-0.057427,13.0808,0.109108
2025-04-07,38.0488,25.0968,3.63887,3.22274,-0.0541264,12.952,0.109108
2025-04-08,36.401,24.9385,3.5946,3.21641,-0.0556224,11.4625,0.109108
2025-04-09,42.1882,25.9673,3.74214,3.25684,-0.0312955,16.2209,0.109108
2025-04-10,37.5624,25.5123,3.626,3.23916,-0.0363032,12.0501,0.109108
2025-04-11,39.1209,26.185,3.66666,3.26519,-0.0147136,12.9359,0.109108
2025-04-14,38.9422,26.5114,3.66208,3.27758,-0.00182424,12.4308,0.109108
2025-04-15,38.6643,26.9269,3.65492,3.29313,0.0145074,11.7374,0.109108
2025-04-16,39.8356,26.6598,3.68476,3.28316,0.00128239,13.1758,0.109108
2025-04-17,41.1658,26.8082,3.71761,3.28871,0.00324903,14.3576,0.109108
2025-04-21,39.7364,25.5123,3.68227,3.23916,-0.0424418,14.2241,0.109108
2025-04-22,40.7191,26.3136,3.7067,3.27008,-0.014183,14.4055,0.109108
2025-04-23,40.5404,26.3136,3.7023,3.27008,-0.0137032,14.2269,0.109108
2025-04-24,40.4511,26.5807,3.70009,3.28018,-0.00336326,13.8704,0.109108
2025-04-25,40.7687,26.5609,3.70792,3.27944,-0.00496133,14.2079,0.109108
2025-04-28,41.2353,26.7785,3.71929,3.2876,0.00195741,14.4568,0.109108
2025-04-29,40.7191,26.917,3.7067,3.29276,0.00849023,13.8021,0.109108
2025-04-30,39.25,26.3,3.66995,3.26957,-0.0106895,12.95,0.109108
2025-05-01,40.193,26.3,3.69369,3.26957,-0.0132799,13.893,0.109108
2025-05-02,40.7886,26.83,3.7084,3.28952,0.00506688,13.9586,0.109108
2025-05-05,39.3592,26.87,3.67273,3.29101,0.010449,12.4892,0.109108
2025-05-06,40.0342,27.21,3.68973,3.30358,0.0211677,12.8242,0.109108
2025-05-07,39.7463,27.62,3.68252,3.31854,0.0369107,12.1263,0.109108
2025-05-08,42.357,27.04,3.74613,3.29732,0.00874673,15.317,0.109108
2025-05-09,42.75,27.31,3.75537,3.30725,0.0176747,15.44,0.109108
2025-05-12,44.69,27.31,3.79975,3.30725,0.0128324,17.38,0.109108
2025-05-13,46.36,27.5,3.83644,3.31419,0.0157626,18.86,0.109108
2025-05-14,45.89,27.46,3.82625,3.31273,0.0154188,18.43,0.109108
2025-05-15,44.59,28,3.79751,3.3322,0.0380284,16.59,0.109108
2025-05-16,44.54,28.09,3.79639,3.33541,0.04136,16.45,0.109108
2025-05-19,44.29,28,3.79076,3.3322,0.038765,16.29,0.109108
2025-05-20,44.28,27.98,3.79053,3.33149,0.0380751,16.3,0.109108
2025-05-21,43.55,27.47,3.77391,3.31309,0.0214933,16.08,0.109108
2025-05-22,43.6,27.34,3.77506,3.30835,0.0166245,16.26,0.109108
2025-05-23,43.4,27.86,3.77046,3.32719,0.0359673,15.54,0.109108
2025-05-27,44.16,28.19,3.78782,3.33897,0.0458485,15.97,0.109108
2025-05-28,43.83,27.95,3.78032,3.33042,0.0381168,15.88,0.109108
2025-05-29,44.04,27.92,3.7851,3.32934,0.0365214,16.12,0.109108
2025-05-30,43.01,28.04,3.76143,3.33363,0.0433923,14.97,0.109108
2025-06-02,43.51,28.65,3.77299,3.35515,0.0636526,14.86,0.109108
2025-06-03,45.8,28.56,3.82428,3.35201,0.0549097,17.24,0.109108
2025-06-04,45.01,28.03,3.80688,3.33328,0.0380764,16.98,0.109108
2025-06-05,44.77,28.24,3.80154,3.34074,0.0461238,16.53,0.109108
2025-06-06,45.79,28.14,3.82407,3.33719,0.0401185,17.65,0.109108
2025-06-09,46.66,27.53,3.84289,3.31528,0.0161492,19.13,0.109108
2025-06-10,47.93,27.38,3.86974,3.30981,0.00775564,20.55,0.109108
2025-06-11,49.02,27.52,3.89223,3.31491,0.0104024,21.5,0.109108
2025-06-12,49.5,27.66,3.90197,3.31999,0.0144135,21.84,0.109108
2025-06-13,51.64,27.64,3.9443,3.31926,0.00907231,24,0.109108
