Date,MPC Raw Price,DVN Raw Price,MPC Log Price,DVN Log Price,Residual,Spread,Beta
2025-04-02,147.067,37.6549,4.99089,3.62846,0.121086,109.412,0.451107
2025-04-03,127.866,32.9282,4.85098,3.49433,0.0500648,94.9374,0.451107
2025-04-04,120.388,29.1051,4.79072,3.37091,-0.046167,91.2828,0.451107
2025-04-07,120.975,28.41,4.79558,3.34674,-0.0725325,92.5646,0.451107
2025-04-08,117.882,26.6126,4.76969,3.28139,-0.126205,91.2695,0.451107
2025-04-09,130.68,30.8528,4.87275,3.42923,-0.0248571,99.8268,0.451107
2025-04-10,120.845,27.556,4.79451,3.31622,-0.102571,93.2893,0.451107
2025-04-11,122.735,28.0326,4.81002,3.33337,-0.0924194,94.702,0.451107
2025-04-14,124.147,28.5291,4.82146,3.35093,-0.0800229,95.6175,0.451107
2025-04-15,121.541,28.3305,4.80025,3.34394,-0.0774412,93.2109,0.451107
2025-04-16,123.371,29.0952,4.8152,3.37057,-0.0575501,94.2759,0.451107
2025-04-17,127,30.0981,4.84419,3.40446,-0.0367395,96.9024,0.451107
2025-04-21,126.006,29.2739,4.83633,3.3767,-0.0609592,96.7322,0.451107
2025-04-22,130.65,30.9819,4.87252,3.4334,-0.0205788,99.6679,0.451107
2025-04-23,133.543,30.8627,4.89443,3.42955,-0.0343143,102.681,0.451107
2025-04-24,136.765,31.25,4.91827,3.44202,-0.0325979,105.515,0.451107
2025-04-25,136.666,31.1308,4.91754,3.4382,-0.0360903,105.535,0.451107
2025-04-28,136.805,31.3294,4.91856,3.44456,-0.0301903,105.475,0.451107
2025-04-29,137.531,31.0812,4.92385,3.4366,-0.040533,106.45,0.451107
2025-04-30,136.636,30.1974,4.91732,3.40776,-0.0664346,106.438,0.451107
2025-05-01,136.944,30.9422,4.91957,3.43212,-0.0430875,106.002,0.451107
2025-05-02,140.753,31.2202,4.947,3.44107,-0.0465157,109.532,0.451107
2025-05-05,142.523,30.4059,4.9595,3.41464,-0.0785807,112.117,0.451107
2025-05-06,143.736,30.3761,4.96798,3.41366,-0.0833844,113.36,0.451107
2025-05-07,143.875,30.0782,4.96894,3.4038,-0.0936765,113.797,0.451107
2025-05-08,149.125,31.7068,5.00479,3.45653,-0.0571167,117.418,0.451107
2025-05-09,150.04,32.3026,5.0109,3.47515,-0.0412589,117.737,0.451107
2025-05-12,157.249,33.3155,5.05783,3.50602,-0.031555,123.934,0.451107
2025-05-13,161.923,34.0503,5.08712,3.52784,-0.0229498,127.872,0.451107
2025-05-14,162.599,33.7226,5.09129,3.51817,-0.0345001,128.876,0.451107
2025-05-15,164.359,33.1665,5.10205,3.50154,-0.0559842,131.192,0.451107
2025-05-16,163.195,33.0275,5.09495,3.49734,-0.0569803,130.168,0.451107
2025-05-19,161.356,32.4615,5.08361,3.48005,-0.0691527,128.894,0.451107
2025-05-20,160.62,31.9451,5.07904,3.46402,-0.0831257,128.675,0.451107
2025-05-21,156.7,31.2798,5.05433,3.44297,-0.0930263,125.42,0.451107
2025-05-22,158.89,30.9223,5.06821,3.43148,-0.110782,127.968,0.451107
2025-05-23,159.11,30.9422,5.0696,3.43212,-0.110764,128.168,0.451107
2025-05-27,162.33,31.1308,5.08963,3.4382,-0.113723,131.199,0.451107
2025-05-28,158.61,30.6443,5.06645,3.42245,-0.119018,127.966,0.451107
2025-05-29,159.92,30.8925,5.07467,3.43051,-0.11466,129.027,0.451107
2025-05-30,160.74,30.0485,5.07979,3.40281,-0.14467,130.692,0.451107
2025-06-02,158.75,30.9223,5.06733,3.43148,-0.110384,127.828,0.451107
2025-06-03,161.97,31.7862,5.08741,3.45903,-0.0918874,130.184,0.451107
2025-06-04,156.95,31.3394,5.05593,3.44487,-0.0918425,125.611,0.451107
2025-06-05,158.21,31.2003,5.06392,3.44043,-0.0998955,127.01,0.451107
2025-06-06,160.12,32.0643,5.07592,3.46774,-0.0779959,128.056,0.451107
2025-06-09,160.27,32.4217,5.07686,3.47883,-0.067331,127.848,0.451107
2025-06-10,162.64,33.236,5.09154,3.50363,-0.0491482,129.404,0.451107
2025-06-11,164.66,34.229,5.10388,3.53307,-0.0252767,130.431,0.451107
2025-06-12,165.07,34.09,5.10637,3.529,-0.0304684,130.98,0.451107
2025-06-13,166.15,35.11,5.11289,3.55849,-0.00392824,131.04,0.451107
