Date,COP Raw Price,KMI Raw Price,COP Log Price,KMI Log Price,Residual,Spread,Beta
2025-04-04,85.5618,25.0177,4.44924,3.21958,-0.0634591,60.5441,0.222037
2025-04-07,84.947,25.0968,4.44203,3.22274,-0.0586997,59.8502,0.222037
2025-04-08,81.9624,24.9385,4.40626,3.21641,-0.0570848,57.0239,0.222037
2025-04-09,90.7378,25.9673,4.50797,3.25684,-0.0392434,64.7704,0.222037
2025-04-10,82.5871,25.5123,4.41385,3.23916,-0.0360245,57.0748,0.222037
2025-04-11,85.661,26.185,4.4504,3.26519,-0.0181134,59.476,0.222037
2025-04-14,85.7205,26.5114,4.45109,3.27758,-0.00587764,59.209,0.222037
2025-04-15,84.9966,26.9269,4.44261,3.29313,0.0115553,58.0697,0.222037
2025-04-16,85.6312,26.6598,4.45005,3.28316,-6.49326e-05,58.9714,0.222037
2025-04-17,88.2291,26.8082,4.47994,3.28871,-0.00115055,61.4209,0.222037
2025-04-21,86.8112,25.5123,4.46374,3.23916,-0.0471001,61.2989,0.222037
2025-04-22,89.0025,26.3136,4.48866,3.27008,-0.0217109,62.689,0.222037
2025-04-23,89.1711,26.3136,4.49056,3.27008,-0.0221311,62.8575,0.222037
2025-04-24,91.0253,26.5807,4.51114,3.28018,-0.0166015,64.4447,0.222037
2025-04-25,90.946,26.5609,4.51027,3.27944,-0.0171525,64.3851,0.222037
2025-04-28,92.1458,26.7785,4.52337,3.2876,-0.0119023,65.3673,0.222037
2025-04-29,91.1046,26.917,4.51201,3.29276,-0.00422086,64.1876,0.222037
2025-04-30,88.3679,26.3,4.48151,3.26957,-0.0206379,62.0679,0.222037
2025-05-01,89.885,26.3,4.49853,3.26957,-0.0244175,63.585,0.222037
2025-05-02,90.6386,26.83,4.50688,3.28952,-0.00631948,63.8086,0.222037
2025-05-05,86.8707,26.87,4.46442,3.29101,0.00459794,60.0007,0.222037
2025-05-06,86.8905,27.21,4.46465,3.30358,0.0171213,59.6805,0.222037
2025-05-07,86.9698,27.62,4.46556,3.31854,0.0318744,59.3498,0.222037
2025-05-08,88.0705,27.04,4.47814,3.29732,0.00785916,61.0305,0.222037
2025-05-09,87.8424,27.31,4.47554,3.30725,0.0183705,60.5324,0.222037
2025-05-12,91.4913,27.31,4.51624,3.30725,0.00933359,64.1813,0.222037
2025-05-13,93.3753,27.5,4.53663,3.31419,0.011741,65.8753,0.222037
2025-05-14,91.7888,27.46,4.51949,3.31273,0.0140903,64.3288,0.222037
2025-05-15,92.1755,28,4.52369,3.3322,0.032631,64.1755,0.222037
2025-05-16,91.65,28.09,4.51798,3.33541,0.0371096,63.56,0.222037
2025-05-19,90.41,28,4.50435,3.3322,0.0369251,62.41,0.222037
2025-05-20,89.69,27.98,4.49636,3.33149,0.0379859,61.71,0.222037
2025-05-21,87.15,27.47,4.46763,3.31309,0.0259692,59.68,0.222037
2025-05-22,86.13,27.34,4.45586,3.30835,0.0238396,58.79,0.222037
2025-05-23,85.19,27.86,4.44488,3.32719,0.0451173,57.33,0.222037
2025-05-27,85.55,28.19,4.4491,3.33897,0.0559563,57.36,0.222037
2025-05-28,84.58,27.95,4.4377,3.33042,0.0499381,56.63,0.222037
2025-05-29,85.6,27.92,4.44969,3.32934,0.0462025,57.68,0.222037
2025-05-30,85.35,28.04,4.44676,3.33363,0.0511408,57.31,0.222037
2025-06-02,86.72,28.65,4.46268,3.35515,0.0691264,58.07,0.222037
2025-06-03,87.91,28.56,4.47631,3.35201,0.0629539,59.35,0.222037
2025-06-04,85.95,28.03,4.45377,3.33328,0.0492286,57.92,0.222037
2025-06-05,85.35,28.24,4.44676,3.34074,0.0582481,57.11,0.222037
2025-06-06,87.22,28.14,4.46843,3.33719,0.0498884,59.08,0.222037
2025-06-09,88.04,27.53,4.47779,3.31528,0.025895,60.51,0.222037
2025-06-10,91.18,27.38,4.51284,3.30981,0.0126504,63.8,0.222037
2025-06-11,93.35,27.52,4.53636,3.31491,0.0125282,65.83,0.222037
2025-06-12,94.69,27.66,4.55061,3.31999,0.0144379,67.03,0.222037
2025-06-13,96.96,27.64,4.5743,3.31926,0.00845451,69.32,0.222037
