Date,RRC Raw Price,WMB Raw Price,RRC Log Price,WMB Log Price,Residual,Spread,Beta
2025-03-14,38.234,56.7934,3.64373,4.03942,-0.0106832,18.5593,0.206149
2025-03-17,38.8826,57.9041,3.66055,4.05879,0.00521704,19.0215,0.206149
2025-03-18,39.5511,57.914,3.67759,4.05896,0.00187418,18.3629,0.206149
2025-03-19,40.4191,58.8263,3.6993,4.07459,0.0130292,18.4072,0.206149
2025-03-20,40.1797,59.2527,3.69336,4.08181,0.0214769,19.0731,0.206149
2025-03-21,39.7905,59.104,3.68363,4.0793,0.0209694,19.3135,0.206149
2025-03-24,40.5788,60.5816,3.70324,4.10399,0.0416184,20.0028,0.206149
2025-03-25,40.05,60.4031,3.69013,4.10104,0.0413716,20.3531,0.206149
2025-03-26,39.7506,59.4511,3.68263,4.08515,0.0270317,19.7005,0.206149
2025-03-27,38.703,58.9354,3.65592,4.07644,0.023826,20.2324,0.206149
2025-03-28,39.1021,58.6974,3.66618,4.0724,0.0176645,19.5953,0.206149
2025-03-31,39.8404,59.2627,3.68488,4.08198,0.0233921,19.4222,0.206149
2025-04-01,40.1298,60.0659,3.69212,4.09544,0.0353635,19.9361,0.206149
2025-04-02,40.5189,61.0873,3.70177,4.1123,0.0502363,20.5684,0.206149
2025-04-03,37.9846,58.5387,3.63718,4.06969,0.020935,20.5541,0.206149
2025-04-04,33.375,54.1159,3.50781,3.99113,-0.030956,20.7409,0.206149
2025-04-07,33.4348,54.3935,3.5096,3.99625,-0.0262075,20.9587,0.206149
2025-04-08,32.028,53.8779,3.46661,3.98672,-0.0268712,21.8499,0.206149
2025-04-09,34.4825,55.9505,3.54045,4.02447,-0.00434637,21.468,0.206149
2025-04-10,32.1777,54.6117,3.47127,4.00025,-0.0143038,22.434,0.206149
2025-04-11,33.3151,55.9207,3.50601,4.02393,0.00222165,22.6056,0.206149
2025-04-14,33.3849,56.8826,3.5081,4.04099,0.0188453,23.4977,0.206149
2025-04-15,33.2652,58.0528,3.50451,4.06135,0.0399491,24.7876,0.206149
2025-04-16,34.0235,57.7751,3.52705,4.05656,0.030508,23.7516,0.206149
2025-04-17,34.1033,58.1321,3.52939,4.06272,0.0361851,24.0288,0.206149
2025-04-21,32.5468,55.9703,3.48268,4.02482,0.0079176,23.4235,0.206149
2025-04-22,33.2153,57.7156,3.50301,4.05553,0.0344335,24.5003,0.206149
2025-04-23,33.9736,57.9933,3.52558,4.06033,0.0345796,24.0197,0.206149
2025-04-24,33.784,59.1139,3.51999,4.07947,0.0548716,25.3299,0.206149
2025-04-25,34.712,58.5387,3.54708,4.06969,0.0395083,23.8268,0.206149
2025-04-28,35.1709,59.1635,3.56022,4.0803,0.0474164,23.9926,0.206149
2025-04-29,35.0213,59.1734,3.55596,4.08047,0.0484631,24.1521,0.206149
2025-04-30,33.8539,58.0826,3.52205,4.06187,0.0368452,24.2287,0.206149
2025-05-01,34.1432,58.3106,3.53056,4.06578,0.0390099,24.1674,0.206149
2025-05-02,34.9315,59.5007,3.55339,4.08599,0.0545076,24.5692,0.206149
2025-05-05,34.9814,59.6693,3.55482,4.08882,0.0570427,24.6879,0.206149
2025-05-06,34.9514,58.2115,3.55396,4.06408,0.0324851,23.2601,0.206149
2025-05-07,35.7396,58.4495,3.57626,4.06816,0.0319678,22.7098,0.206149
2025-05-08,36.6476,56.5851,3.60135,4.03575,-0.00562055,19.9375,0.206149
2025-05-09,37.7751,57.1801,3.63165,4.04621,-0.00140678,19.4051,0.206149
2025-05-12,38.9125,56.6546,3.66132,4.03697,-0.0167568,17.742,0.206149
2025-05-13,40.5289,57.5867,3.70201,4.05329,-0.00882711,17.0578,0.206149
2025-05-14,40.3293,57.7156,3.69708,4.05553,-0.00557342,17.3863,0.206149
2025-05-15,40.2096,58.2809,3.69411,4.06527,0.00478571,18.0713,0.206149
2025-05-16,40.03,58.3007,3.68963,4.06561,0.00604877,18.2707,0.206149
2025-05-19,39.3415,58.0528,3.67228,4.06135,0.00536359,18.7113,0.206149
2025-05-20,39.6309,58.2809,3.67961,4.06527,0.00777417,18.65,0.206149
2025-05-21,39.2318,57.4479,3.66949,4.05088,-0.00453544,18.2161,0.206149
2025-05-22,39.3216,57.2694,3.67177,4.04777,-0.00811878,17.9478,0.206149
2025-05-23,39.4613,58.4991,3.67532,4.06901,0.0123948,19.0378,0.206149
2025-05-27,39.7207,59.5998,3.68187,4.08765,0.0296859,19.8791,0.206149
2025-05-28,39.2518,60.1155,3.67,4.09627,0.0407492,20.8638,0.206149
2025-05-29,39.122,59.7684,3.66669,4.09048,0.0356412,20.6464,0.206149
2025-05-30,37.9547,60.0064,3.63639,4.09445,0.0458603,22.0518,0.206149
2025-06-02,38.8327,60.7601,3.65926,4.10693,0.0536274,21.9274,0.206149
2025-06-03,38.9524,60.6014,3.66234,4.10432,0.050378,21.649,0.206149
2025-06-04,37.6254,59.6197,3.62768,4.08799,0.0411905,21.9943,0.206149
2025-06-05,37.3161,60.056,3.61942,4.09528,0.0501842,22.7399,0.206149
2025-06-06,38.3039,60.056,3.64555,4.09528,0.0447983,21.7521,0.206149
2025-06-09,38.7229,59.1635,3.65643,4.0803,0.0275823,20.4406,0.206149
2025-06-10,38.6431,58.4693,3.65437,4.0685,0.0162051,19.8262,0.206149
2025-06-11,39.2418,58.9255,3.66974,4.07627,0.0208076,19.6837,0.206149
2025-06-12,40.03,59.58,3.68963,4.08732,0.027754,19.55,0.206149
2025-06-13,41.39,59.78,3.72304,4.09067,0.0242177,18.39,0.206149
