Date,DVN Raw Price,FANG Raw Price,DVN Log Price,FANG Log Price,Residual,Spread,Beta
2025-02-11,34.6268,159.764,3.54463,5.0737,0.0309061,125.137,1.07807
2025-02-12,33.4929,153.305,3.51133,5.03243,0.0255286,119.812,1.07807
2025-02-13,33.7394,154.005,3.51867,5.03698,0.0221804,120.265,1.07807
2025-02-14,34.1535,154.813,3.53087,5.04222,0.0142663,120.66,1.07807
2025-02-18,34.3901,154.587,3.53777,5.04075,0.00535644,120.196,1.07807
2025-02-19,37.0424,158.038,3.61206,5.06284,-0.0526542,120.996,1.07807
2025-02-20,38.0086,159.843,3.63781,5.07419,-0.0690604,121.834,1.07807
2025-02-21,36.9635,153.955,3.60993,5.03666,-0.0765288,116.992,1.07807
2025-02-24,36.786,153.078,3.60512,5.03095,-0.0770573,116.292,1.07807
2025-02-25,35.3761,149.814,3.56604,5.00939,-0.0564786,114.438,1.07807
2025-02-26,34.962,150.317,3.55426,5.01274,-0.0404332,115.355,1.07807
2025-02-27,35.3761,153.433,3.56604,5.03326,-0.0326084,118.057,1.07807
2025-02-28,35.7113,156.756,3.57547,5.05469,-0.0213478,121.045,1.07807
2025-03-03,33.9267,145.948,3.5242,4.98325,-0.0375217,112.021,1.07807
2025-03-04,33.769,143.029,3.51954,4.96305,-0.0527,109.26,1.07807
2025-03-05,33.1873,140.722,3.50217,4.94678,-0.0502321,107.534,1.07807
2025-03-06,33.3943,138.934,3.50839,4.934,-0.0697213,105.54,1.07807
2025-03-07,34.2225,139.143,3.53288,4.9355,-0.0946321,104.92,1.07807
2025-03-10,33.7296,139.609,3.51837,4.93885,-0.0756406,105.88,1.07807
2025-03-11,33.9267,143.651,3.5242,4.96739,-0.0533846,109.724,1.07807
2025-03-12,34.262,145.538,3.53404,4.98044,-0.0509348,111.276,1.07807
2025-03-13,33.3155,144.793,3.50602,4.97531,-0.0258641,111.478,1.07807
2025-03-14,34.3085,149.163,3.53539,5.00504,-0.0277957,114.854,1.07807
2025-03-17,34.8645,151.973,3.55147,5.0237,-0.0264631,117.109,1.07807
2025-03-18,35.1227,153.93,3.55885,5.0365,-0.021626,118.807,1.07807
2025-03-19,35.798,156.512,3.57789,5.05313,-0.0255204,120.714,1.07807
2025-03-20,35.8774,157.386,3.58011,5.0587,-0.0223421,121.508,1.07807
2025-03-21,35.8973,157.406,3.58066,5.05883,-0.0228124,121.508,1.07807
2025-03-24,36.7016,159.898,3.60282,5.07454,-0.0309898,123.197,1.07807
2025-03-25,36.7115,160.484,3.60309,5.0782,-0.0276237,123.773,1.07807
2025-03-26,37.208,161.964,3.61653,5.08737,-0.0329283,124.756,1.07807
2025-03-27,36.6222,159.124,3.60065,5.06968,-0.03351,122.501,1.07807
2025-03-28,36.503,156.452,3.59739,5.05275,-0.0469272,119.949,1.07807
2025-03-31,37.1385,158.776,3.61466,5.06749,-0.050791,121.637,1.07807
2025-04-01,37.3074,159.759,3.61919,5.07367,-0.0495072,122.452,1.07807
2025-04-02,37.6549,160.375,3.62846,5.07751,-0.0556572,122.72,1.07807
2025-04-03,32.9282,140.304,3.49433,4.94381,-0.0447507,107.376,1.07807
2025-04-04,29.1051,122.518,3.37091,4.80826,-0.0472559,93.413,1.07807
2025-04-07,28.41,123.67,3.34674,4.81762,-0.0118376,95.2601,1.07807
2025-04-08,26.6126,118.427,3.28139,4.77429,0.0152945,91.8139,1.07807
2025-04-09,30.8528,133.998,3.42923,4.89783,-0.0205543,103.145,1.07807
2025-04-10,27.556,122.31,3.31622,4.80656,0.0100033,94.7536,1.07807
2025-04-11,28.0326,128.119,3.33337,4.85296,0.0379205,100.087,1.07807
2025-04-14,28.5291,126.759,3.35093,4.84228,0.00831725,98.2295,1.07807
2025-04-15,28.3305,126.262,3.34394,4.83836,0.0119232,97.9315,1.07807
2025-04-16,29.0952,129.321,3.37057,4.8623,0.00714942,100.226,1.07807
2025-04-17,30.0981,136.69,3.40446,4.91771,0.0260297,106.591,1.07807
2025-04-21,29.2739,131.436,3.3767,4.87852,0.0167713,102.162,1.07807
2025-04-22,30.9819,135.597,3.4334,4.90969,-0.0131941,104.615,1.07807
2025-04-23,30.8627,134.604,3.42955,4.90234,-0.0163906,103.741,1.07807
2025-04-24,31.25,135.22,3.44202,4.9069,-0.0252703,103.97,1.07807
2025-04-25,31.1308,135.816,3.4382,4.9113,-0.0167548,104.685,1.07807
2025-04-28,31.3294,136.868,3.44456,4.91902,-0.0158895,105.539,1.07807
2025-04-29,31.0812,135.706,3.4366,4.91049,-0.0158387,104.625,1.07807
2025-04-30,30.1974,131.098,3.40776,4.87595,-0.0192852,100.901,1.07807
2025-05-01,30.9422,133.899,3.43212,4.89709,-0.0244139,102.957,1.07807
2025-05-02,31.2202,135.865,3.44107,4.91166,-0.0194797,104.645,1.07807
2025-05-05,30.4059,132.161,3.41464,4.88402,-0.0186316,101.755,1.07807
2025-05-06,30.3761,131.069,3.41366,4.87572,-0.025875,100.693,1.07807
2025-05-07,30.0782,128.675,3.4038,4.85729,-0.0336791,98.5971,1.07807
2025-05-08,31.7068,135.24,3.45653,4.90705,-0.0407677,103.533,1.07807
2025-05-09,32.3026,136.938,3.47515,4.91953,-0.048359,104.635,1.07807
2025-05-12,33.3155,141.933,3.50602,4.95536,-0.0458147,108.618,1.07807
2025-05-13,34.0503,145.161,3.52784,4.97784,-0.0468496,111.11,1.07807
2025-05-14,33.7226,143.82,3.51817,4.96856,-0.0457029,110.097,1.07807
2025-05-15,33.1665,141.95,3.50154,4.95547,-0.0408651,108.783,1.07807
2025-05-16,33.0275,141.13,3.49734,4.94968,-0.04213,108.103,1.07807
2025-05-19,32.4615,139.35,3.48005,4.93699,-0.0361869,106.889,1.07807
2025-05-20,31.9451,138.35,3.46402,4.92979,-0.0261022,106.405,1.07807
2025-05-21,31.2798,136.31,3.44297,4.91493,-0.0182675,105.03,1.07807
2025-05-22,30.9223,136.29,3.43148,4.91478,-0.00602245,105.368,1.07807
2025-05-23,30.9422,135.86,3.43212,4.91162,-0.00987464,104.918,1.07807
2025-05-27,31.1308,137.49,3.4382,4.92355,-0.00450197,106.359,1.07807
2025-05-28,30.6443,136.28,3.42245,4.91471,0.00364165,105.636,1.07807
2025-05-29,30.8925,137.81,3.43051,4.92588,0.00610759,106.917,1.07807
2025-05-30,30.0485,134.55,3.40281,4.90194,0.0120329,104.502,1.07807
2025-06-02,30.9223,137.59,3.43148,4.92428,0.00347085,106.668,1.07807
2025-06-03,31.7862,142.28,3.45903,4.9578,0.00728321,110.494,1.07807
2025-06-04,31.3394,139.35,3.44487,4.93699,0.00173814,108.011,1.07807
2025-06-05,31.2003,137.45,3.44043,4.92326,-0.00719753,106.25,1.07807
2025-06-06,32.0643,140.56,3.46774,4.94563,-0.0142686,108.496,1.07807
2025-06-09,32.4217,142.13,3.47883,4.95674,-0.0151137,109.708,1.07807
2025-06-10,33.236,145.57,3.50363,4.98066,-0.0179399,112.334,1.07807
2025-06-11,34.229,148.92,3.53307,5.00341,-0.026926,114.691,1.07807
2025-06-12,34.09,149.33,3.529,5.00616,-0.019789,115.24,1.07807
2025-06-13,35.11,154.91,3.55849,5.04284,-0.0148869,119.8,1.07807
