Date,PSX Raw Price,MTDR Raw Price,PSX Log Price,MTDR Log Price,Residual,Spread,Beta
2025-02-12,122.741,55.6723,4.81007,4.01948,0.064294,67.0684,1.15257
2025-02-13,123.231,56.363,4.81406,4.03181,0.0720251,66.8684,1.15257
2025-02-14,125.685,56.4321,4.83378,4.03304,0.0505231,69.2534,1.15257
2025-02-18,127.884,57.034,4.85113,4.04365,0.0411433,70.8503,1.15257
2025-02-19,127.57,55.8795,4.84867,4.0232,0.0235278,71.6907,1.15257
2025-02-20,129.131,55.7315,4.86083,4.02055,0.00686009,73.3994,1.15257
2025-02-21,126.412,52.4062,4.83955,3.95902,-0.0301329,74.0057,1.15257
2025-02-24,125.867,52.6923,4.83523,3.96447,-0.0197098,73.1748,1.15257
2025-02-25,125.055,51.7648,4.82875,3.94671,-0.0300084,73.2902,1.15257
2025-02-26,124.243,51.4392,4.82224,3.9404,-0.0288089,72.8036,1.15257
2025-02-27,126.194,51.8141,4.83782,3.94766,-0.0395061,74.3799,1.15257
2025-02-28,128.452,51.9561,4.85556,3.9504,-0.0572132,76.4961,1.15257
2025-03-03,123.797,47.3898,4.81864,3.85841,-0.106659,76.4072,1.15257
2025-03-04,121.123,46.0894,4.79681,3.83058,-0.109312,75.0334,1.15257
2025-03-05,118.597,45.3846,4.77573,3.81517,-0.100435,73.2125,1.15257
2025-03-06,121.618,44.4614,4.80089,3.79462,-0.149976,77.1566,1.15257
2025-03-07,124.976,44.9379,4.82812,3.80528,-0.170706,80.0378,1.15257
2025-03-10,124.926,44.6898,4.82772,3.79974,-0.175787,80.2364,1.15257
2025-03-11,122.371,46.6552,4.80706,3.84279,-0.108925,75.7156,1.15257
2025-03-12,122.797,47.9258,4.81053,3.86965,-0.08606,74.8709,1.15257
2025-03-13,121.331,46.5858,4.79852,3.84129,-0.100579,74.7451,1.15257
2025-03-14,125.52,48.2634,4.83247,3.87667,-0.104328,77.2571,1.15257
2025-03-17,127.957,49.9906,4.85169,3.91183,-0.0913246,77.9664,1.15257
2025-03-18,127.184,50.1891,4.84564,3.9158,-0.0803812,76.9953,1.15257
2025-03-19,127.769,52.234,4.85022,3.95573,-0.0457292,75.5348,1.15257
2025-03-20,127.591,51.9263,4.84883,3.94983,-0.0500286,75.6642,1.15257
2025-03-21,124.292,51.1322,4.82264,3.93441,-0.0352543,73.1601,1.15257
2025-03-24,125.263,52.5814,4.83042,3.96236,-0.0162704,72.6815,1.15257
2025-03-25,124.292,51.9362,4.82264,3.95002,-0.0196515,72.3561,1.15257
2025-03-26,125.362,51.8568,4.83121,3.94849,-0.0310586,73.5052,1.15257
2025-03-27,123.53,51.1222,4.81648,3.93422,-0.0283544,72.4074,1.15257
2025-03-28,120.598,50.1395,4.79246,3.91481,-0.0200809,70.4584,1.15257
2025-03-31,122.301,50.7152,4.80649,3.92623,-0.0248309,71.5862,1.15257
2025-04-01,123.163,50.7351,4.81351,3.92662,-0.0325317,72.4281,1.15257
2025-04-02,122.876,51.8469,4.81118,3.94829,-0.00816376,71.0291,1.15257
2025-04-03,106.157,44.2431,4.66492,3.7897,0.00181075,61.914,1.15257
2025-04-04,97.8669,38.0985,4.58361,3.64017,-0.0539969,59.7685,1.15257
2025-04-07,95.6681,38.0488,4.56089,3.63887,-0.0291098,57.6193,1.15257
2025-04-08,91.9836,36.401,4.52161,3.5946,-0.028117,55.5826,1.15257
2025-04-09,102.146,42.1882,4.6264,3.74214,-0.0013497,59.9575,1.15257
2025-04-10,96.0643,37.5624,4.56502,3.626,-0.0467392,58.5019,1.15257
2025-04-11,96.4506,39.1209,4.56903,3.66666,-0.0107115,57.3297,1.15257
2025-04-14,96.8864,38.9422,4.57354,3.66208,-0.0204855,57.9441,1.15257
2025-04-15,95.2917,38.6643,4.55694,3.65492,-0.00852065,56.6275,1.15257
2025-04-16,95.6483,39.8356,4.56068,3.68476,0.0170202,55.8127,1.15257
2025-04-17,98.1542,41.1658,4.58654,3.71761,0.0200591,56.9884,1.15257
2025-04-21,96.0841,39.7364,4.56522,3.68227,0.00928547,56.3478,1.15257
2025-04-22,99.937,40.7191,4.60454,3.7067,-0.0115983,59.2179,1.15257
2025-04-23,101.799,40.5404,4.623,3.7023,-0.0372736,61.2586,1.15257
2025-04-24,103.691,40.4511,4.64141,3.70009,-0.0607019,63.2397,1.15257
2025-04-25,102.978,40.7687,4.63451,3.70792,-0.0449256,62.2089,1.15257
2025-04-28,104.77,41.2353,4.65177,3.71929,-0.0534391,63.5351,1.15257
2025-04-29,104.988,40.7191,4.65385,3.7067,-0.0684308,64.2692,1.15257
2025-04-30,103.067,39.25,4.63538,3.66995,-0.083888,63.8169,1.15257
2025-05-01,102.473,40.193,4.62959,3.69369,-0.0534809,62.2796,1.15257
2025-05-02,106.127,40.7886,4.66464,3.7084,-0.0791628,65.3387,1.15257
2025-05-05,105.88,39.3592,4.6623,3.67273,-0.112144,66.5206,1.15257
2025-05-06,104.384,40.0342,4.64808,3.68973,-0.078743,64.35,1.15257
2025-05-07,104.543,39.7463,4.64959,3.68252,-0.0877083,64.7963,1.15257
2025-05-08,108.148,42.357,4.6835,3.74613,-0.0631688,65.7909,1.15257
2025-05-09,109.861,42.75,4.69922,3.75537,-0.0720514,67.1114,1.15257
2025-05-12,117.547,44.69,4.76684,3.79975,-0.10561,72.8573,1.15257
2025-05-13,124.372,46.36,4.82327,3.83644,-0.133965,78.0115,1.15257
2025-05-14,123.51,45.89,4.81632,3.82625,-0.136142,77.6198,1.15257
2025-05-15,123.579,44.59,4.81688,3.79751,-0.165526,78.9892,1.15257
2025-05-16,124.53,44.54,4.82455,3.79639,-0.175482,79.99,1.15257
2025-05-19,122.18,44.29,4.8055,3.79076,-0.159153,77.89,1.15257
2025-05-20,120.9,44.28,4.79496,3.79053,-0.14724,76.62,1.15257
2025-05-21,111.78,43.55,4.71653,3.77391,-0.0734661,68.23,1.15257
2025-05-22,112.98,43.6,4.72721,3.77506,-0.0846261,69.38,1.15257
2025-05-23,113.13,43.4,4.72854,3.77046,-0.0907529,69.73,1.15257
2025-05-27,114.33,44.16,4.73909,3.78782,-0.0855543,70.17,1.15257
2025-05-28,112.77,43.83,4.72535,3.78032,-0.0772202,68.94,1.15257
2025-05-29,114.68,44.04,4.74215,3.7851,-0.0917983,70.64,1.15257
2025-05-30,113.48,43.01,4.73163,3.76143,-0.10334,70.47,1.15257
2025-06-02,114.28,43.51,4.73865,3.77299,-0.0998787,70.77,1.15257
2025-06-03,115.97,45.8,4.75333,3.82428,-0.0655052,70.17,1.15257
2025-06-04,112.48,45.01,4.72278,3.80688,-0.0476864,67.47,1.15257
2025-06-05,112.23,44.77,4.72055,3.80154,-0.0504682,67.46,1.15257
2025-06-06,114.29,45.79,4.73874,3.82407,-0.0489046,68.5,1.15257
2025-06-09,116.1,46.66,4.75445,3.84289,-0.0481932,69.44,1.15257
2025-06-10,118.7,47.93,4.7766,3.86974,-0.0468654,70.77,1.15257
2025-06-11,120.95,49.02,4.79538,3.89223,-0.0460216,71.93,1.15257
2025-06-12,121.52,49.5,4.80008,3.90197,-0.0416963,72.02,1.15257
2025-06-13,122.15,51.64,4.80525,3.9443,-0.00533238,70.51,1.15257
