Date,MPC Raw Price,MUR Raw Price,MPC Log Price,MUR Log Price,Residual,Spread,Beta
2025-04-28,136.805,20.9044,4.91856,3.03996,-0.13967,115.9,0.405345
2025-04-29,137.531,20.9143,4.92385,3.04043,-0.141344,116.617,0.405345
2025-04-30,136.636,20.2342,4.91732,3.00738,-0.171755,116.402,0.405345
2025-05-01,136.944,20.8059,4.91957,3.03524,-0.144809,116.138,0.405345
2025-05-02,140.753,21.4662,4.947,3.06648,-0.124682,119.286,0.405345
2025-05-05,142.523,20.3131,4.9595,3.01127,-0.184963,122.209,0.405345
2025-05-06,143.736,20.6975,4.96798,3.03001,-0.169653,123.038,0.405345
2025-05-07,143.875,20.6975,4.96894,3.03001,-0.170045,123.177,0.405345
2025-05-08,149.125,21.072,5.00479,3.04795,-0.16664,128.053,0.405345
2025-05-09,150.04,21.5451,5.0109,3.07015,-0.146916,128.495,0.405345
2025-05-12,157.249,22.6489,5.05783,3.12011,-0.115973,134.6,0.405345
2025-05-13,161.923,22.9939,5.08712,3.13523,-0.112729,138.929,0.405345
2025-05-14,162.599,22.6489,5.09129,3.12011,-0.129534,139.95,0.405345
2025-05-15,164.359,22.235,5.10205,3.10167,-0.152344,142.124,0.405345
2025-05-16,163.195,22.08,5.09495,3.09467,-0.15646,141.115,0.405345
2025-05-19,161.356,21.62,5.08361,3.07362,-0.172918,139.736,0.405345
2025-05-20,160.62,21.61,5.07904,3.07316,-0.171528,139.01,0.405345
2025-05-21,156.7,20.93,5.05433,3.04118,-0.193485,135.77,0.405345
2025-05-22,158.89,21,5.06821,3.04452,-0.195772,137.89,0.405345
2025-05-23,159.11,20.89,5.0696,3.03927,-0.201585,138.22,0.405345
2025-05-27,162.33,21.43,5.08963,3.06479,-0.184185,140.9,0.405345
2025-05-28,158.61,21.23,5.06645,3.05542,-0.184164,137.38,0.405345
2025-05-29,159.92,21.25,5.07467,3.05636,-0.186557,138.67,0.405345
2025-05-30,160.74,20.93,5.07979,3.04118,-0.203803,139.81,0.405345
2025-06-02,158.75,21.27,5.06733,3.0573,-0.18264,137.48,0.405345
2025-06-03,161.97,22.03,5.08741,3.09241,-0.155672,139.94,0.405345
2025-06-04,156.95,21.67,5.05593,3.07593,-0.159386,135.28,0.405345
2025-06-05,158.21,21.54,5.06392,3.06991,-0.168644,136.67,0.405345
2025-06-06,160.12,22.5,5.07592,3.11352,-0.129905,137.62,0.405345
2025-06-09,160.27,23.02,5.07686,3.13636,-0.107437,137.25,0.405345
2025-06-10,162.64,23.79,5.09154,3.16927,-0.0804848,138.85,0.405345
2025-06-11,164.66,24.32,5.10388,3.1913,-0.0634545,140.34,0.405345
2025-06-12,165.07,24.41,5.10637,3.19499,-0.0607687,140.66,0.405345
2025-06-13,166.15,25.43,5.11289,3.23593,-0.0224754,140.72,0.405345
