Date,XOM Raw Price,RRC Raw Price,XOM Log Price,RRC Log Price,Residual,Spread,Beta
2025-03-27,116.814,38.703,4.76058,3.65592,-0.0497105,78.1111,0.949309
2025-03-28,116.656,39.1021,4.75923,3.66618,-0.0381622,77.5535,0.949309
2025-03-31,117.845,39.8404,4.76937,3.68488,-0.0290829,78.0042,0.949309
2025-04-01,117.954,40.1298,4.77029,3.69212,-0.0227241,77.8239,0.949309
2025-04-02,117.587,40.5189,4.76718,3.70177,-0.0101188,77.0681,0.949309
2025-04-03,111.404,37.9846,4.71316,3.63718,-0.0234292,73.4194,0.949309
2025-04-04,103.388,33.375,4.63849,3.50781,-0.0819132,70.0128,0.949309
2025-04-07,102.001,33.4348,4.62498,3.5096,-0.0672974,68.5657,0.949309
2025-04-08,99.8504,32.028,4.60367,3.46661,-0.0900597,67.8224,0.949309
2025-04-09,104.834,34.4825,4.65238,3.54045,-0.0624593,70.352,0.949309
2025-04-10,99.018,32.1777,4.5953,3.47127,-0.0774512,66.8404,0.949309
2025-04-11,102.199,33.3151,4.62692,3.50601,-0.0727274,68.8836,0.949309
2025-04-14,102.446,33.3849,4.62934,3.5081,-0.0729315,69.0615,0.949309
2025-04-15,102.159,33.2652,4.62653,3.50451,-0.0738578,68.8939,0.949309
2025-04-16,103.239,34.0235,4.63705,3.52705,-0.061302,69.2156,0.949309
2025-04-17,105.944,34.1033,4.66291,3.52939,-0.0835122,71.8409,0.949309
2025-04-21,104.389,32.5468,4.64812,3.48268,-0.116184,71.8417,0.949309
2025-04-22,107.312,33.2153,4.67574,3.50301,-0.12207,74.0963,0.949309
2025-04-23,106.39,33.9736,4.66711,3.52558,-0.09131,72.4165,0.949309
2025-04-24,107.639,33.784,4.67878,3.51999,-0.107981,73.8546,0.949309
2025-04-25,107.579,34.712,4.67823,3.54708,-0.0803609,72.8672,0.949309
2025-04-28,107.639,35.1709,4.67878,3.56022,-0.0677498,72.4677,0.949309
2025-04-29,107.371,35.0213,4.67629,3.55596,-0.0696518,72.3498,0.949309
2025-04-30,104.666,33.8539,4.65077,3.52205,-0.0793302,70.8121,0.949309
2025-05-01,104.815,34.1432,4.65219,3.53056,-0.0721665,70.6714,0.949309
2025-05-02,105.241,34.9315,4.65625,3.55339,-0.0531944,70.3093,0.949309
2025-05-05,102.328,34.9814,4.62818,3.55482,-0.0251187,67.3462,0.949309
2025-05-06,103.754,34.9514,4.64203,3.55396,-0.0391206,68.803,0.949309
2025-05-07,103.655,35.7396,4.64107,3.57626,-0.015912,67.9157,0.949309
2025-05-08,105.102,36.6476,4.65493,3.60135,-0.00398208,68.4544,0.949309
2025-05-09,106.331,37.7751,4.66655,3.63165,0.0152859,68.5556,0.949309
2025-05-12,108.164,38.9125,4.68365,3.66132,0.0287259,69.2513,0.949309
2025-05-13,108.461,40.5289,4.68639,3.70201,0.0668195,67.9322,0.949309
2025-05-14,107.49,40.3293,4.6774,3.69708,0.0704211,67.1607,0.949309
2025-05-15,108.58,40.2096,4.68749,3.69411,0.0578698,68.3704,0.949309
2025-05-16,108.19,40.03,4.68389,3.68963,0.0568092,68.16,0.949309
2025-05-19,106.47,39.3415,4.66786,3.67228,0.0546746,67.1285,0.949309
2025-05-20,104.95,39.6309,4.65348,3.67961,0.0756528,65.3191,0.949309
2025-05-21,103.66,39.2318,4.64112,3.66949,0.0772719,64.4282,0.949309
2025-05-22,102.97,39.3216,4.63444,3.67177,0.0858983,63.6484,0.949309
2025-05-23,103.03,39.4613,4.63502,3.67532,0.0888915,63.5687,0.949309
2025-05-27,103.52,39.7207,4.63976,3.68187,0.0909399,63.7993,0.949309
2025-05-28,102.11,39.2518,4.62605,3.67,0.0920825,62.8582,0.949309
2025-05-29,102.69,39.122,4.63171,3.66669,0.0833955,63.568,0.949309
2025-05-30,102.3,37.9547,4.62791,3.63639,0.0567141,64.3453,0.949309
2025-06-02,103.05,38.8327,4.63521,3.65926,0.0726498,64.2173,0.949309
2025-06-03,103.8,38.9524,4.64247,3.66234,0.0688442,64.8476,0.949309
2025-06-04,102.3,37.6254,4.62791,3.62768,0.0480012,64.6746,0.949309
2025-06-05,101.83,37.3161,4.6233,3.61942,0.0441181,64.5139,0.949309
2025-06-06,104.27,38.3039,4.64698,3.64555,0.0477658,65.9661,0.949309
2025-06-09,104.97,38.7229,4.65367,3.65643,0.052295,66.2471,0.949309
2025-06-10,107.22,38.6431,4.67488,3.65437,0.0300983,68.5769,0.949309
2025-06-11,109.31,39.2418,4.69419,3.66974,0.0271451,70.0682,0.949309
2025-06-12,109.73,40.03,4.69802,3.68963,0.0433918,69.7,0.949309
2025-06-13,112.12,41.39,4.71957,3.72304,0.0563473,70.73,0.949309
