Date,ENB Raw Price,ET Raw Price,ENB Log Price,ET Log Price,Residual,Spread,Beta
2025-04-09,41.77,16.3552,3.73218,2.79455,-0.121671,25.4148,-0.327513
2025-04-10,41.82,15.6096,3.73337,2.74788,-0.167942,26.2104,-0.327513
2025-04-11,43.24,16.0216,3.76677,2.77394,-0.13095,27.2184,-0.327513
2025-04-14,44.02,16.5024,3.78464,2.8035,-0.0955295,27.5176,-0.327513
2025-04-15,44.28,16.7869,3.79053,2.8206,-0.0765063,27.4931,-0.327513
2025-04-16,44.57,16.6005,3.79706,2.80943,-0.0855351,27.9695,-0.327513
2025-04-17,45.37,16.9439,3.81485,2.82991,-0.059234,28.4261,-0.327513
2025-04-21,44.99,16.2473,3.80644,2.78793,-0.10397,28.7427,-0.327513
2025-04-22,45.64,16.6594,3.82078,2.81297,-0.0742255,28.9806,-0.327513
2025-04-23,45.61,16.7771,3.82013,2.82001,-0.0673985,28.8329,-0.327513
2025-04-24,46.36,17.2578,3.83644,2.84827,-0.0338047,29.1022,-0.327513
2025-04-25,46.19,17.1205,3.83276,2.84028,-0.0429988,29.0695,-0.327513
2025-04-28,46.64,16.9537,3.84246,2.83049,-0.0496134,29.6863,-0.327513
2025-04-29,46.64,16.7182,3.84246,2.8165,-0.0635996,29.9218,-0.327513
2025-04-30,46.69,16.2277,3.84353,2.78672,-0.0930305,30.4623,-0.327513
2025-05-01,46.48,16.2179,3.83902,2.78611,-0.0951117,30.2621,-0.327513
2025-05-02,46.86,16.3552,3.84716,2.79455,-0.0840112,30.5048,-0.327513
2025-05-05,46.59,15.8843,3.84139,2.76533,-0.115121,30.7057,-0.327513
2025-05-06,46.16,15.5115,3.83211,2.74158,-0.141909,30.6485,-0.327513
2025-05-07,46.69,16.5711,3.84353,2.80766,-0.0720906,30.1189,-0.327513
2025-05-08,45.78,17.042,3.82385,2.83568,-0.050514,28.738,-0.327513
2025-05-09,46.1,17.21,3.83081,2.84549,-0.0384231,28.89,-0.327513
2025-05-12,44.55,17.44,3.79661,2.85877,-0.0363483,27.11,-0.327513
2025-05-13,44.57,18,3.79706,2.89037,-0.00459604,26.57,-0.327513
2025-05-14,44.87,18.16,3.80377,2.89922,0.00645066,26.71,-0.327513
2025-05-15,44.92,17.97,3.80488,2.8887,-0.00370229,26.95,-0.327513
2025-05-16,44.85,17.95,3.80332,2.88759,-0.00532657,26.9,-0.327513
2025-05-19,44.94,18,3.80533,2.89037,-0.00188841,26.94,-0.327513
2025-05-20,45.61,18.14,3.82013,2.89812,0.010706,27.47,-0.327513
2025-05-21,45.57,17.76,3.81925,2.87695,-0.010752,27.81,-0.327513
2025-05-22,45.17,17.88,3.81043,2.88368,-0.00690553,27.29,-0.327513
2025-05-23,46.06,17.85,3.82994,2.882,-0.00219436,28.21,-0.327513
2025-05-27,46.04,17.95,3.82951,2.88759,0.00325002,28.09,-0.327513
2025-05-28,45.57,17.76,3.81925,2.87695,-0.010752,27.81,-0.327513
2025-05-29,45.85,17.68,3.82538,2.87243,-0.0132605,28.17,-0.327513
2025-05-30,46.48,17.48,3.83902,2.86106,-0.0201677,29,-0.327513
2025-06-02,47.16,17.48,3.85355,2.86106,-0.0154109,29.68,-0.327513
2025-06-03,47.07,17.9,3.85164,2.8848,0.00770685,29.17,-0.327513
2025-06-04,46.66,17.53,3.84289,2.86391,-0.0160454,29.13,-0.327513
2025-06-05,46.87,17.67,3.84738,2.87187,-0.00662012,29.2,-0.327513
2025-06-06,46.52,17.93,3.83988,2.88648,0.00553204,28.59,-0.327513
2025-06-09,45.82,17.71,3.82472,2.87413,-0.0117795,28.11,-0.327513
2025-06-10,45.85,17.99,3.82538,2.88982,0.00412149,27.86,-0.327513
2025-06-11,45.87,18.25,3.82581,2.90417,0.0186134,27.62,-0.327513
2025-06-12,46.81,18.45,3.8461,2.91506,0.0361565,28.36,-0.327513
2025-06-13,46.67,18.32,3.8431,2.90799,0.0281044,28.35,-0.327513
