Date,SHEL Raw Price,MUR Raw Price,SHEL Log Price,MUR Log Price,Residual,Spread,Beta
2025-02-20,67.6535,27.7938,4.2144,3.32481,0.100721,39.8597,0.751684
2025-02-21,65.9913,26.9166,4.18952,3.29274,0.0873502,39.0748,0.751684
2025-02-24,66.1793,27.3108,4.19237,3.30728,0.0997523,38.8685,0.751684
2025-02-25,66.1892,27.2615,4.19252,3.30548,0.097834,38.9277,0.751684
2025-02-26,66.6839,26.542,4.19996,3.27873,0.0654904,40.1419,0.751684
2025-02-27,66.5553,26.3351,4.19803,3.2709,0.0591131,40.2202,0.751684
2025-02-28,66.7433,26.1084,4.20085,3.26226,0.0483481,40.6349,0.751684
2025-03-03,65.7539,24.1076,4.18592,3.18253,-0.0201541,41.6463,0.751684
2025-03-04,65.4966,24.0781,4.182,3.1813,-0.0184349,41.4186,0.751684
2025-03-05,65.3977,23.674,4.18049,3.16438,-0.0342236,41.7237,0.751684
2025-03-06,65.3087,23.812,4.17912,3.17019,-0.0273879,41.4967,0.751684
2025-03-07,66.0804,24.9947,4.19087,3.21866,0.0122567,41.0857,0.751684
2025-03-10,66.0804,25.2805,4.19087,3.23003,0.0236272,40.7999,0.751684
2025-03-11,66.1002,24.8862,4.19117,3.21432,0.00768475,41.2139,0.751684
2025-03-12,66.6641,24.768,4.19967,3.20955,-0.00346508,41.8961,0.751684
2025-03-13,67.0203,24.5216,4.205,3.19955,-0.0174685,42.4987,0.751684
2025-03-14,68.0393,25.6649,4.22009,3.24512,0.0167576,42.3745,0.751684
2025-03-17,69.3552,26.2759,4.23924,3.26865,0.0258894,43.0793,0.751684
2025-03-18,70.216,25.724,4.25158,3.24742,-0.00461121,44.492,0.751684
2025-03-19,70.7601,26.7096,4.2593,3.28502,0.0271843,44.0505,0.751684
2025-03-20,71.1855,26.4435,4.26529,3.27501,0.0126655,44.7421,0.751684
2025-03-21,70.2555,26.3154,4.25214,3.27015,0.0176935,43.9402,0.751684
2025-03-24,70.5227,26.8673,4.25593,3.29091,0.0355977,43.6554,0.751684
2025-03-25,71.2647,27.3404,4.2664,3.30836,0.0451848,43.9243,0.751684
2025-03-26,72.2541,27.9416,4.28019,3.33012,0.0565726,44.3125,0.751684
2025-03-27,72.5113,28.0894,4.28374,3.33539,0.0591782,44.4219,0.751684
2025-03-28,71.9573,27.9613,4.27607,3.33082,0.060372,43.996,0.751684
2025-03-31,72.5014,27.9909,4.28361,3.33188,0.0557658,44.5106,0.751684
2025-04-01,72.2739,28.3358,4.28046,3.34413,0.0703775,43.938,0.751684
2025-04-02,71.9474,28.7892,4.27593,3.36,0.0896542,43.1582,0.751684
2025-04-03,69.0287,25.0439,4.23452,3.22063,-0.0185851,43.9848,0.751684
2025-04-04,63.4486,21.9985,4.15023,3.09097,-0.084884,41.4502,0.751684
2025-04-07,61.6579,21.1508,4.1216,3.05168,-0.102656,40.507,0.751684
2025-04-08,59.1152,19.3374,4.07949,2.96204,-0.160641,39.7778,0.751684
2025-04-09,63.2112,22.8461,4.14648,3.12878,-0.0442589,40.3651,0.751684
2025-04-10,59.1449,19.6823,4.07999,2.97972,-0.143337,39.4625,0.751684
2025-04-11,61.4303,20.5693,4.1179,3.0238,-0.127754,40.861,0.751684
2025-04-14,61.8755,20.2342,4.12512,3.00738,-0.149608,41.6413,0.751684
2025-04-15,62.113,19.8302,4.12895,2.9872,-0.17266,42.2828,0.751684
2025-04-16,63.3497,20.2934,4.14867,3.01029,-0.164389,43.0563,0.751684
2025-04-17,64.349,21.0621,4.16432,3.04748,-0.13897,43.2868,0.751684
2025-04-21,63.9631,20.5299,4.15831,3.02188,-0.160043,43.4332,0.751684
2025-04-22,64.4776,21.0819,4.16632,3.04841,-0.139536,43.3957,0.751684
2025-04-23,63.8246,20.2934,4.15614,3.01029,-0.170003,43.5312,0.751684
2025-04-24,64.3589,20.5299,4.16447,3.02188,-0.16468,43.8289,0.751684
2025-04-25,65.1603,20.7665,4.17685,3.03334,-0.162526,44.3938,0.751684
2025-04-28,65.3186,20.9044,4.17928,3.03996,-0.157727,44.4141,0.751684
2025-04-29,64.814,20.9143,4.17152,3.04043,-0.151427,43.8997,0.751684
2025-04-30,63.7949,20.2342,4.15567,3.00738,-0.172571,43.5607,0.751684
2025-05-01,64.1115,20.8059,4.16062,3.03524,-0.148433,43.3056,0.751684
2025-05-02,65.932,21.4662,4.18862,3.06648,-0.138234,44.4657,0.751684
2025-05-05,64.4281,20.3131,4.16555,3.01127,-0.176106,44.115,0.751684
2025-05-06,64.4083,20.6975,4.16524,3.03001,-0.157129,43.7109,0.751684
2025-05-07,64.3589,20.6975,4.16447,3.03001,-0.156552,43.6614,0.751684
2025-05-08,64.3885,21.072,4.16494,3.04795,-0.138965,43.3165,0.751684
2025-05-09,65.4472,21.5451,4.18124,3.07015,-0.12902,43.9021,0.751684
2025-05-12,65.6747,22.6489,4.18471,3.12011,-0.0816636,43.0258,0.751684
2025-05-13,66.8917,22.9939,4.20307,3.13523,-0.0803487,43.8978,0.751684
2025-05-14,66.3772,22.6489,4.19535,3.12011,-0.0896609,43.7282,0.751684
2025-05-15,66.674,22.235,4.19982,3.10167,-0.111461,44.439,0.751684
2025-05-16,66.62,22.08,4.199,3.09467,-0.117847,44.54,0.751684
2025-05-19,66.67,21.62,4.19976,3.07362,-0.139464,45.05,0.751684
2025-05-20,66.62,21.61,4.199,3.07316,-0.139363,45.01,0.751684
2025-05-21,66.36,20.93,4.19509,3.04118,-0.168396,45.43,0.751684
2025-05-22,65.95,21,4.1889,3.04452,-0.160399,44.95,0.751684
2025-05-23,66.3,20.89,4.19419,3.03927,-0.169629,45.41,0.751684
2025-05-27,66.69,21.43,4.20006,3.06479,-0.148517,45.26,0.751684
2025-05-28,66.04,21.23,4.19026,3.05542,-0.150531,44.81,0.751684
2025-05-29,66.44,21.25,4.1963,3.05636,-0.154128,45.19,0.751684
2025-05-30,66.22,20.93,4.19298,3.04118,-0.166809,45.29,0.751684
2025-06-02,67.45,21.27,4.21139,3.0573,-0.164529,46.18,0.751684
2025-06-03,67.83,22.03,4.217,3.09241,-0.133644,45.8,0.751684
2025-06-04,67.27,21.67,4.20871,3.07593,-0.143889,45.6,0.751684
2025-06-05,67.53,21.54,4.21257,3.06991,-0.152805,45.99,0.751684
2025-06-06,68.02,22.5,4.2198,3.11352,-0.114636,45.52,0.751684
2025-06-09,68.26,23.02,4.22332,3.13636,-0.0944359,45.24,0.751684
2025-06-10,70.05,23.79,4.24921,3.16927,-0.0809916,46.26,0.751684
2025-06-11,71.02,24.32,4.26296,3.1913,-0.0692952,46.7,0.751684
2025-06-12,71.44,24.41,4.26886,3.19499,-0.0700336,47.03,0.751684
2025-06-13,72.54,25.43,4.28414,3.23593,-0.0405828,47.11,0.751684
