Date,PSX Raw Price,SM Raw Price,PSX Log Price,SM Log Price,Residual,Spread,Beta
2025-03-19,127.769,30.9204,4.85022,3.43142,-0.102493,96.8484,1.56536
2025-03-20,127.591,30.6529,4.84883,3.42273,-0.108999,96.9377,1.56536
2025-03-21,124.292,30.3952,4.82264,3.41428,-0.0764435,93.8971,1.56536
2025-03-24,125.263,31.525,4.83042,3.45078,-0.0521248,93.738,1.56536
2025-03-25,124.292,30.2564,4.82264,3.40971,-0.0810186,94.0359,1.56536
2025-03-26,125.362,30.5141,4.83121,3.41819,-0.0859528,94.8479,1.56536
2025-03-27,123.53,29.9789,4.81648,3.4005,-0.0805977,93.5507,1.56536
2025-03-28,120.598,29.1366,4.79246,3.37199,-0.0715002,91.4613,1.56536
2025-03-31,122.301,29.6816,4.80649,3.39053,-0.0749234,92.6198,1.56536
2025-04-01,123.163,29.5032,4.81351,3.3845,-0.0919419,93.6599,1.56536
2025-04-02,122.876,30.2465,4.81118,3.40938,-0.063406,92.6294,1.56536
2025-04-03,106.157,25.103,4.66492,3.22299,-0.0208556,81.054,1.56536
2025-04-04,97.8669,22.0605,4.58361,3.09379,-0.0227727,75.8064,1.56536
2025-04-07,95.6681,21.6146,4.56089,3.07337,-0.00762479,74.0535,1.56536
2025-04-08,91.9836,20.2073,4.52161,3.00604,-0.01347,71.7763,1.56536
2025-04-09,102.146,24.3994,4.6264,3.19456,0.0110108,77.7463,1.56536
2025-04-10,96.0643,21.0497,4.56502,3.04689,-0.0405764,75.0146,1.56536
2025-04-11,96.4506,21.4758,4.56903,3.06693,-0.0268155,74.9748,1.56536
2025-04-14,96.8864,21.7632,4.57354,3.08022,-0.0205788,75.1232,1.56536
2025-04-15,95.2917,21.5254,4.55694,3.06923,-0.00558955,73.7664,1.56536
2025-04-16,95.6483,22.12,4.56068,3.09648,0.0158139,73.5283,1.56536
2025-04-17,98.1542,23.03,4.58654,3.1368,0.0156471,75.1242,1.56536
2025-04-21,96.0841,22.02,4.56522,3.09195,0.00416669,74.0641,1.56536
2025-04-22,99.937,22.88,4.60454,3.13026,-0.0190649,77.057,1.56536
2025-04-23,101.799,22.99,4.623,3.13506,-0.0431666,78.809,1.56536
2025-04-24,103.691,23.17,4.64141,3.14286,-0.0641903,80.5208,1.56536
2025-04-25,102.978,23.48,4.63451,3.15615,-0.0400968,79.4977,1.56536
2025-04-28,104.77,23.6,4.65177,3.16125,-0.0620157,81.1704,1.56536
2025-04-29,104.988,23.26,4.65385,3.14674,-0.0797796,81.7283,1.56536
2025-04-30,103.067,22.79,4.63538,3.12632,-0.0712784,80.2768,1.56536
2025-05-01,102.473,23.67,4.62959,3.16421,-0.0243399,78.8025,1.56536
2025-05-02,106.127,22.82,4.66464,3.12764,-0.115769,83.3073,1.56536
2025-05-05,105.88,21,4.6623,3.04452,-0.195227,84.8797,1.56536
2025-05-06,104.384,21.52,4.64808,3.06898,-0.148498,82.8641,1.56536
2025-05-07,104.543,21.2,4.64959,3.054,-0.165854,83.3426,1.56536
2025-05-08,108.148,22.83,4.6835,3.12808,-0.144853,85.3179,1.56536
2025-05-09,109.861,23.16,4.69922,3.14243,-0.155109,86.7014,1.56536
2025-05-12,117.547,24.79,4.76684,3.21044,-0.192947,92.7573,1.56536
2025-05-13,124.372,25.63,4.82327,3.24376,-0.247962,98.7415,1.56536
2025-05-14,123.51,25.46,4.81632,3.23711,-0.243733,98.0498,1.56536
2025-05-15,123.579,24.56,4.81688,3.20112,-0.280601,99.0192,1.56536
2025-05-16,124.53,24.45,4.82455,3.19663,-0.297088,100.08,1.56536
2025-05-19,122.18,23.92,4.8055,3.17471,-0.289181,98.26,1.56536
2025-05-20,120.9,23.73,4.79496,3.16674,-0.28067,97.17,1.56536
2025-05-21,111.78,23.1,4.71653,3.13983,-0.184805,88.68,1.56536
2025-05-22,112.98,23.18,4.72721,3.14329,-0.198063,89.8,1.56536
2025-05-23,113.13,23.17,4.72854,3.14286,-0.200571,89.96,1.56536
2025-05-27,114.33,23.83,4.73909,3.17095,-0.189001,90.5,1.56536
2025-05-28,112.77,23.66,4.72535,3.16379,-0.174654,89.11,1.56536
2025-05-29,114.68,23.8,4.74215,3.16969,-0.195045,90.88,1.56536
2025-05-30,113.48,23.42,4.73163,3.15359,-0.194675,90.06,1.56536
2025-06-02,114.28,23.92,4.73865,3.17471,-0.184547,90.36,1.56536
2025-06-03,115.97,25.24,4.75333,3.22843,-0.153811,90.73,1.56536
2025-06-04,112.48,24.16,4.72278,3.1847,-0.149711,88.32,1.56536
2025-06-05,112.23,24.01,4.72055,3.17847,-0.152456,88.22,1.56536
2025-06-06,114.29,24.92,4.73874,3.21567,-0.143728,89.37,1.56536
2025-06-09,116.1,25.59,4.75445,3.2422,-0.141793,90.51,1.56536
2025-06-10,118.7,25.99,4.7766,3.25771,-0.160952,92.71,1.56536
2025-06-11,120.95,26.8,4.79538,3.2884,-0.159656,94.15,1.56536
2025-06-12,121.52,27.13,4.80008,3.30064,-0.154777,94.39,1.56536
2025-06-13,122.15,28.26,4.80525,3.34145,-0.122064,93.89,1.56536
