Date,PSX Raw Price,FANG Raw Price,PSX Log Price,FANG Log Price,Residual,Spread,Beta
2025-05-05,105.88,132.161,4.6623,4.88402,-0.0506515,26.2813,0.736892
2025-05-06,104.384,131.069,4.64808,4.87572,-0.0484686,26.6845,0.736892
2025-05-07,104.543,128.675,4.64959,4.85729,-0.0680155,24.1327,0.736892
2025-05-08,108.148,135.24,4.6835,4.90705,-0.0432434,27.0918,0.736892
2025-05-09,109.861,136.938,4.69922,4.91953,-0.0423484,27.0765,0.736892
2025-05-12,117.547,141.933,4.76684,4.95536,-0.0563494,24.3858,0.736892
2025-05-13,124.372,145.161,4.82327,4.97784,-0.0754489,20.7891,0.736892
2025-05-14,123.51,143.82,4.81632,4.96856,-0.0796042,20.3102,0.736892
2025-05-15,123.579,141.95,4.81688,4.95547,-0.0931055,18.3708,0.736892
2025-05-16,124.53,141.13,4.82455,4.94968,-0.104547,16.6,0.736892
2025-05-19,122.18,139.35,4.8055,4.93699,-0.103201,17.17,0.736892
2025-05-20,120.9,138.35,4.79496,4.92979,-0.102642,17.45,0.736892
2025-05-21,111.78,136.31,4.71653,4.91493,-0.0597021,24.53,0.736892
2025-05-22,112.98,136.29,4.72721,4.91478,-0.0677175,23.31,0.736892
2025-05-23,113.13,135.86,4.72854,4.91162,-0.0718552,22.73,0.736892
2025-05-27,114.33,137.49,4.73909,4.92355,-0.0677042,23.16,0.736892
2025-05-28,112.77,136.28,4.72535,4.91471,-0.0664199,23.51,0.736892
2025-05-29,114.68,137.81,4.74215,4.92588,-0.0676319,23.13,0.736892
2025-05-30,113.48,134.55,4.73163,4.90194,-0.0838205,21.07,0.736892
2025-06-02,114.28,137.59,4.73865,4.92428,-0.0666548,23.31,0.736892
2025-06-03,115.97,142.28,4.75333,4.9578,-0.0439537,26.31,0.736892
2025-06-04,112.48,139.35,4.72278,4.93699,-0.0422452,26.87,0.736892
2025-06-05,112.23,137.45,4.72055,4.92326,-0.0543342,25.22,0.736892
2025-06-06,114.29,140.56,4.73874,4.94563,-0.0453631,26.27,0.736892
2025-06-09,116.1,142.13,4.75445,4.95674,-0.045834,26.03,0.736892
2025-06-10,118.7,145.57,4.7766,4.98066,-0.0382393,26.87,0.736892
2025-06-11,120.95,148.92,4.79538,5.00341,-0.0293245,27.97,0.736892
2025-06-12,121.52,149.33,4.80008,5.00616,-0.0300397,27.81,0.736892
2025-06-13,122.15,154.91,4.80525,5.04284,0.00283558,32.76,0.736892
