Date,EOG Raw Price,KMI Raw Price,EOG Log Price,KMI Log Price,Residual,Spread,Beta
2025-04-16,108.24,26.6598,4.68435,3.28316,-0.00519488,81.5802,0.147271
2025-04-17,110.5,26.8082,4.70502,3.28871,-0.00268778,83.6918,0.147271
2025-04-21,109.11,25.5123,4.69236,3.23916,-0.0503703,83.5977,0.147271
2025-04-22,111.32,26.3136,4.71241,3.27008,-0.0223991,85.0064,0.147271
2025-04-23,111.57,26.3136,4.71465,3.27008,-0.0227295,85.2564,0.147271
2025-04-24,113.46,26.5807,4.73145,3.28018,-0.0151041,86.8793,0.147271
2025-04-25,113.07,26.5609,4.72801,3.27944,-0.0153416,86.5091,0.147271
2025-04-28,114.14,26.7785,4.73743,3.2876,-0.00856848,87.3615,0.147271
2025-04-29,112.93,26.917,4.72677,3.29276,-0.00184054,86.013,0.147271
2025-04-30,110.33,26.3,4.70348,3.26957,-0.0215993,84.03,0.147271
2025-05-01,111.68,26.3,4.71564,3.26957,-0.0233904,85.38,0.147271
2025-05-02,110.86,26.83,4.70827,3.28952,-0.00235334,84.03,0.147271
2025-05-05,108.52,26.87,4.68693,3.29101,0.0022783,81.65,0.147271
2025-05-06,108.72,27.21,4.68878,3.30358,0.0145812,81.51,0.147271
2025-05-07,107.97,27.62,4.68185,3.31854,0.0305563,80.35,0.147271
2025-05-08,109.71,27.04,4.69784,3.29732,0.00697898,82.67,0.147271
2025-05-09,111.12,27.31,4.71061,3.30725,0.0150339,83.81,0.147271
2025-05-12,114.06,27.31,4.73672,3.30725,0.0111881,86.75,0.147271
2025-05-13,116.65,27.5,4.75918,3.31419,0.0148144,89.15,0.147271
2025-05-14,115.59,27.46,4.75005,3.31273,0.0147032,88.13,0.147271
2025-05-15,115.86,28,4.75238,3.3322,0.0338337,87.86,0.147271
2025-05-16,115.5,28.09,4.74927,3.33541,0.0375012,87.41,0.147271
2025-05-19,113.95,28,4.73576,3.3322,0.0362818,85.95,0.147271
2025-05-20,112.58,27.98,4.72366,3.33149,0.0373486,84.6,0.147271
2025-05-21,111.38,27.47,4.71295,3.31309,0.0205313,83.91,0.147271
2025-05-22,110.79,27.34,4.70764,3.30835,0.0165699,83.45,0.147271
2025-05-23,110.18,27.86,4.70212,3.32719,0.0362241,82.32,0.147271
2025-05-27,111.23,28.19,4.7116,3.33897,0.0466026,83.04,0.147271
2025-05-28,110.45,27.95,4.70456,3.33042,0.0390889,82.5,0.147271
2025-05-29,109.88,27.92,4.69939,3.32934,0.038777,81.96,0.147271
2025-05-30,108.57,28.04,4.6874,3.33363,0.0448321,80.53,0.147271
2025-06-02,111.34,28.65,4.71259,3.35515,0.0626432,82.69,0.147271
2025-06-03,112.82,28.56,4.72579,3.35201,0.0575521,84.26,0.147271
2025-06-04,110.77,28.03,4.70746,3.33328,0.041521,82.74,0.147271
2025-06-05,111.03,28.24,4.7098,3.34074,0.0486397,82.79,0.147271
2025-06-06,114.05,28.14,4.73664,3.33719,0.0411401,85.91,0.147271
2025-06-09,114.33,27.53,4.73909,3.31528,0.0188633,86.8,0.147271
2025-06-10,117.88,27.38,4.76967,3.30981,0.00889647,90.5,0.147271
2025-06-11,119.92,27.52,4.78682,3.31491,0.0114699,92.4,0.147271
2025-06-12,120.59,27.66,4.7924,3.31999,0.0157236,92.93,0.147271
2025-06-13,125.28,27.64,4.83055,3.31926,0.00938117,97.64,0.147271
