Date,CVX Raw Price,RRC Raw Price,CVX Log Price,RRC Log Price,Residual,Spread,Beta
2025-03-20,162.787,40.1797,5.09244,3.69336,0.0103178,122.608,0.547572
2025-03-21,162.767,39.7905,5.09232,3.68363,0.000652449,122.977,0.547572
2025-03-24,163.034,40.5788,5.09396,3.70324,0.0193714,122.455,0.547572
2025-03-25,163.943,40.05,5.09952,3.69013,0.00320988,123.893,0.547572
2025-03-26,165.949,39.7506,5.11168,3.68263,-0.0109499,126.198,0.547572
2025-03-27,164.645,38.703,5.10379,3.65592,-0.0333388,125.942,0.547572
2025-03-28,164.091,39.1021,5.10042,3.66618,-0.0212366,124.989,0.547572
2025-03-31,165.277,39.8404,5.10762,3.68488,-0.00647221,125.436,0.547572
2025-04-01,166.482,40.1298,5.11489,3.69212,-0.00321459,126.352,0.547572
2025-04-02,164.467,40.5189,5.10271,3.70177,0.0131048,123.948,0.547572
2025-04-03,154.241,37.9846,5.03852,3.63718,-0.0163343,116.257,0.547572
2025-04-04,141.556,33.375,4.95269,3.50781,-0.0987141,108.181,0.547572
2025-04-07,138.463,33.4348,4.93061,3.5096,-0.0848274,105.029,0.547572
2025-04-08,135.282,32.028,4.90736,3.46661,-0.115088,103.254,0.547572
2025-04-09,144.273,34.4825,4.97171,3.54045,-0.0764789,109.79,0.547572
2025-04-10,133.356,32.1777,4.89302,3.47127,-0.102572,101.178,0.547572
2025-04-11,133.998,33.3151,4.89782,3.50601,-0.070464,100.683,0.547572
2025-04-14,133.692,33.3849,4.89554,3.5081,-0.0671169,100.307,0.547572
2025-04-15,132.921,33.2652,4.88975,3.50451,-0.0675442,99.6558,0.547572
2025-04-16,133.731,34.0235,4.89583,3.52705,-0.048332,99.7076,0.547572
2025-04-17,136.211,34.1033,4.9142,3.52939,-0.0560493,102.108,0.547572
2025-04-21,132.121,32.5468,4.88372,3.48268,-0.0860699,99.5739,0.547572
2025-04-22,135.648,33.2153,4.91006,3.50301,-0.0801645,102.432,0.547572
2025-04-23,135.035,33.9736,4.90554,3.52558,-0.0551132,101.062,0.547572
2025-04-24,137.396,33.784,4.92287,3.51999,-0.070201,103.612,0.547572
2025-04-25,137.061,34.712,4.92042,3.54708,-0.041765,102.349,0.547572
2025-04-28,138.414,35.1709,4.93025,3.56022,-0.0340104,103.243,0.547572
2025-04-29,137.624,35.0213,4.92452,3.55596,-0.0351392,102.602,0.547572
2025-04-30,134.423,33.8539,4.90099,3.52205,-0.0561541,100.569,0.547572
2025-05-01,134.62,34.1432,4.90246,3.53056,-0.0484476,100.477,0.547572
2025-05-02,136.833,34.9315,4.91876,3.55339,-0.0345528,101.902,0.547572
2025-05-05,133.869,34.9814,4.89686,3.55482,-0.0211344,98.8881,0.547572
2025-05-06,133.968,34.9514,4.8976,3.55396,-0.0223946,99.0168,0.547572
2025-05-07,134.156,35.7396,4.899,3.57626,-0.000859562,98.4163,0.547572
2025-05-08,135.391,36.6476,4.90817,3.60135,0.0192103,98.7433,0.547572
2025-05-09,136.823,37.7751,4.91869,3.63165,0.0437482,99.0484,0.547572
2025-05-12,139.916,38.9125,4.94104,3.66132,0.0611769,101.003,0.547572
2025-05-13,140.637,40.5289,4.94618,3.70201,0.0990605,100.108,0.547572
2025-05-14,139.965,40.3293,4.94139,3.69708,0.0967466,99.6359,0.547572
2025-05-15,140.548,40.2096,4.94555,3.69411,0.0914977,100.338,0.547572
2025-05-16,140.39,40.03,4.94442,3.68963,0.0876373,100.36,0.547572
2025-05-19,138.49,39.3415,4.9308,3.67228,0.0777507,99.1485,0.547572
2025-05-20,137.27,39.6309,4.92195,3.67961,0.0899237,97.6391,0.547572
2025-05-21,135.56,39.2318,4.90941,3.66949,0.0866662,96.3282,0.547572
2025-05-22,135.29,39.3216,4.90742,3.67177,0.0900442,95.9684,0.547572
2025-05-23,136.54,39.4613,4.91662,3.67532,0.0885543,97.0787,0.547572
2025-05-27,137.83,39.7207,4.92602,3.68187,0.0899577,98.1093,0.547572
2025-05-28,136.02,39.2518,4.9128,3.67,0.0853198,96.7683,0.547572
2025-05-29,137.91,39.122,4.9266,3.66669,0.0744536,98.788,0.547572
2025-05-30,136.7,37.9547,4.91779,3.63639,0.0489856,98.7453,0.547572
2025-06-02,137.84,38.8327,4.92609,3.65926,0.0673081,99.0073,0.547572
2025-06-03,139.55,38.9524,4.93842,3.66234,0.0636354,100.598,0.547572
2025-06-04,137.37,37.6254,4.92268,3.62768,0.0375954,99.7446,0.547572
2025-06-05,136.9,37.3161,4.91925,3.61942,0.0312175,99.5839,0.547572
2025-06-06,140.21,38.3039,4.94314,3.64555,0.0442619,101.906,0.547572
2025-06-09,140.76,38.7229,4.94706,3.65643,0.0529992,102.037,0.547572
2025-06-10,143.35,38.6431,4.96529,3.65437,0.0409518,104.707,0.547572
2025-06-11,144.78,39.2418,4.97522,3.66974,0.0508898,105.538,0.547572
2025-06-12,144.97,40.03,4.97653,3.68963,0.0700589,104.94,0.547572
2025-06-13,145.91,41.39,4.98299,3.72304,0.09993,104.52,0.547572
