Date,VLO Raw Price,ENB Raw Price,VLO Log Price,ENB Log Price,Residual,Spread,Beta
2025-03-12,124.127,42.54,4.8213,3.75044,-0.0420918,81.587,-0.0114605
2025-03-13,124.742,42.55,4.82625,3.75068,-0.0418002,82.1918,-0.0114605
2025-03-14,128.054,42.83,4.85245,3.75724,-0.0349409,85.2237,-0.0114605
2025-03-17,131.832,43.5,4.88153,3.77276,-0.0190856,88.3316,-0.0114605
2025-03-18,130.919,43.41,4.87458,3.77069,-0.0212363,87.5093,-0.0114605
2025-03-19,132.714,43.75,4.8882,3.77849,-0.0132784,88.9641,-0.0114605
2025-03-20,133.696,44.23,4.89557,3.7894,-0.00228231,89.4658,-0.0114605
2025-03-21,130.404,43.87,4.87064,3.78123,-0.0107406,86.5337,-0.0114605
2025-03-24,130.84,44.26,4.87398,3.79008,-0.00185175,86.58,-0.0114605
2025-03-25,130.89,44.42,4.87435,3.79369,0.00176107,86.4696,-0.0114605
2025-03-26,133.388,44.52,4.89327,3.79594,0.00422656,88.8684,-0.0114605
2025-03-27,132.109,44.36,4.88363,3.79234,0.000515767,87.7493,-0.0114605
2025-03-28,130.374,44.46,4.87041,3.79459,0.00261594,85.914,-0.0114605
2025-03-31,130.959,44.31,4.87488,3.79121,-0.000712214,86.649,-0.0114605
2025-04-01,132.615,44.57,4.88745,3.79706,0.00528236,88.045,-0.0114605
2025-04-02,132.496,45.14,4.88655,3.80977,0.0179798,87.356,-0.0114605
2025-04-03,113.329,45.34,4.73029,3.81419,0.0206099,67.9886,-0.0114605
2025-04-04,103.809,43.35,4.64256,3.76931,-0.0252786,60.4593,-0.0114605
2025-04-07,105.773,41.95,4.66129,3.73648,-0.0578921,63.8227,-0.0114605
2025-04-08,104.295,41.09,4.64723,3.71576,-0.0787669,63.2052,-0.0114605
2025-04-09,114.925,41.77,4.74428,3.73218,-0.061241,73.155,-0.0114605
2025-04-10,108.093,41.82,4.68299,3.73337,-0.0607471,66.273,-0.0114605
2025-04-11,109.769,43.24,4.69838,3.76677,-0.0271795,66.5288,-0.0114605
2025-04-14,109.402,44.02,4.69503,3.78464,-0.00933979,65.3819,-0.0114605
2025-04-15,106.645,44.28,4.66951,3.79053,-0.00374327,62.3653,-0.0114605
2025-04-16,106.229,44.57,4.6656,3.79706,0.00273979,61.6588,-0.0114605
2025-04-17,109.134,45.37,4.69258,3.81485,0.0208391,63.7642,-0.0114605
2025-04-21,107.924,44.99,4.68143,3.80644,0.0123006,62.9344,-0.0114605
2025-04-22,111.514,45.64,4.71415,3.82078,0.0270198,65.874,-0.0114605
2025-04-23,113.537,45.61,4.73213,3.82013,0.0265683,67.9268,-0.0114605
2025-04-24,112.406,46.36,4.72212,3.83644,0.0427637,66.0464,-0.0114605
2025-04-25,112.912,46.19,4.72661,3.83276,0.0391414,66.7221,-0.0114605
2025-04-28,113.785,46.64,4.73431,3.84246,0.0489248,67.1447,-0.0114605
2025-04-29,114.548,46.64,4.741,3.84246,0.0490015,67.9082,-0.0114605
2025-04-30,115.113,46.69,4.74592,3.84353,0.0501293,68.4234,-0.0114605
2025-05-01,113.914,46.48,4.73544,3.83902,0.0455014,67.4336,-0.0114605
2025-05-02,117.93,46.86,4.77009,3.84716,0.0540408,71.0695,-0.0114605
2025-05-05,118.336,46.59,4.77353,3.84139,0.0483017,71.7461,-0.0114605
2025-05-06,116.016,46.16,4.75373,3.83211,0.0388025,69.8558,-0.0114605
2025-05-07,115.966,46.69,4.7533,3.84353,0.0502139,69.2762,-0.0114605
2025-05-08,120.706,45.78,4.79336,3.82385,0.0309903,74.926,-0.0114605
2025-05-09,121.896,46.1,4.80317,3.83081,0.0380684,75.7959,-0.0114605
2025-05-12,129.392,44.55,4.86285,3.79661,0.00455157,84.8423,-0.0114605
2025-05-13,133.973,44.57,4.89764,3.79706,0.00539916,89.4034,-0.0114605
2025-05-14,133.19,44.87,4.89178,3.80377,0.0120404,88.3201,-0.0114605
2025-05-15,134.231,44.92,4.89956,3.80488,0.0132433,89.3112,-0.0114605
2025-05-16,134.598,44.85,4.90229,3.80332,0.011715,89.7481,-0.0114605
2025-05-19,133.2,44.94,4.89185,3.80533,0.0136001,88.26,-0.0114605
2025-05-20,132.21,45.61,4.88439,3.82013,0.0283133,86.6,-0.0114605
2025-05-21,127.8,45.57,4.85047,3.81925,0.0270471,82.23,-0.0114605
2025-05-22,128.72,45.17,4.85764,3.81043,0.0183128,83.55,-0.0114605
2025-05-23,128.55,46.06,4.85632,3.82994,0.0378095,82.49,-0.0114605
2025-05-27,130.71,46.04,4.87298,3.82951,0.0375662,84.67,-0.0114605
2025-05-28,126.93,45.57,4.84364,3.81925,0.0269688,81.36,-0.0114605
2025-05-29,129.16,45.85,4.86105,3.82538,0.033294,83.31,-0.0114605
2025-05-30,128.97,46.48,4.85958,3.83902,0.0469241,82.49,-0.0114605
2025-06-02,128.3,47.16,4.85437,3.85355,0.0613884,81.14,-0.0114605
2025-06-03,130.95,47.07,4.87482,3.85164,0.0597124,83.88,-0.0114605
2025-06-04,126.54,46.66,4.84056,3.84289,0.0505712,79.88,-0.0114605
2025-06-05,126.88,46.87,4.84324,3.84738,0.0550925,80.01,-0.0114605
2025-06-06,128.35,46.52,4.85476,3.83988,0.0477291,81.83,-0.0114605
2025-06-09,128.26,45.82,4.85406,3.82472,0.0325594,82.44,-0.0114605
2025-06-10,131.93,45.85,4.88227,3.82538,0.0335372,86.08,-0.0114605
2025-06-11,134.06,45.87,4.89829,3.82581,0.0341569,88.19,-0.0114605
2025-06-12,133.5,46.81,4.8941,3.8461,0.0543945,86.69,-0.0114605
2025-06-13,134.11,46.67,4.89866,3.8431,0.0514514,87.44,-0.0114605
