Date,MUR Raw Price,SM Raw Price,MUR Log Price,SM Log Price,Residual,Spread,Beta
2025-03-17,26.2759,29.9889,3.26865,3.40083,-0.0699752,3.71292,1.50677
2025-03-18,25.724,30.0285,3.24742,3.40215,-0.0366671,4.30449,1.50677
2025-03-19,26.7096,30.9204,3.28502,3.43142,-0.0640487,4.21083,1.50677
2025-03-20,26.4435,30.6529,3.27501,3.42273,-0.0576529,4.20936,1.50677
2025-03-21,26.3154,30.3952,3.27015,3.41428,-0.0587759,4.07982,1.50677
2025-03-24,26.8673,31.525,3.29091,3.45078,-0.053556,4.65767,1.50677
2025-03-25,27.3404,30.2564,3.30836,3.40971,-0.120927,2.91606,1.50677
2025-03-26,27.9416,30.5141,3.33012,3.41819,-0.145222,2.57252,1.50677
2025-03-27,28.0894,29.9789,3.33539,3.4005,-0.170867,1.88951,1.50677
2025-03-28,27.9613,29.1366,3.33082,3.37199,-0.19248,1.17526,1.50677
2025-03-31,27.9909,29.6816,3.33188,3.39053,-0.175538,1.69077,1.50677
2025-04-01,28.3358,29.5032,3.34413,3.3845,-0.200022,1.16742,1.50677
2025-04-02,28.7892,30.2465,3.36,3.40938,-0.199058,1.45732,1.50677
2025-04-03,25.0439,25.103,3.22063,3.22299,-0.175455,0.0590858,1.50677
2025-04-04,21.9985,22.0605,3.09097,3.09379,-0.109286,0.0620823,1.50677
2025-04-07,21.1508,21.6146,3.05168,3.07337,-0.0705045,0.463724,1.50677
2025-04-08,19.3374,20.2073,2.96204,3.00604,-0.00276,0.86994,1.50677
2025-04-09,22.8461,24.3994,3.12878,3.19456,-0.0654844,1.55332,1.50677
2025-04-10,19.6823,21.0497,2.97972,3.04689,0.0114395,1.36737,1.50677
2025-04-11,20.5693,21.4758,3.0238,3.06693,-0.0349387,0.906477,1.50677
2025-04-14,20.2342,21.7632,3.00738,3.08022,0.00310449,1.52898,1.50677
2025-04-15,19.8302,21.5254,2.9872,3.06923,0.0225111,1.69522,1.50677
2025-04-16,20.2934,22.12,3.01029,3.09648,0.0149679,1.82662,1.50677
2025-04-17,21.0621,23.03,3.04748,3.1368,-0.000741991,1.96786,1.50677
2025-04-21,20.5299,22.02,3.02188,3.09195,-0.00702464,1.49008,1.50677
2025-04-22,21.0819,22.88,3.04841,3.13026,-0.00868602,1.79815,1.50677
2025-04-23,20.2934,22.99,3.01029,3.13506,0.053545,2.69662,1.50677
2025-04-24,20.5299,23.17,3.02188,3.14286,0.0438825,2.64008,1.50677
2025-04-25,20.7665,23.48,3.03334,3.15615,0.0399117,2.71354,1.50677
2025-04-28,20.9044,23.6,3.03996,3.16125,0.0350309,2.69555,1.50677
2025-04-29,20.9143,23.26,3.04043,3.14674,0.0198091,2.3457,1.50677
2025-04-30,20.2342,22.79,3.00738,3.12632,0.0492047,2.55576,1.50677
2025-05-01,20.8059,23.67,3.03524,3.16421,0.0451133,2.86411,1.50677
2025-05-02,21.4662,22.82,3.06648,3.12764,-0.0385372,1.35376,1.50677
2025-05-05,20.3131,21,3.01127,3.04452,-0.0384548,0.686907,1.50677
2025-05-06,20.6975,21.52,3.03001,3.06898,-0.0422403,0.822527,1.50677
2025-05-07,20.6975,21.2,3.03001,3.054,-0.0572219,0.502527,1.50677
2025-05-08,21.072,22.83,3.04795,3.12808,-0.0101692,1.758,1.50677
2025-05-09,21.5451,23.16,3.07015,3.14243,-0.0292721,1.61492,1.50677
2025-05-12,22.6489,24.79,3.12011,3.21044,-0.0365452,2.14105,1.50677
2025-05-13,22.9939,25.63,3.13523,3.24376,-0.0259982,2.63609,1.50677
2025-05-14,22.6489,25.46,3.12011,3.23711,-0.009877,2.81105,1.50677
2025-05-15,22.235,24.56,3.10167,3.20112,-0.0180728,2.325,1.50677
2025-05-16,22.08,24.45,3.09467,3.19663,-0.0120213,2.37,1.50677
2025-05-19,21.62,23.92,3.07362,3.17471,-0.00221409,2.3,1.50677
2025-05-20,21.61,23.73,3.07316,3.16674,-0.00949186,2.12,1.50677
2025-05-21,20.93,23.1,3.04118,3.13983,0.0117761,2.17,1.50677
2025-05-22,21,23.18,3.04452,3.14329,0.0102024,2.18,1.50677
2025-05-23,20.89,23.17,3.03927,3.14286,0.0176842,2.28,1.50677
2025-05-27,21.43,23.83,3.06479,3.17095,0.00731655,2.4,1.50677
2025-05-28,21.23,23.66,3.05542,3.16379,0.0142854,2.43,1.50677
2025-05-29,21.25,23.8,3.05636,3.16969,0.0187663,2.55,1.50677
2025-05-30,20.93,23.42,3.04118,3.15359,0.0255338,2.49,1.50677
2025-06-02,21.27,23.92,3.0573,3.17471,0.0223782,2.65,1.50677
2025-06-03,22.03,25.24,3.09241,3.22843,0.0231944,3.21,1.50677
2025-06-04,21.67,24.16,3.07593,3.1847,0.00428876,2.49,1.50677
2025-06-05,21.54,24.01,3.06991,3.17847,0.00712719,2.47,1.50677
2025-06-06,22.5,24.92,3.11352,3.21567,-0.021373,2.42,1.50677
2025-06-09,23.02,25.59,3.13636,3.2422,-0.0292689,2.57,1.50677
2025-06-10,23.79,25.99,3.16927,3.25771,-0.0633343,2.2,1.50677
2025-06-11,24.32,26.8,3.1913,3.2884,-0.0658439,2.48,1.50677
2025-06-12,24.41,27.13,3.19499,3.30064,-0.0591714,2.72,1.50677
2025-06-13,25.43,28.26,3.23593,3.34145,-0.0800462,2.83,1.50677
