Date,MPC Raw Price,WMB Raw Price,MPC Log Price,WMB Log Price,Residual,Spread,Beta
2025-05-01,136.944,58.3106,4.91957,4.06578,0.0302005,78.6335,0.170382
2025-05-02,140.753,59.5007,4.947,4.08599,0.0457296,81.2519,0.170382
2025-05-05,142.523,59.6693,4.9595,4.08882,0.0464297,82.8533,0.170382
2025-05-06,143.736,58.2115,4.96798,4.06408,0.0202515,85.5242,0.170382
2025-05-07,143.875,58.4495,4.96894,4.06816,0.0241667,85.4254,0.170382
2025-05-08,149.125,56.5851,5.00479,4.03575,-0.0143567,92.54,0.170382
2025-05-09,150.04,57.1801,5.0109,4.04621,-0.00493829,92.8598,0.170382
2025-05-12,157.249,56.6546,5.05783,4.03697,-0.0221686,100.595,0.170382
2025-05-13,161.923,57.5867,5.08712,4.05329,-0.0108388,104.336,0.170382
2025-05-14,162.599,57.7156,5.09129,4.05553,-0.00931269,104.883,0.170382
2025-05-15,164.359,58.2809,5.10205,4.06527,-0.00140086,106.078,0.170382
2025-05-16,163.195,58.3007,5.09495,4.06561,0.000149703,104.895,0.170382
2025-05-19,161.356,58.0528,5.08361,4.06135,-0.00218027,103.303,0.170382
2025-05-20,160.62,58.2809,5.07904,4.06527,0.00251973,102.339,0.170382
2025-05-21,156.7,57.4479,5.05433,4.05088,-0.00766662,99.2521,0.170382
2025-05-22,158.89,57.2694,5.06821,4.04777,-0.0131434,101.621,0.170382
2025-05-23,159.11,58.4991,5.0696,4.06901,0.00786551,100.611,0.170382
2025-05-27,162.33,59.5998,5.08963,4.08765,0.0230936,102.73,0.170382
2025-05-28,158.61,60.1155,5.06645,4.09627,0.0356587,98.4945,0.170382
2025-05-29,159.92,59.7684,5.07467,4.09048,0.0284668,100.152,0.170382
2025-05-30,160.74,60.0064,5.07979,4.09445,0.0315696,100.734,0.170382
2025-06-02,158.75,60.7601,5.06733,4.10693,0.0461738,97.9899,0.170382
2025-06-03,161.97,60.6014,5.08741,4.10432,0.0401377,101.369,0.170382
2025-06-04,156.95,59.6197,5.05593,4.08799,0.029169,97.3303,0.170382
2025-06-05,158.21,60.056,5.06392,4.09528,0.0350987,98.154,0.170382
2025-06-06,160.12,60.056,5.07592,4.09528,0.0330541,100.064,0.170382
2025-06-09,160.27,59.1635,5.07686,4.0803,0.0179216,101.107,0.170382
2025-06-10,162.64,58.4693,5.09154,4.0685,0.00361799,104.171,0.170382
2025-06-11,164.66,58.9255,5.10388,4.07627,0.00928651,105.735,0.170382
2025-06-12,165.07,59.58,5.10637,4.08732,0.019909,105.49,0.170382
2025-06-13,166.15,59.78,5.11289,4.09067,0.022149,106.37,0.170382
