Date,SHEL Raw Price,OXY Raw Price,SHEL Log Price,OXY Log Price,Residual,Spread,Beta
2025-04-21,63.9631,38.8034,4.15831,3.65851,-0.118196,25.1597,0.82283
2025-04-22,64.4776,39.7481,4.16632,3.68256,-0.100733,24.7294,0.82283
2025-04-23,63.8246,39.6089,4.15614,3.67905,-0.0958659,24.2157,0.82283
2025-04-24,64.3589,40.1459,4.16447,3.69252,-0.0892585,24.2129,0.82283
2025-04-25,65.1603,40.136,4.17685,3.69227,-0.0996887,25.0243,0.82283
2025-04-28,65.3186,40.2851,4.17928,3.69598,-0.0979757,25.0334,0.82283
2025-04-29,64.814,40.126,4.17152,3.69203,-0.0955523,24.6879,0.82283
2025-04-30,63.7949,39.1913,4.15567,3.66845,-0.106084,24.6037,0.82283
2025-05-01,64.1115,40.2155,4.16062,3.69425,-0.0843577,23.896,0.82283
2025-05-02,65.932,40.3846,4.18862,3.69845,-0.103201,25.5474,0.82283
2025-05-05,64.4281,38.5946,4.16555,3.65311,-0.129552,25.8335,0.82283
2025-05-06,64.4083,39.062,4.16524,3.66515,-0.117262,25.3464,0.82283
2025-05-07,64.3589,38.7935,4.16447,3.65825,-0.123527,25.5654,0.82283
2025-05-08,64.3885,41.21,4.16494,3.71868,-0.0634782,23.1786,0.82283
2025-05-09,65.4472,41.926,4.18124,3.73591,-0.0596712,23.5212,0.82283
2025-05-12,65.6747,43.6166,4.18471,3.77544,-0.0229964,22.0582,0.82283
2025-05-13,66.8917,44.1436,4.20307,3.78745,-0.0260922,22.748,0.82283
2025-05-14,66.3772,43.5768,4.19535,3.77452,-0.032663,22.8004,0.82283
2025-05-15,66.674,43.1293,4.19982,3.7642,-0.0466567,23.5447,0.82283
2025-05-16,66.62,42.8011,4.199,3.75656,-0.053628,23.8189,0.82283
2025-05-19,66.67,42.0752,4.19976,3.73946,-0.0713517,24.5948,0.82283
2025-05-20,66.62,41.6674,4.199,3.72972,-0.080472,24.9526,0.82283
2025-05-21,66.36,40.9017,4.19509,3.71117,-0.0958025,25.4583,0.82283
2025-05-22,65.95,40.852,4.1889,3.70996,-0.0919193,25.098,0.82283
2025-05-23,66.3,41.0608,4.19419,3.71505,-0.0911757,25.2392,0.82283
2025-05-27,66.69,41.389,4.20006,3.72301,-0.0880412,25.301,0.82283
2025-05-28,66.04,40.8918,4.19026,3.71093,-0.0920683,25.1482,0.82283
2025-05-29,66.44,41.2299,4.1963,3.71916,-0.0888026,25.2101,0.82283
2025-05-30,66.22,40.5536,4.19298,3.70263,-0.102611,25.6664,0.82283
2025-06-02,67.45,41.21,4.21139,3.71868,-0.101699,26.24,0.82283
2025-06-03,67.83,42.453,4.217,3.7484,-0.076604,25.377,0.82283
2025-06-04,67.27,41.6774,4.20871,3.72996,-0.0882227,25.5926,0.82283
2025-06-05,67.53,41.5879,4.21257,3.72781,-0.0935466,25.9421,0.82283
2025-06-06,68.02,42.3039,4.2198,3.74488,-0.0824253,25.7161,0.82283
2025-06-09,68.26,43,4.22332,3.7612,-0.0690024,25.26,0.82283
2025-06-10,70.05,43.91,4.24921,3.78214,-0.0693596,26.14,0.82283
2025-06-11,71.02,44.84,4.26296,3.8031,-0.0597168,26.18,0.82283
2025-06-12,71.44,44.76,4.26886,3.80131,-0.0663544,26.68,0.82283
2025-06-13,72.54,46.45,4.28414,3.83838,-0.0418657,26.09,0.82283
