Date,XOM Raw Price,APA Raw Price,XOM Log Price,APA Log Price,Residual,Spread,Beta
2025-03-05,104.478,18.241,4.64897,2.90367,0.00832715,86.2368,2.16076
2025-03-06,106.638,18.4476,4.66944,2.91493,-0.0246284,88.1903,2.16076
2025-03-07,108.025,18.5361,4.68236,2.91972,-0.0477671,89.4889,2.16076
2025-03-10,110.78,18.7132,4.70754,2.92923,-0.0926668,92.0665,2.16076
2025-03-11,108.164,18.8903,4.68365,2.93865,-0.0316123,89.2735,2.16076
2025-03-12,108.134,19.3331,4.68337,2.96182,-0.0078512,88.801,2.16076
2025-03-13,107.678,18.7329,4.67915,2.93028,-0.0302593,88.9454,2.16076
2025-03-14,110.879,19.2937,4.70844,2.95978,-0.06405,91.5851,2.16076
2025-03-17,112.722,19.7069,4.72492,2.98097,-0.0784795,93.0149,2.16076
2025-03-18,112.603,19.8447,4.72387,2.98794,-0.0692337,92.7582,2.16076
2025-03-19,114.357,20.4744,4.73932,3.01917,-0.071392,93.8824,2.16076
2025-03-20,114.842,20.2382,4.74356,3.00757,-0.0921465,94.6041,2.16076
2025-03-21,114.446,20.2776,4.7401,3.00952,-0.0827334,94.1683,2.16076
2025-03-24,114.743,20.5039,4.7427,3.02061,-0.0772407,94.2393,2.16076
2025-03-25,115.526,20.5531,4.7495,3.02301,-0.0895352,94.9729,2.16076
2025-03-26,117.191,20.7597,4.7638,3.03301,-0.110446,96.431,2.16076
2025-03-27,116.814,20.8581,4.76058,3.03774,-0.0987641,95.9561,2.16076
2025-03-28,116.656,20.5826,4.75923,3.02445,-0.109125,96.073,2.16076
2025-03-31,117.845,20.681,4.76937,3.02921,-0.126269,97.1637,2.16076
2025-04-01,117.954,20.7892,4.77029,3.03443,-0.123047,97.1644,2.16076
2025-04-02,117.587,20.8974,4.76718,3.03963,-0.111128,96.6896,2.16076
2025-04-03,111.404,17.4539,4.71316,2.85956,-0.174478,93.9501,2.16076
2025-04-04,103.388,14.9352,4.63849,2.70372,-0.168964,88.4526,2.16076
2025-04-07,102.001,14.7187,4.62498,2.68912,-0.154374,87.2818,2.16076
2025-04-08,99.8504,13.8037,4.60367,2.62494,-0.17252,86.0466,2.16076
2025-04-09,104.834,16.4405,4.65238,2.79975,-0.102961,88.394,2.16076
2025-04-10,99.018,14.3645,4.5953,2.66476,-0.114609,84.6535,2.16076
2025-04-11,102.199,14.7974,4.62692,2.69445,-0.153235,87.4013,2.16076
2025-04-14,102.446,14.9548,4.62934,2.70503,-0.147884,87.4916,2.16076
2025-04-15,102.159,14.6498,4.62653,2.68443,-0.16242,87.5093,2.16076
2025-04-16,103.239,15.1221,4.63705,2.71616,-0.153417,88.1171,2.16076
2025-04-17,105.944,15.8502,4.66291,2.76318,-0.162281,90.0941,2.16076
2025-04-21,104.389,15.25,4.64812,2.72458,-0.168918,89.1386,2.16076
2025-04-22,107.312,15.86,4.67574,2.7638,-0.189371,91.4516,2.16076
2025-04-23,106.39,15.65,4.66711,2.75047,-0.184065,90.7401,2.16076
2025-04-24,107.639,16.26,4.67878,2.78871,-0.171037,91.3786,2.16076
2025-04-25,107.579,16.35,4.67823,2.79423,-0.164324,91.2292,2.16076
2025-04-28,107.639,16.55,4.67878,2.80639,-0.153359,91.0886,2.16076
2025-04-29,107.371,16.24,4.67629,2.78748,-0.166891,91.1311,2.16076
2025-04-30,104.666,15.54,4.65077,2.74342,-0.155816,89.126,2.16076
2025-05-01,104.815,16.22,4.65219,2.78625,-0.116054,88.5946,2.16076
2025-05-02,105.241,16.46,4.65625,2.80093,-0.110132,88.7807,2.16076
2025-05-05,102.328,15.5,4.62818,2.74084,-0.10957,86.8275,2.16076
2025-05-06,103.754,15.73,4.64203,2.75557,-0.124761,88.0244,2.16076
2025-05-07,103.655,15.48,4.64107,2.73955,-0.138718,88.1753,2.16076
2025-05-08,105.102,16.18,4.65493,2.78378,-0.124439,88.922,2.16076
2025-05-09,106.331,16.72,4.66655,2.81661,-0.116723,89.6107,2.16076
2025-05-12,108.164,17.71,4.68365,2.87413,-0.0961327,90.4538,2.16076
2025-05-13,108.461,18.46,4.68639,2.91561,-0.060586,90.0011,2.16076
2025-05-14,107.49,18.17,4.6774,2.89977,-0.0569878,89.32,2.16076
2025-05-15,108.58,17.76,4.68749,2.87695,-0.101612,90.82,2.16076
2025-05-16,108.19,17.59,4.68389,2.86733,-0.103455,90.6,2.16076
2025-05-19,106.47,17.32,4.66786,2.85186,-0.084296,89.15,2.16076
2025-05-20,104.95,17.25,4.65348,2.84781,-0.0572757,87.7,2.16076
2025-05-21,103.66,16.71,4.64112,2.81601,-0.062357,86.95,2.16076
2025-05-22,102.97,16.74,4.63444,2.8178,-0.0461323,86.23,2.16076
2025-05-23,103.03,16.85,4.63502,2.82435,-0.0408413,86.18,2.16076
2025-05-27,103.52,17.31,4.63976,2.85128,-0.0241596,86.21,2.16076
2025-05-28,102.11,17.18,4.62605,2.84375,-0.00206506,84.93,2.16076
2025-05-29,102.69,17.34,4.63171,2.85302,-0.00503376,85.35,2.16076
2025-05-30,102.3,17.01,4.62791,2.8338,-0.0160265,85.29,2.16076
2025-06-02,103.05,17.33,4.63521,2.85244,-0.0131724,85.72,2.16076
2025-06-03,103.8,18.27,4.64247,2.90526,0.0239798,85.53,2.16076
2025-06-04,102.3,17.92,4.62791,2.88592,0.0360895,84.38,2.16076
2025-06-05,101.83,17.85,4.6233,2.882,0.0421257,83.98,2.16076
2025-06-06,104.27,18.5,4.64698,2.91777,0.0267286,85.77,2.16076
2025-06-09,104.97,18.63,4.65367,2.92477,0.0192735,86.34,2.16076
2025-06-10,107.22,19.28,4.67488,2.95907,0.0077429,87.94,2.16076
2025-06-11,109.31,19.61,4.69419,2.97604,-0.0169993,89.7,2.16076
2025-06-12,109.73,19.95,4.69802,2.99323,-0.00809622,89.78,2.16076
2025-06-13,112.12,21.01,4.71957,3.045,-0.00288455,91.11,2.16076
