Date,RRC Raw Price,ENB Raw Price,RRC Log Price,ENB Log Price,Residual,Spread,Beta
2025-02-21,38.3014,41.78,3.64549,3.73242,-0.0613862,3.47856,0.0749112
2025-02-24,37.8137,41.54,3.63267,3.72666,-0.066187,3.72629,0.0749112
2025-02-25,37.326,41.65,3.61969,3.7293,-0.0625699,4.32402,0.0749112
2025-02-26,38.3711,41.75,3.6473,3.7317,-0.0622406,3.37889,0.0749112
2025-02-27,36.2311,41.73,3.58992,3.73122,-0.0584208,5.49891,0.0749112
2025-02-28,36.9477,42.73,3.6095,3.7549,-0.0362071,5.78225,0.0749112
2025-03-03,36.6292,42.67,3.60085,3.7535,-0.0369637,6.04077,0.0749112
2025-03-04,37.6843,41.55,3.62924,3.7269,-0.0656896,3.86569,0.0749112
2025-03-05,37.3558,42.49,3.62049,3.74927,-0.0426624,5.13416,0.0749112
2025-03-06,35.2158,41.6,3.5615,3.7281,-0.0594118,6.38418,0.0749112
2025-03-07,35.0566,42,3.55696,3.73767,-0.0495028,6.94344,0.0749112
2025-03-10,36.2908,42.68,3.59156,3.75373,-0.036034,6.38919,0.0749112
2025-03-11,37.2762,42.3,3.61836,3.74479,-0.0469843,5.02378,0.0749112
2025-03-12,37.4255,42.54,3.62235,3.75044,-0.041626,5.11448,0.0749112
2025-03-13,37.2862,42.55,3.61862,3.75068,-0.0411116,5.26383,0.0749112
2025-03-14,38.234,42.83,3.64373,3.75724,-0.0364331,4.59597,0.0749112
2025-03-17,38.8826,43.5,3.66055,3.77276,-0.022171,4.61742,0.0749112
2025-03-18,39.5511,43.41,3.67759,3.77069,-0.0255191,3.85892,0.0749112
2025-03-19,40.4191,43.75,3.6993,3.77849,-0.0193437,3.33088,0.0749112
2025-03-20,40.1797,44.23,3.69336,3.7894,-0.00798687,4.05033,0.0749112
2025-03-21,39.7905,43.87,3.68363,3.78123,-0.0154304,4.07946,0.0749112
2025-03-24,40.5788,44.26,3.70324,3.79008,-0.00804926,3.68124,0.0749112
2025-03-25,40.05,44.42,3.69013,3.79369,-0.00345814,4.37004,0.0749112
2025-03-26,39.7506,44.52,3.68263,3.79594,-0.000647413,4.76937,0.0749112
2025-03-27,38.703,44.36,3.65592,3.79234,-0.00224697,5.65702,0.0749112
2025-03-28,39.1021,44.46,3.66618,3.79459,-0.000763782,5.35791,0.0749112
2025-03-31,39.8404,44.31,3.68488,3.79121,-0.00554457,4.46957,0.0749112
2025-04-01,40.1298,44.57,3.69212,3.79706,-0.000236097,4.44022,0.0749112
2025-04-02,40.5189,45.14,3.70177,3.80977,0.0117488,4.6211,0.0749112
2025-04-03,37.9846,45.34,3.63718,3.81419,0.021008,7.3554,0.0749112
2025-04-04,33.375,43.35,3.50781,3.76931,-0.0141833,9.97504,0.0749112
2025-04-07,33.4348,41.95,3.5096,3.73648,-0.0471458,8.51517,0.0749112
2025-04-08,32.028,41.09,3.46661,3.71576,-0.0646392,9.06201,0.0749112
2025-04-09,34.4825,41.77,3.54045,3.73218,-0.0537571,7.28753,0.0749112
2025-04-10,32.1777,41.82,3.47127,3.73337,-0.0473785,9.64235,0.0749112
2025-04-11,33.3151,43.24,3.50601,3.76677,-0.0165895,9.9249,0.0749112
2025-04-14,33.3849,44.02,3.5081,3.78464,0.0011317,10.6351,0.0749112
2025-04-15,33.2652,44.28,3.50451,3.79053,0.00728983,11.0148,0.0749112
2025-04-16,34.0235,44.57,3.52705,3.79706,0.0121293,10.5465,0.0749112
2025-04-17,34.1033,45.37,3.52939,3.81485,0.0297438,11.2667,0.0749112
2025-04-21,32.5468,44.99,3.48268,3.80644,0.0248325,12.4432,0.0749112
2025-04-22,33.2153,45.64,3.50301,3.82078,0.0376537,12.4247,0.0749112
2025-04-23,33.9736,45.61,3.52558,3.82013,0.0353052,11.6364,0.0749112
2025-04-24,33.784,46.36,3.51999,3.83644,0.0520344,12.576,0.0749112
2025-04-25,34.712,46.19,3.54708,3.83276,0.0463309,11.478,0.0749112
2025-04-28,35.1709,46.64,3.56022,3.84246,0.0550422,11.4691,0.0749112
2025-04-29,35.0213,46.64,3.55596,3.84246,0.0553616,11.6187,0.0749112
2025-04-30,33.8539,46.69,3.52205,3.84353,0.0589727,12.8361,0.0749112
2025-05-01,34.1432,46.48,3.53056,3.83902,0.0538272,12.3368,0.0749112
2025-05-02,34.9315,46.86,3.55339,3.84716,0.0602599,11.9285,0.0749112
2025-05-05,34.9814,46.59,3.55482,3.84139,0.0543744,11.6086,0.0749112
2025-05-06,34.9514,46.16,3.55396,3.83211,0.0451662,11.2086,0.0749112
2025-05-07,35.7396,46.69,3.57626,3.84353,0.054912,10.9504,0.0749112
2025-05-08,36.6476,45.78,3.60135,3.82385,0.0333499,9.1324,0.0749112
2025-05-09,37.7751,46.1,3.63165,3.83081,0.0380457,8.32493,0.0749112
2025-05-12,38.9125,44.55,3.66132,3.79661,0.00162253,5.63749,0.0749112
2025-05-13,40.5289,44.57,3.70201,3.79706,-0.000977428,4.04112,0.0749112
2025-05-14,40.3293,44.87,3.69708,3.80377,0.00610074,4.54067,0.0749112
2025-05-15,40.2096,44.92,3.69411,3.80488,0.00743716,4.7104,0.0749112
2025-05-16,40.03,44.85,3.68963,3.80332,0.00621297,4.82,0.0749112
2025-05-19,39.3415,44.94,3.67228,3.80533,0.0095172,5.59845,0.0749112
2025-05-20,39.6309,45.61,3.67961,3.82013,0.023767,5.9791,0.0749112
2025-05-21,39.2318,45.57,3.66949,3.81925,0.0236478,6.33821,0.0749112
2025-05-22,39.3216,45.17,3.67177,3.81043,0.0146601,5.84841,0.0749112
2025-05-23,39.4613,46.06,3.67532,3.82994,0.0339063,6.59872,0.0749112
2025-05-27,39.7207,46.04,3.68187,3.82951,0.0329811,6.31931,0.0749112
2025-05-28,39.2518,45.57,3.67,3.81925,0.0236097,6.31825,0.0749112
2025-05-29,39.122,45.85,3.66669,3.82538,0.0299833,6.72796,0.0749112
2025-05-30,37.9547,46.48,3.63639,3.83902,0.0458995,8.52533,0.0749112
2025-06-02,38.8327,47.16,3.65926,3.85355,0.0587103,8.32731,0.0749112
2025-06-03,38.9524,47.07,3.66234,3.85164,0.0565694,8.11758,0.0749112
2025-06-04,37.6254,46.66,3.62768,3.84289,0.0504174,9.0346,0.0749112
2025-06-05,37.3161,46.87,3.61942,3.84738,0.0555263,9.5539,0.0749112
2025-06-06,38.3039,46.52,3.64555,3.83988,0.0460737,8.21612,0.0749112
2025-06-09,38.7229,45.82,3.65643,3.82472,0.0300969,7.09706,0.0749112
2025-06-10,38.6431,45.85,3.65437,3.82538,0.030906,7.20688,0.0749112
2025-06-11,39.2418,45.87,3.66974,3.82581,0.0301905,6.62822,0.0749112
2025-06-12,40.03,46.81,3.68963,3.8461,0.0489863,6.78,0.0749112
2025-06-13,41.39,46.67,3.72304,3.8431,0.0434881,5.28,0.0749112
