Date,PSX Raw Price,AR Raw Price,PSX Log Price,AR Log Price,Residual,Spread,Beta
2025-05-28,112.77,38.97,4.72535,3.66279,0.0473138,73.8,0.568761
2025-05-29,114.68,38.84,4.74215,3.65945,0.0344198,75.84,0.568761
2025-05-30,113.48,37.45,4.73163,3.62301,0.00395869,76.03,0.568761
2025-06-02,114.28,38.65,4.73865,3.65455,0.0315033,75.63,0.568761
2025-06-03,115.97,38.36,4.75333,3.64702,0.0156223,77.61,0.568761
2025-06-04,112.48,37.3,4.72278,3.61899,0.00497947,75.18,0.568761
2025-06-05,112.23,37.19,4.72055,3.61604,0.00329158,75.04,0.568761
2025-06-06,114.29,38.65,4.73874,3.65455,0.0314535,75.64,0.568761
2025-06-09,116.1,38.92,4.75445,3.66151,0.0294781,77.18,0.568761
2025-06-10,118.7,38.39,4.7766,3.6478,0.00317028,80.31,0.568761
2025-06-11,120.95,39.22,4.79538,3.66919,0.01388,81.73,0.568761
2025-06-12,121.52,40.04,4.80008,3.68988,0.031898,81.48,0.568761
2025-06-13,122.15,41.66,4.80525,3.72954,0.0686194,80.49,0.568761
