Date,APA Raw Price,KMI Raw Price,APA Log Price,KMI Log Price,Residual,Spread,Beta
2025-02-28,20.3661,26.8082,3.01387,3.28871,-0.0206905,6.44205,0.0957162
2025-03-03,18.5853,26.8478,2.92237,3.29018,-0.0104574,8.26243,0.0957162
2025-03-04,18.2705,26.6994,2.90529,3.28464,-0.0143644,8.42888,0.0957162
2025-03-05,18.241,26.4422,2.90367,3.27496,-0.0238895,8.2012,0.0957162
2025-03-06,18.4476,26.0267,2.91493,3.25912,-0.040805,7.57911,0.0957162
2025-03-07,18.5361,25.8585,2.91972,3.25264,-0.0477457,7.32239,0.0957162
2025-03-10,18.7132,25.8585,2.92923,3.25264,-0.0486559,7.14529,0.0957162
2025-03-11,18.8903,26.1256,2.93865,3.26292,-0.0392814,7.23529,0.0957162
2025-03-12,19.3331,26.2344,2.96182,3.26707,-0.0373424,6.90137,0.0957162
2025-03-13,18.7329,26.2542,2.93028,3.26783,-0.0335701,7.52131,0.0957162
2025-03-14,19.2937,26.8082,2.95978,3.28871,-0.0155129,7.51447,0.0957162
2025-03-17,19.7069,27.4908,2.98097,3.31385,0.00760135,7.78382,0.0957162
2025-03-18,19.8447,27.2237,2.98794,3.30409,-0.0028286,7.37898,0.0957162
2025-03-19,20.4744,27.5501,3.01917,3.31601,0.00610144,7.07575,0.0957162
2025-03-20,20.2382,27.7578,3.00757,3.32352,0.0147239,7.51962,0.0957162
2025-03-21,20.2776,27.6292,3.00952,3.31887,0.00989424,7.35167,0.0957162
2025-03-24,20.5039,28.4008,3.02061,3.34642,0.036376,7.89697,0.0957162
2025-03-25,20.5531,28.5196,3.02301,3.35059,0.0403178,7.96649,0.0957162
2025-03-26,20.7597,28.1733,3.03301,3.33838,0.0271459,7.41364,0.0957162
2025-03-27,20.8581,27.926,3.03774,3.32956,0.0178765,7.06795,0.0957162
2025-03-28,20.5826,28.0645,3.02445,3.33451,0.0240962,7.48193,0.0957162
2025-03-31,20.681,28.2228,3.02921,3.34013,0.0292636,7.54182,0.0957162
2025-04-01,20.7892,28.3217,3.03443,3.34363,0.0322629,7.53252,0.0957162
2025-04-02,20.8974,28.6086,3.03963,3.35371,0.0418442,7.71117,0.0957162
2025-04-03,17.4539,27.4215,2.85956,3.31133,0.0167,9.96764,0.0957162
2025-04-04,14.9352,25.0177,2.70372,3.21958,-0.0601283,10.0825,0.0957162
2025-04-07,14.7187,25.0968,2.68912,3.22274,-0.0555727,10.3781,0.0957162
2025-04-08,13.8037,24.9385,2.62494,3.21641,-0.055756,11.1348,0.0957162
2025-04-09,16.4405,25.9673,2.79975,3.25684,-0.0320629,9.52685,0.0957162
2025-04-10,14.3645,25.5123,2.66476,3.23916,-0.0368217,11.1478,0.0957162
2025-04-11,14.7974,26.185,2.69445,3.26519,-0.0136385,11.3875,0.0957162
2025-04-14,14.9548,26.5114,2.70503,3.27758,-0.00226155,11.5566,0.0957162
2025-04-15,14.6498,26.9269,2.68443,3.29313,0.0152609,12.2771,0.0957162
2025-04-16,15.1221,26.6598,2.71616,3.28316,0.00225534,11.5377,0.0957162
2025-04-17,15.8502,26.8082,2.76318,3.28871,0.00330491,10.958,0.0957162
2025-04-21,15.25,25.5123,2.72458,3.23916,-0.0425473,10.2623,0.0957162
2025-04-22,15.86,26.3136,2.7638,3.27008,-0.015377,10.4536,0.0957162
2025-04-23,15.65,26.3136,2.75047,3.27008,-0.0141011,10.6636,0.0957162
2025-04-24,16.26,26.5807,2.78871,3.28018,-0.00766182,10.3207,0.0957162
2025-04-25,16.35,26.5609,2.79423,3.27944,-0.00893477,10.2109,0.0957162
2025-04-28,16.55,26.7785,2.80639,3.2876,-0.00193824,10.2285,0.0957162
2025-04-29,16.24,26.917,2.78748,3.29276,0.00503001,10.677,0.0957162
2025-04-30,15.54,26.3,2.74342,3.26957,-0.0139418,10.76,0.0957162
2025-05-01,16.22,26.3,2.78625,3.26957,-0.0180411,10.08,0.0957162
2025-05-02,16.46,26.83,2.80093,3.28952,0.000504753,10.37,0.0957162
2025-05-05,15.5,26.87,2.74084,3.29101,0.00774643,11.37,0.0957162
2025-05-06,15.73,27.21,2.75557,3.30358,0.0189106,11.48,0.0957162
2025-05-07,15.48,27.62,2.73955,3.31854,0.0353997,12.14,0.0957162
2025-05-08,16.18,27.04,2.78378,3.29732,0.0099436,10.86,0.0957162
2025-05-09,16.72,27.31,2.81661,3.30725,0.0167369,10.59,0.0957162
2025-05-12,17.71,27.31,2.87413,3.30725,0.0112309,9.6,0.0957162
2025-05-13,18.46,27.5,2.91561,3.31419,0.014194,9.04,0.0957162
2025-05-14,18.17,27.46,2.89977,3.31273,0.014254,9.29,0.0957162
2025-05-15,17.76,28,2.87695,3.3322,0.0359127,10.24,0.0957162
2025-05-16,17.59,28.09,2.86733,3.33541,0.0400424,10.5,0.0957162
2025-05-19,17.32,28,2.85186,3.3322,0.0383139,10.68,0.0957162
2025-05-20,17.25,27.98,2.84781,3.33149,0.037987,10.73,0.0957162
2025-05-21,16.71,27.47,2.81601,3.31309,0.0226357,10.76,0.0957162
2025-05-22,16.74,27.34,2.8178,3.30835,0.0177204,10.6,0.0957162
2025-05-23,16.85,27.86,2.82435,3.32719,0.0359346,11.01,0.0957162
2025-05-27,17.31,28.19,2.85128,3.33897,0.045132,10.88,0.0957162
2025-05-28,17.18,27.95,2.84375,3.33042,0.0373034,10.77,0.0957162
2025-05-29,17.34,27.92,2.85302,3.32934,0.0353422,10.58,0.0957162
2025-05-30,17.01,28.04,2.8338,3.33363,0.0414702,11.03,0.0957162
2025-06-02,17.33,28.65,2.85244,3.35515,0.0612076,11.32,0.0957162
2025-06-03,18.27,28.56,2.90526,3.35201,0.0530054,10.29,0.0957162
2025-06-04,17.92,28.03,2.88592,3.33328,0.0361251,10.11,0.0957162
2025-06-05,17.85,28.24,2.882,3.34074,0.0439637,10.39,0.0957162
2025-06-06,18.5,28.14,2.91777,3.33719,0.0369929,9.64,0.0957162
2025-06-09,18.63,27.53,2.92477,3.31528,0.0144069,8.9,0.0957162
2025-06-10,19.28,27.38,2.95907,3.30981,0.00566078,8.1,0.0957162
2025-06-11,19.61,27.52,2.97604,3.31491,0.00913658,7.91,0.0957162
2025-06-12,19.95,27.66,2.99323,3.31999,0.0125656,7.71,0.0957162
2025-06-13,21.01,27.64,3.045,3.31926,0.00688705,6.63,0.0957162
