Date,EOG Raw Price,ENB Raw Price,EOG Log Price,ENB Log Price,Residual,Spread,Beta
2025-02-28,125.788,42.73,4.8346,3.7549,-0.0289866,83.0585,-0.184859
2025-03-03,119.447,42.67,4.78287,3.7535,-0.0399551,76.7765,-0.184859
2025-03-04,121.002,41.55,4.79581,3.7269,-0.0641614,79.4523,-0.184859
2025-03-05,120.745,42.49,4.79368,3.74927,-0.0421842,78.2546,-0.184859
2025-03-06,121.082,41.6,4.79646,3.7281,-0.0628377,79.4816,-0.184859
2025-03-07,124.124,42,4.82128,3.73767,-0.0486811,82.1237,-0.184859
2025-03-10,124.748,42.68,4.8263,3.75373,-0.0316928,82.068,-0.184859
2025-03-11,123.361,42.3,4.81511,3.74479,-0.0427035,81.0607,-0.184859
2025-03-12,123.143,42.54,4.81334,3.75044,-0.0373727,80.6027,-0.184859
2025-03-13,119.992,42.55,4.78742,3.75068,-0.0419297,77.4415,-0.184859
2025-03-14,122.796,42.83,4.81052,3.75724,-0.0311001,79.9659,-0.184859
2025-03-17,122.459,43.5,4.80778,3.77276,-0.0160859,78.9589,-0.184859
2025-03-18,121.458,43.41,4.79957,3.77069,-0.019674,78.0481,-0.184859
2025-03-19,123.807,43.75,4.81872,3.77849,-0.00833194,80.0566,-0.184859
2025-03-20,123.172,44.23,4.81359,3.7894,0.00163036,78.9424,-0.184859
2025-03-21,124.035,43.87,4.82056,3.78123,-0.00525287,80.1645,-0.184859
2025-03-24,127.106,44.26,4.84502,3.79008,0.00812024,82.8464,-0.184859
2025-03-25,126.224,44.42,4.83806,3.79369,0.0104416,81.8045,-0.184859
2025-03-26,128.008,44.52,4.85209,3.79594,0.0152843,83.4881,-0.184859
2025-03-27,125.58,44.36,4.83295,3.79234,0.00814429,81.2204,-0.184859
2025-03-28,125.442,44.46,4.83184,3.79459,0.0101917,80.9816,-0.184859
2025-03-31,127.077,44.31,4.84479,3.79121,0.00920613,82.7667,-0.184859
2025-04-01,128.127,44.57,4.85302,3.79706,0.0165784,83.5571,-0.184859
2025-04-02,128.791,45.14,4.85819,3.80977,0.0302416,83.651,-0.184859
2025-04-03,118.802,45.34,4.77746,3.81419,0.019739,73.4624,-0.184859
2025-04-04,109.547,43.35,4.69636,3.76931,-0.0401373,66.1972,-0.184859
2025-04-07,108.041,41.95,4.68251,3.73648,-0.0755248,66.0909,-0.184859
2025-04-08,104.008,41.09,4.64447,3.71576,-0.103271,62.9179,-0.184859
2025-04-09,113.015,41.77,4.72752,3.73218,-0.0715037,71.2454,-0.184859
2025-04-10,103.661,41.82,4.64113,3.73337,-0.0862788,61.841,-0.184859
2025-04-11,107.555,43.24,4.67801,3.76677,-0.0460699,64.3154,-0.184859
2025-04-14,106.664,44.02,4.66968,3.78464,-0.0297311,62.6435,-0.184859
2025-04-15,106.505,44.28,4.66819,3.79053,-0.0241171,62.225,-0.184859
2025-04-16,108.24,44.57,4.68435,3.79706,-0.014602,63.67,-0.184859
2025-04-17,110.5,45.37,4.70502,3.81485,0.00700809,65.13,-0.184859
2025-04-21,109.11,44.99,4.69236,3.80644,-0.00374282,64.12,-0.184859
2025-04-22,111.32,45.64,4.71241,3.82078,0.0143083,65.68,-0.184859
2025-04-23,111.57,45.61,4.71465,3.82013,0.0140655,65.96,-0.184859
2025-04-24,113.46,46.36,4.73145,3.83644,0.0334808,67.1,-0.184859
2025-04-25,113.07,46.19,4.72801,3.83276,0.0291705,66.88,-0.184859
2025-04-28,114.14,46.64,4.73743,3.84246,0.0406069,67.5,-0.184859
2025-04-29,112.93,46.64,4.72677,3.84246,0.0386367,66.29,-0.184859
2025-04-30,110.33,46.69,4.70348,3.84353,0.0354024,63.64,-0.184859
2025-05-01,111.68,46.48,4.71564,3.83902,0.0331427,65.2,-0.184859
2025-05-02,110.86,46.86,4.70827,3.84716,0.0399227,64,-0.184859
2025-05-05,108.52,46.59,4.68693,3.84139,0.0302005,61.93,-0.184859
2025-05-06,108.72,46.16,4.68878,3.83211,0.0212686,62.56,-0.184859
2025-05-07,107.97,46.69,4.68185,3.84353,0.0314053,61.28,-0.184859
2025-05-08,109.71,45.78,4.69784,3.82385,0.0146779,63.93,-0.184859
2025-05-09,111.12,46.1,4.71061,3.83081,0.0240043,65.02,-0.184859
2025-05-12,114.06,44.55,4.73672,3.79661,-0.00536913,69.51,-0.184859
2025-05-13,116.65,44.57,4.75918,3.79706,-0.000769578,72.08,-0.184859
2025-05-14,115.59,44.87,4.75005,3.80377,0.00425134,70.72,-0.184859
2025-05-15,115.86,44.92,4.75238,3.80488,0.00579633,70.94,-0.184859
2025-05-16,115.5,44.85,4.74927,3.80332,0.00366151,70.65,-0.184859
2025-05-19,113.95,44.94,4.73576,3.80533,0.0031686,69.01,-0.184859
2025-05-20,112.58,45.61,4.72366,3.82013,0.0157314,66.97,-0.184859
2025-05-21,111.38,45.57,4.71295,3.81925,0.012873,65.81,-0.184859
2025-05-22,110.79,45.17,4.70764,3.81043,0.00307465,65.62,-0.184859
2025-05-23,110.18,46.06,4.70212,3.82994,0.0215658,64.12,-0.184859
2025-05-27,111.23,46.04,4.7116,3.82951,0.0228849,65.19,-0.184859
2025-05-28,110.45,45.57,4.70456,3.81925,0.011323,64.88,-0.184859
2025-05-29,109.88,45.85,4.69939,3.82538,0.016492,64.03,-0.184859
2025-05-30,108.57,46.48,4.6874,3.83902,0.0279218,62.09,-0.184859
2025-06-02,111.34,47.16,4.71259,3.85355,0.047103,64.18,-0.184859
2025-06-03,112.82,47.07,4.72579,3.85164,0.0476339,65.75,-0.184859
2025-06-04,110.77,46.66,4.70746,3.84289,0.0354954,64.11,-0.184859
2025-06-05,111.03,46.87,4.7098,3.84738,0.0404193,64.16,-0.184859
2025-06-06,114.05,46.52,4.73664,3.83988,0.0378849,67.53,-0.184859
2025-06-09,114.33,45.82,4.73909,3.82472,0.0231765,68.51,-0.184859
2025-06-10,117.88,45.85,4.76967,3.82538,0.0294836,72.03,-0.184859
2025-06-11,119.92,45.87,4.78682,3.82581,0.0330915,74.05,-0.184859
2025-06-12,120.59,46.81,4.7924,3.8461,0.054407,73.78,-0.184859
2025-06-13,125.28,46.67,4.83055,3.8431,0.0584649,78.61,-0.184859
