Date,AR Raw Price,RRC Raw Price,AR Log Price,RRC Log Price,Residual,Spread,Beta
2025-03-06,33.78,35.2158,3.51987,3.5615,0.034495,1.43582,0.904289
2025-03-07,33.64,35.0566,3.51572,3.55696,0.033718,1.41656,0.904289
2025-03-10,34.69,36.2908,3.54645,3.59156,0.0405258,1.60081,0.904289
2025-03-11,35.86,37.2762,3.57962,3.61836,0.0373206,1.41622,0.904289
2025-03-12,36.01,37.4255,3.5838,3.62235,0.0375432,1.41552,0.904289
2025-03-13,36.37,37.2862,3.59374,3.61862,0.0248173,0.916168,0.904289
2025-03-14,37.57,38.234,3.62621,3.64373,0.0205663,0.664036,0.904289
2025-03-17,38.9,38.8826,3.66099,3.66055,0.00592776,0.0174217,0.904289
2025-03-18,39.87,39.5511,3.68562,3.67759,0.000701806,0.318924,0.904289
2025-03-19,41.02,40.4191,3.71406,3.6993,-0.00330204,0.600876,0.904289
2025-03-20,40.97,40.1797,3.71284,3.69336,-0.00814117,0.790337,0.904289
2025-03-21,40.77,39.7905,3.70795,3.68363,-0.0134478,0.979462,0.904289
2025-03-24,41.21,40.5788,3.71868,3.70324,-0.00353913,0.631237,0.904289
2025-03-25,41.42,40.05,3.72376,3.69013,-0.0212528,1.37004,0.904289
2025-03-26,40.97,39.7506,3.71284,3.68263,-0.0188765,1.21937,0.904289
2025-03-27,39.53,38.703,3.67706,3.65592,-0.0132298,0.827015,0.904289
2025-03-28,39.69,39.1021,3.6811,3.66618,-0.00662346,0.587914,0.904289
2025-03-31,40.44,39.8404,3.69982,3.68488,-0.00484549,0.599571,0.904289
2025-04-01,40.92,40.1298,3.71162,3.69212,-0.00827924,0.790222,0.904289
2025-04-02,42,40.5189,3.73767,3.70177,-0.0221866,1.4811,0.904289
2025-04-03,38.79,37.9846,3.65816,3.63718,-0.0148771,0.805405,0.904289
2025-04-04,33.46,33.375,3.51035,3.50781,-0.0105872,0.0850372,0.904289
2025-04-07,34.15,33.4348,3.53076,3.5096,-0.0272535,0.715176,0.904289
2025-04-08,32.24,32.028,3.47321,3.46661,-0.0181953,0.212013,0.904289
2025-04-09,34.89,34.4825,3.5522,3.54045,-0.0157861,0.407524,0.904289
2025-04-10,31.92,32.1777,3.46323,3.47127,-0.00451277,0.257654,0.904289
2025-04-11,33.1,33.3151,3.49953,3.50601,-0.00260044,0.215099,0.904289
2025-04-14,33.23,33.3849,3.50345,3.5081,-0.00405096,0.154938,0.904289
2025-04-15,33.1,33.2652,3.49953,3.50451,-0.00409904,0.165211,0.904289
2025-04-16,34.3,34.0235,3.53515,3.52705,-0.0137632,0.276497,0.904289
2025-04-17,34.42,34.1033,3.53864,3.52939,-0.014578,0.316673,0.904289
2025-04-21,32.06,32.5468,3.46761,3.48268,0.00293716,0.48682,0.904289
2025-04-22,32.83,33.2153,3.49134,3.50301,0.00180665,0.385319,0.904289
2025-04-23,34.29,33.9736,3.53485,3.52558,-0.014967,0.316387,0.904289
2025-04-24,34.54,33.784,3.54212,3.51999,-0.0271316,0.755959,0.904289
2025-04-25,35.33,34.712,3.56473,3.54708,-0.0204859,0.618046,0.904289
2025-04-28,35.93,35.1709,3.58157,3.56022,-0.0225787,0.759075,0.904289
2025-04-29,36.18,35.0213,3.58851,3.55596,-0.0331134,1.15874,0.904289
2025-04-30,34.83,33.8539,3.55048,3.52205,-0.0326272,0.976116,0.904289
2025-05-01,34.65,34.1432,3.5453,3.53056,-0.0194309,0.506763,0.904289
2025-05-02,35.76,34.9315,3.57683,3.55339,-0.0251217,0.828537,0.904289
2025-05-05,35.49,34.9814,3.56925,3.55482,-0.016841,0.508648,0.904289
2025-05-06,35.5,34.9514,3.56953,3.55396,-0.0179519,0.548584,0.904289
2025-05-07,36.71,35.7396,3.60305,3.57626,-0.0259588,0.970352,0.904289
2025-05-08,37.39,36.6476,3.6214,3.60135,-0.0174689,0.742397,0.904289
2025-05-09,38.71,37.7751,3.6561,3.63165,-0.0185415,0.934929,0.904289
2025-05-12,39.4,38.9125,3.67377,3.66132,-0.00485187,0.487488,0.904289
2025-05-13,41.04,40.5289,3.71455,3.70201,-0.00103116,0.511124,0.904289
2025-05-14,40.5,40.3293,3.7013,3.69708,0.00601055,0.170673,0.904289
2025-05-15,40.23,40.2096,3.69461,3.69411,0.00908606,0.0204048,0.904289
2025-05-16,39.8,40.03,3.68387,3.68963,0.0143271,0.23,0.904289
2025-05-19,39.42,39.3415,3.67427,3.67228,0.00565459,0.0784492,0.904289
2025-05-20,39.77,39.6309,3.68311,3.67961,0.00498889,0.139103,0.904289
2025-05-21,39.11,39.2318,3.66638,3.66949,0.0100003,0.121792,0.904289
2025-05-22,39.05,39.3216,3.66484,3.67177,0.013675,0.271591,0.904289
2025-05-23,39.49,39.4613,3.67605,3.67532,0.00708882,0.0287247,0.904289
2025-05-27,40.17,39.7207,3.69312,3.68187,-0.00179751,0.449303,0.904289
2025-05-28,38.97,39.2518,3.66279,3.67,0.0137517,0.28175,0.904289
2025-05-29,38.84,39.122,3.65945,3.66669,0.0134633,0.28204,0.904289
2025-05-30,37.45,37.9547,3.62301,3.63639,0.0161256,0.504665,0.904289
2025-06-02,38.65,38.8327,3.65455,3.65926,0.0104743,0.18269,0.904289
2025-06-03,38.36,38.9524,3.64702,3.66234,0.0203635,0.592422,0.904289
2025-06-04,37.3,37.6254,3.61899,3.62768,0.0110419,0.325405,0.904289
2025-06-05,37.19,37.3161,3.61604,3.61942,0.00545811,0.126102,0.904289
2025-06-06,38.65,38.3039,3.65455,3.64555,-0.00323702,0.346123,0.904289
2025-06-09,38.92,38.7229,3.66151,3.65643,0.00134885,0.19706,0.904289
2025-06-10,38.39,38.6431,3.6478,3.65437,0.0116842,0.253117,0.904289
2025-06-11,39.22,39.2418,3.66919,3.66974,0.00771487,0.0217743,0.904289
2025-06-12,40.04,40.03,3.68988,3.68963,0.00889047,0.0100021,0.904289
2025-06-13,41.66,41.39,3.72954,3.72304,0.00643429,0.27,0.904289
