Date,SM Raw Price,KMI Raw Price,SM Log Price,KMI Log Price,Residual,Spread,Beta
2025-05-14,25.46,27.46,3.23711,3.31273,0.0156705,2,0.0481445
2025-05-15,24.56,28,3.20112,3.3322,0.0368773,3.44,0.0481445
2025-05-16,24.45,28.09,3.19663,3.33541,0.0403025,3.64,0.0481445
2025-05-19,23.92,28,3.17471,3.3322,0.0381485,4.08,0.0481445
2025-05-20,23.73,27.98,3.16674,3.33149,0.0378179,4.25,0.0481445
2025-05-21,23.1,27.47,3.13983,3.31309,0.0207179,4.37,0.0481445
2025-05-22,23.18,27.34,3.14329,3.30835,0.0158078,4.16,0.0481445
2025-05-23,23.17,27.86,3.14286,3.32719,0.0346697,4.69,0.0481445
2025-05-27,23.83,28.19,3.17095,3.33897,0.0450928,4.36,0.0481445
2025-05-28,23.66,27.95,3.16379,3.33042,0.0368874,4.29,0.0481445
2025-05-29,23.8,27.92,3.16969,3.32934,0.0355294,4.12,0.0481445
2025-05-30,23.42,28.04,3.15359,3.33363,0.0405931,4.62,0.0481445
2025-06-02,23.92,28.65,3.17471,3.35515,0.0610974,4.73,0.0481445
2025-06-03,25.24,28.56,3.22843,3.35201,0.055365,3.32,0.0481445
2025-06-04,24.16,28.03,3.1847,3.33328,0.0387387,3.87,0.0481445
2025-06-05,24.01,28.24,3.17847,3.34074,0.0465026,4.23,0.0481445
2025-06-06,24.92,28.14,3.21567,3.33719,0.0411642,3.22,0.0481445
2025-06-09,25.59,27.53,3.2422,3.31528,0.0179712,1.94,0.0481445
2025-06-10,25.99,27.38,3.25771,3.30981,0.0117609,1.39,0.0481445
2025-06-11,26.8,27.52,3.2884,3.31491,0.0153836,0.720001,0.0481445
2025-06-12,27.13,27.66,3.30064,3.31999,0.0198687,0.530001,0.0481445
2025-06-13,28.26,27.64,3.34145,3.31926,0.0171807,0.620001,0.0481445
