Date,XOM Raw Price,MPC Raw Price,XOM Log Price,MPC Log Price,Residual,Spread,Beta
2025-03-11,108.164,133.961,4.68365,4.89755,-0.0892251,25.7972,0.510588
2025-03-12,108.134,136.348,4.68337,4.91521,-0.0714269,28.2134,0.510588
2025-03-13,107.678,136.248,4.67915,4.91448,-0.0699996,28.5698,0.510588
2025-03-14,110.879,140.355,4.70844,4.94417,-0.0552585,29.476,0.510588
2025-03-17,112.722,145.337,4.72492,4.97905,-0.0287968,32.6148,0.510588
2025-03-18,112.603,145.177,4.72387,4.97796,-0.0293533,32.5746,0.510588
2025-03-19,114.357,148.727,4.73932,5.00212,-0.0130867,34.3706,0.510588
2025-03-20,114.842,151.094,4.74356,5.0179,0.000536976,36.2517,0.510588
2025-03-21,114.446,149.115,4.7401,5.00472,-0.0108806,34.6693,0.510588
2025-03-24,114.743,147.842,4.7427,4.99615,-0.0207775,33.0992,0.510588
2025-03-25,115.526,148.25,4.7495,4.9989,-0.0214951,32.7241,0.510588
2025-03-26,117.191,148.966,4.7638,5.00372,-0.0239822,31.7754,0.510588
2025-03-27,116.814,146.52,4.76058,4.98716,-0.0388962,29.7058,0.510588
2025-03-28,116.656,143.288,4.75923,4.96486,-0.060506,26.6326,0.510588
2025-03-31,117.845,144.869,4.76937,4.97583,-0.0547104,27.0246,0.510588
2025-04-01,117.954,145.804,4.77029,4.98226,-0.0487511,27.8503,0.510588
2025-04-02,117.587,147.067,4.76718,4.99089,-0.0385377,29.4798,0.510588
2025-04-03,111.404,127.866,4.71316,4.85098,-0.150865,16.4616,0.510588
2025-04-04,103.388,120.388,4.63849,4.79072,-0.172997,17.0002,0.510588
2025-04-07,102.001,120.975,4.62498,4.79558,-0.161238,18.9741,0.510588
2025-04-08,99.8504,117.882,4.60367,4.76969,-0.176255,18.0318,0.510588
2025-04-09,104.834,130.68,4.65238,4.87275,-0.0980622,25.8452,0.510588
2025-04-10,99.018,120.845,4.5953,4.79451,-0.147155,21.8273,0.510588
2025-04-11,102.199,122.735,4.62692,4.81002,-0.147785,20.5359,0.510588
2025-04-14,102.446,124.147,4.62934,4.82146,-0.137582,21.7002,0.510588
2025-04-15,102.159,121.541,4.62653,4.80025,-0.157357,19.3823,0.510588
2025-04-16,103.239,123.371,4.63705,4.8152,-0.147785,20.1319,0.510588
2025-04-17,105.944,127,4.66291,4.84419,-0.131997,21.0562,0.510588
2025-04-21,104.389,126.006,4.64812,4.83633,-0.132304,21.6175,0.510588
2025-04-22,107.312,130.65,4.67574,4.87252,-0.110215,23.3382,0.510588
2025-04-23,106.39,133.543,4.66711,4.89443,-0.0839055,27.1533,0.510588
2025-04-24,107.639,136.765,4.67878,4.91827,-0.0660238,29.1265,0.510588
2025-04-25,107.579,136.666,4.67823,4.91754,-0.066469,29.0865,0.510588
2025-04-28,107.639,136.805,4.67878,4.91856,-0.065733,29.1663,0.510588
2025-04-29,107.371,137.531,4.67629,4.92385,-0.0591704,30.1597,0.510588
2025-04-30,104.666,136.636,4.65077,4.91732,-0.0526703,31.9699,0.510588
2025-05-01,104.815,136.944,4.65219,4.91957,-0.0511413,32.1295,0.510588
2025-05-02,105.241,140.753,4.65625,4.947,-0.0257822,35.5118,0.510588
2025-05-05,102.328,142.523,4.62818,4.9595,0.00104732,40.195,0.510588
2025-05-06,103.754,143.736,4.64203,4.96798,0.0024526,39.9813,0.510588
2025-05-07,103.655,143.875,4.64107,4.96894,0.00390845,40.2195,0.510588
2025-05-08,105.102,149.125,4.65493,5.00479,0.0326735,44.0231,0.510588
2025-05-09,106.331,150.04,4.66655,5.0109,0.0328549,43.7093,0.510588
2025-05-12,108.164,157.249,4.68365,5.05783,0.0710571,49.0853,0.510588
2025-05-13,108.461,161.923,4.68639,5.08712,0.0989432,53.4616,0.510588
2025-05-14,107.49,162.599,4.6774,5.09129,0.107702,55.1088,0.510588
2025-05-15,108.58,164.359,4.68749,5.10205,0.113317,55.7788,0.510588
2025-05-16,108.19,163.195,4.68389,5.09495,0.108051,55.0054,0.510588
2025-05-19,106.47,161.356,4.66786,5.08361,0.104897,54.8858,0.510588
2025-05-20,104.95,160.62,4.65348,5.07904,0.107668,55.67,0.510588
2025-05-21,103.66,156.7,4.64112,5.05433,0.0892746,53.04,0.510588
2025-05-22,102.97,158.89,4.63444,5.06821,0.106564,55.92,0.510588
2025-05-23,103.03,159.11,4.63502,5.0696,0.10765,56.08,0.510588
2025-05-27,103.52,162.33,4.63976,5.08963,0.125263,58.81,0.510588
2025-05-28,102.11,158.61,4.62605,5.06645,0.109082,56.5,0.510588
2025-05-29,102.69,159.92,4.63171,5.07467,0.114415,57.23,0.510588
2025-05-30,102.3,160.74,4.62791,5.07979,0.121473,58.44,0.510588
2025-06-02,103.05,158.75,4.63521,5.06733,0.105286,55.7,0.510588
2025-06-03,103.8,161.97,4.64247,5.08741,0.121663,58.17,0.510588
2025-06-04,102.3,156.95,4.62791,5.05593,0.0976119,54.65,0.510588
2025-06-05,101.83,158.21,4.6233,5.06392,0.107959,56.38,0.510588
2025-06-06,104.27,160.12,4.64698,5.07592,0.107869,55.85,0.510588
2025-06-09,104.97,160.27,4.65367,5.07686,0.105389,55.3,0.510588
2025-06-10,107.22,162.64,4.67488,5.09154,0.10924,55.42,0.510588
2025-06-11,109.31,164.66,4.69419,5.10388,0.111727,55.35,0.510588
2025-06-12,109.73,165.07,4.69802,5.10637,0.112255,55.34,0.510588
2025-06-13,112.12,166.15,4.71957,5.11289,0.107775,54.03,0.510588
