Date,EOG Raw Price,MTDR Raw Price,EOG Log Price,MTDR Log Price,Residual,Spread,Beta
2025-02-24,132.418,52.6923,4.88596,3.96447,-0.104813,79.7255,1.89621
2025-02-25,130.129,51.7648,4.86852,3.94671,-0.0895076,78.364,1.89621
2025-02-26,128.662,51.4392,4.85719,3.9404,-0.0743258,77.223,1.89621
2025-02-27,129.425,51.8141,4.8631,3.94766,-0.0782749,77.6111,1.89621
2025-02-28,125.788,51.9561,4.8346,3.9504,-0.0214946,73.8324,1.89621
2025-03-03,119.447,47.3898,4.78287,3.85841,-0.0153892,72.0567,1.89621
2025-03-04,121.002,46.0894,4.79581,3.83058,-0.0677512,74.9129,1.89621
2025-03-05,120.745,45.3846,4.79368,3.81517,-0.0791193,75.36,1.89621
2025-03-06,121.082,44.4614,4.79646,3.79462,-0.104954,76.6201,1.89621
2025-03-07,124.124,44.9379,4.82128,3.80528,-0.141348,79.1858,1.89621
2025-03-10,124.748,44.6898,4.8263,3.79974,-0.156399,80.0582,1.89621
2025-03-11,123.361,46.6552,4.81511,3.84279,-0.0921522,76.7054,1.89621
2025-03-12,123.143,47.9258,4.81334,3.86965,-0.0619285,75.2168,1.89621
2025-03-13,119.992,46.5858,4.78742,3.84129,-0.041134,73.4058,1.89621
2025-03-14,122.796,48.2634,4.81052,3.87667,-0.0495628,74.5325,1.89621
2025-03-17,122.459,49.9906,4.80778,3.91183,-0.00919072,72.4684,1.89621
2025-03-18,121.458,50.1891,4.79957,3.9158,0.010334,71.269,1.89621
2025-03-19,123.807,52.234,4.81872,3.95573,0.0139544,71.5726,1.89621
2025-03-20,123.172,51.9263,4.81359,3.94983,0.017784,71.2461,1.89621
2025-03-21,124.035,51.1322,4.82056,3.93441,-0.0108534,72.9024,1.89621
2025-03-24,127.106,52.5814,4.84502,3.96236,-0.0292938,74.525,1.89621
2025-03-25,126.224,51.9362,4.83806,3.95002,-0.028438,74.2883,1.89621
2025-03-26,128.008,51.8568,4.85209,3.94849,-0.0565757,76.1513,1.89621
2025-03-27,125.58,51.1222,4.83295,3.93422,-0.0345341,74.4581,1.89621
2025-03-28,125.442,50.1395,4.83184,3.91481,-0.0518487,75.3022,1.89621
2025-03-31,127.077,50.7152,4.84479,3.92623,-0.0649873,76.3614,1.89621
2025-04-01,128.127,50.7351,4.85302,3.92662,-0.080205,77.392,1.89621
2025-04-02,128.791,51.8469,4.85819,3.94829,-0.0683285,76.9441,1.89621
2025-04-03,118.802,44.2431,4.77746,3.7897,-0.0738451,74.5594,1.89621
2025-04-04,109.547,38.0985,4.69636,3.64017,-0.0695738,71.4487,1.89621
2025-04-07,108.041,38.0488,4.68251,3.63887,-0.0446247,69.9921,1.89621
2025-04-08,104.008,36.401,4.64447,3.5946,-0.0167595,67.6068,1.89621
2025-04-09,113.015,42.1882,4.72752,3.74214,-0.0267094,70.8272,1.89621
2025-04-10,103.661,37.5624,4.64113,3.626,0.020982,66.0986,1.89621
2025-04-11,107.555,39.1209,4.67801,3.66666,-0.00829675,68.4345,1.89621
2025-04-14,106.664,38.9422,4.66968,3.66208,0.00291416,67.7213,1.89621
2025-04-15,106.505,38.6643,4.66819,3.65492,-0.00142831,67.8407,1.89621
2025-04-16,108.24,39.8356,4.68435,3.68476,-0.00222379,68.4044,1.89621
2025-04-17,110.5,41.1658,4.70502,3.71761,-0.00856214,69.3342,1.89621
2025-04-21,109.11,39.7364,4.69236,3.68227,-0.0198992,69.3736,1.89621
2025-04-22,111.32,40.7191,4.71241,3.7067,-0.0334921,70.6009,1.89621
2025-04-23,111.57,40.5404,4.71465,3.7023,-0.0421436,71.0296,1.89621
2025-04-24,113.46,40.4511,4.73145,3.70009,-0.0762026,73.0089,1.89621
2025-04-25,113.07,40.7687,4.72801,3.70792,-0.0618514,72.3013,1.89621
2025-04-28,114.14,41.2353,4.73743,3.71929,-0.0683323,72.9047,1.89621
2025-04-29,112.93,40.7191,4.72677,3.7067,-0.0607203,72.2109,1.89621
2025-04-30,110.33,39.25,4.70348,3.66995,-0.0533001,71.08,1.89621
2025-05-01,111.68,40.193,4.71564,3.69369,-0.0526191,71.487,1.89621
2025-05-02,110.86,40.7886,4.70827,3.7084,-0.0239353,70.0714,1.89621
2025-05-05,108.52,39.3592,4.68693,3.67273,-0.0191559,69.1608,1.89621
2025-05-06,108.72,40.0342,4.68878,3.68973,-0.00564269,68.6858,1.89621
2025-05-07,107.97,39.7463,4.68185,3.68252,0.000266849,68.2237,1.89621
2025-05-08,109.71,42.357,4.69784,3.74613,0.033569,67.353,1.89621
2025-05-09,111.12,42.75,4.71061,3.75537,0.0185895,68.37,1.89621
2025-05-12,114.06,44.69,4.73672,3.79975,0.0134525,69.37,1.89621
2025-05-13,116.65,46.36,4.75918,3.83644,0.00756335,70.29,1.89621
2025-05-14,115.59,45.89,4.75005,3.82625,0.0146833,69.7,1.89621
2025-05-15,115.86,44.59,4.75238,3.79751,-0.0184784,71.27,1.89621
2025-05-16,115.5,44.54,4.74927,3.79639,-0.0136993,70.96,1.89621
2025-05-19,113.95,44.29,4.73576,3.79076,0.00629134,69.66,1.89621
2025-05-20,112.58,44.28,4.72366,3.79053,0.0290014,68.3,1.89621
2025-05-21,111.38,43.55,4.71295,3.77391,0.0326985,67.83,1.89621
2025-05-22,110.79,43.6,4.70764,3.77506,0.0439171,67.19,1.89621
2025-05-23,110.18,43.4,4.70212,3.77046,0.0497887,66.78,1.89621
2025-05-27,111.23,44.16,4.7116,3.78782,0.0491635,67.07,1.89621
2025-05-28,110.45,43.83,4.70456,3.78032,0.0550068,66.62,1.89621
2025-05-29,109.88,44.04,4.69939,3.7851,0.0695977,65.84,1.89621
2025-05-30,108.57,43.01,4.6874,3.76143,0.0686746,65.56,1.89621
2025-06-02,111.34,43.51,4.71259,3.77299,0.0324607,67.83,1.89621
2025-06-03,112.82,45.8,4.72579,3.82428,0.0587143,67.02,1.89621
2025-06-04,110.77,45.01,4.70746,3.80688,0.0760871,65.76,1.89621
2025-06-05,111.03,44.77,4.7098,3.80154,0.0662951,66.26,1.89621
2025-06-06,114.05,45.79,4.73664,3.82407,0.0379347,68.26,1.89621
2025-06-09,114.33,46.66,4.73909,3.84289,0.0521066,67.67,1.89621
2025-06-10,117.88,47.93,4.76967,3.86974,0.0209783,69.95,1.89621
2025-06-11,119.92,49.02,4.78682,3.89223,0.0109304,70.9,1.89621
2025-06-12,120.59,49.5,4.7924,3.90197,0.0101099,71.09,1.89621
2025-06-13,125.28,51.64,4.83055,3.9443,-0.019916,73.64,1.89621
