Date,DVN Raw Price,ET Raw Price,DVN Log Price,ET Log Price,Residual,Spread,Beta
2025-05-08,31.7068,17.042,3.45653,2.83568,-0.0288369,14.6648,0.675748
2025-05-09,32.3026,17.21,3.47515,2.84549,-0.0316075,15.0926,0.675748
2025-05-12,33.3155,17.44,3.50602,2.85877,-0.0391948,15.8755,0.675748
2025-05-13,34.0503,18,3.52784,2.89037,-0.0223323,16.0503,0.675748
2025-05-14,33.7226,18.16,3.51817,2.89922,-0.00694789,15.5626,0.675748
2025-05-15,33.1665,17.97,3.50154,2.8887,-0.00622964,15.1965,0.675748
2025-05-16,33.0275,17.95,3.49734,2.88759,-0.00450461,15.0775,0.675748
2025-05-19,32.4615,18,3.48005,2.89037,0.00995811,14.4615,0.675748
2025-05-20,31.9451,18.14,3.46402,2.89812,0.0285413,13.8051,0.675748
2025-05-21,31.2798,17.76,3.44297,2.87695,0.0215929,13.5198,0.675748
2025-05-22,30.9223,17.88,3.43148,2.88368,0.0360943,13.0423,0.675748
2025-05-23,30.9422,17.85,3.43212,2.882,0.0339812,13.0922,0.675748
2025-05-27,31.1308,17.95,3.4382,2.88759,0.0354599,13.1808,0.675748
2025-05-28,30.6443,17.76,3.42245,2.87695,0.0354638,12.8843,0.675748
2025-05-29,30.8925,17.68,3.43051,2.87243,0.0254969,13.2125,0.675748
2025-05-30,30.0485,17.48,3.40281,2.86106,0.0328401,12.5685,0.675748
2025-06-02,30.9223,17.48,3.43148,2.86106,0.0134689,13.4423,0.675748
2025-06-03,31.7862,17.9,3.45903,2.8848,0.0185919,13.8862,0.675748
2025-06-04,31.3394,17.53,3.44487,2.86391,0.00727202,13.8094,0.675748
2025-06-05,31.2003,17.67,3.44043,2.87187,0.0182309,13.5303,0.675748
2025-06-06,32.0643,17.93,3.46774,2.88648,0.0143812,14.1343,0.675748
2025-06-09,32.4217,17.71,3.47883,2.87413,-0.00545692,14.7117,0.675748
2025-06-10,33.236,17.99,3.50363,2.88982,-0.00653204,15.246,0.675748
2025-06-11,34.229,18.25,3.53307,2.90417,-0.0120769,15.979,0.675748
2025-06-12,34.09,18.45,3.529,2.91506,0.0015726,15.64,0.675748
2025-06-13,35.11,18.32,3.55849,2.90799,-0.0254208,16.79,0.675748
