Date,RRC Raw Price,KMI Raw Price,RRC Log Price,KMI Log Price,Residual,Spread,Beta
2025-03-07,35.0566,25.8585,3.55696,3.25264,-0.0221037,9.19804,0.421179
2025-03-10,36.2908,25.8585,3.59156,3.25264,-0.0366772,10.4323,0.421179
2025-03-11,37.2762,26.1256,3.61836,3.26292,-0.037685,11.1506,0.421179
2025-03-12,37.4255,26.2344,3.62235,3.26707,-0.035212,11.1911,0.421179
2025-03-13,37.2862,26.2542,3.61862,3.26783,-0.032887,11.032,0.421179
2025-03-14,38.234,26.8082,3.64373,3.28871,-0.0225795,11.4259,0.421179
2025-03-17,38.8826,27.4908,3.66055,3.31385,-0.00452127,11.3918,0.421179
2025-03-18,39.5511,27.2237,3.67759,3.30409,-0.0214642,12.3274,0.421179
2025-03-19,40.4191,27.5501,3.6993,3.31601,-0.0186881,12.869,0.421179
2025-03-20,40.1797,27.7578,3.69336,3.32352,-0.00867331,12.4218,0.421179
2025-03-21,39.7905,27.6292,3.68363,3.31887,-0.00921813,12.1613,0.421179
2025-03-24,40.5788,28.4008,3.70324,3.34642,0.0100642,12.1779,0.421179
2025-03-25,40.05,28.5196,3.69013,3.35059,0.01976,11.5304,0.421179
2025-03-26,39.7506,28.1733,3.68263,3.33838,0.0107051,11.5773,0.421179
2025-03-27,38.703,27.926,3.65592,3.32956,0.0131376,10.777,0.421179
2025-03-28,39.1021,28.0645,3.66618,3.33451,0.0137638,11.0376,0.421179
2025-03-31,39.8404,28.2228,3.68488,3.34013,0.0115089,11.6176,0.421179
2025-04-01,40.1298,28.3217,3.69212,3.34363,0.01196,11.8081,0.421179
2025-04-02,40.5189,28.6086,3.70177,3.35371,0.0179739,11.9103,0.421179
2025-04-03,37.9846,27.4215,3.63718,3.31133,0.00279769,10.5631,0.421179
2025-04-04,33.375,25.0177,3.50781,3.21958,-0.0344575,8.35729,0.421179
2025-04-07,33.4348,25.0968,3.5096,3.22274,-0.032054,8.33801,0.421179
2025-04-08,32.028,24.9385,3.46661,3.21641,-0.020275,7.08945,0.421179
2025-04-09,34.4825,25.9673,3.54045,3.25684,-0.0109501,8.51514,0.421179
2025-04-10,32.1777,25.5123,3.47127,3.23916,0.000507513,6.66536,0.421179
2025-04-11,33.3151,26.185,3.50601,3.26519,0.0119016,7.13013,0.421179
2025-04-14,33.3849,26.5114,3.5081,3.27758,0.0234094,6.87352,0.421179
2025-04-15,33.2652,26.9269,3.50451,3.29313,0.0404727,6.33832,0.421179
2025-04-16,34.0235,26.6598,3.52705,3.28316,0.0210109,7.3637,0.421179
2025-04-17,34.1033,26.8082,3.52939,3.28871,0.0255744,7.29514,0.421179
2025-04-21,32.5468,25.5123,3.48268,3.23916,-0.00429707,7.03453,0.421179
2025-04-22,33.2153,26.3136,3.50301,3.27008,0.0180641,6.90175,0.421179
2025-04-23,33.9736,26.3136,3.52558,3.27008,0.00855686,7.66005,0.421179
2025-04-24,33.784,26.5807,3.51999,3.28018,0.0210128,7.20338,0.421179
2025-04-25,34.712,26.5609,3.54708,3.27944,0.00885614,8.15108,0.421179
2025-04-28,35.1709,26.7785,3.56022,3.2876,0.011484,8.39242,0.421179
2025-04-29,35.0213,26.917,3.55596,3.29276,0.0184385,8.10426,0.421179
2025-04-30,33.8539,26.3,3.52205,3.26957,0.00952799,7.55389,0.421179
2025-05-01,34.1432,26.3,3.53056,3.26957,0.00594343,7.84324,0.421179
2025-05-02,34.9315,26.83,3.55339,3.28952,0.0162825,8.10146,0.421179
2025-05-05,34.9814,26.87,3.55482,3.29101,0.0171711,8.11135,0.421179
2025-05-06,34.9514,27.21,3.55396,3.30358,0.0301058,7.74142,0.421179
2025-05-07,35.7396,27.62,3.57626,3.31854,0.0356685,8.11965,0.421179
2025-05-08,36.6476,27.04,3.60135,3.29732,0.00387933,9.6076,0.421179
2025-05-09,37.7751,27.31,3.63165,3.30725,0.00105267,10.4651,0.421179
2025-05-12,38.9125,27.31,3.66132,3.30725,-0.0114422,11.6025,0.421179
2025-05-13,40.5289,27.5,3.70201,3.31419,-0.0216506,13.0289,0.421179
2025-05-14,40.3293,27.46,3.69708,3.31273,-0.0210274,12.8693,0.421179
2025-05-15,40.2096,28,3.69411,3.3322,-0.000300993,12.2096,0.421179
2025-05-16,40.03,28.09,3.68963,3.33541,0.00479355,11.94,0.421179
2025-05-19,39.3415,28,3.67228,3.3322,0.008891,11.3415,0.421179
2025-05-20,39.6309,27.98,3.67961,3.33149,0.0050901,11.6509,0.421179
2025-05-21,39.2318,27.47,3.66949,3.31309,-0.00904237,11.7618,0.421179
2025-05-22,39.3216,27.34,3.67177,3.30835,-0.0147489,11.9816,0.421179
2025-05-23,39.4613,27.86,3.67532,3.32719,0.00259866,11.6013,0.421179
2025-05-27,39.7207,28.19,3.68187,3.33897,0.0116142,11.5307,0.421179
2025-05-28,39.2518,27.95,3.67,3.33042,0.00806617,11.3018,0.421179
2025-05-29,39.122,27.92,3.66669,3.32934,0.00838635,11.202,0.421179
2025-05-30,37.9547,28.04,3.63639,3.33363,0.0254342,9.91467,0.421179
2025-06-02,38.8327,28.65,3.65926,3.35515,0.0373231,10.1827,0.421179
2025-06-03,38.9524,28.56,3.66234,3.35201,0.0328802,10.3924,0.421179
2025-06-04,37.6254,28.03,3.62768,3.33328,0.0287472,9.5954,0.421179
2025-06-05,37.3161,28.24,3.61942,3.34074,0.0396878,9.0761,0.421179
2025-06-06,38.3039,28.14,3.64555,3.33719,0.0251366,10.1639,0.421179
2025-06-09,38.7229,27.53,3.65643,3.31528,-0.00136189,11.1929,0.421179
2025-06-10,38.6431,27.38,3.65437,3.30981,-0.00595634,11.2631,0.421179
2025-06-11,39.2418,27.52,3.66974,3.31491,-0.00733098,11.7218,0.421179
2025-06-12,40.03,27.66,3.68963,3.31999,-0.0106328,12.37,0.421179
2025-06-13,41.39,27.64,3.72304,3.31926,-0.0254278,13.75,0.421179
