Date,CVX Raw Price,DVN Raw Price,CVX Log Price,DVN Log Price,Residual,Spread,Beta
2025-05-23,136.54,30.9422,4.91662,3.43212,0.00440684,105.598,1.0675
2025-05-27,137.83,31.1308,4.92602,3.4382,0.0004476,106.699,1.0675
2025-05-28,136.02,30.6443,4.9128,3.42245,-0.00119438,105.376,1.0675
2025-05-29,137.91,30.8925,4.9266,3.43051,-0.00785677,107.017,1.0675
2025-05-30,136.7,30.0485,4.91779,3.40281,-0.0261519,106.652,1.0675
2025-06-02,137.84,30.9223,4.92609,3.43148,-0.00635092,106.918,1.0675
2025-06-03,139.55,31.7862,4.93842,3.45903,0.00804252,107.764,1.0675
2025-06-04,137.37,31.3394,4.92268,3.44487,0.0106926,106.031,1.0675
2025-06-05,136.9,31.2003,4.91925,3.44043,0.00990538,105.7,1.0675
2025-06-06,140.21,32.0643,4.94314,3.46774,0.011715,108.146,1.0675
2025-06-09,140.76,32.4217,4.94706,3.47883,0.018623,108.338,1.0675
2025-06-10,143.35,33.236,4.96529,3.50363,0.023964,110.114,1.0675
2025-06-11,144.78,34.229,4.97522,3.53307,0.0428077,110.551,1.0675
2025-06-12,144.97,34.09,4.97653,3.529,0.0373378,110.88,1.0675
2025-06-13,145.91,35.11,4.98299,3.55849,0.0599203,110.8,1.0675
