Date,MUR Raw Price,ET Raw Price,MUR Log Price,ET Log Price,Residual,Spread,Beta
2025-02-06,25.623,19.6665,3.24349,2.97892,0.0680549,5.95653,0.380703
2025-02-07,26.1296,19.5537,3.26307,2.97316,0.0548474,6.57598,0.380703
2025-02-10,27.3085,19.7106,3.3072,2.98116,0.046044,7.59785,0.380703
2025-02-11,27.9905,19.4359,3.33186,2.96712,0.0226181,8.55454,0.380703
2025-02-12,26.9675,19.2789,3.29463,2.95901,0.0286828,7.68855,0.380703
2025-02-13,27.2013,19.4457,3.30327,2.96763,0.0340103,7.75558,0.380703
2025-02-14,27.5326,19.6125,3.31537,2.97617,0.0379429,7.92004,0.380703
2025-02-18,27.7839,19.9167,3.32446,2.99156,0.0498721,7.86722,0.380703
2025-02-19,27.981,19.7401,3.33153,2.98265,0.0382743,8.24094,0.380703
2025-02-20,27.7938,19.5635,3.32481,2.97366,0.0318441,8.23028,0.380703
2025-02-21,26.9166,19.0239,3.29274,2.94569,0.0160825,7.89272,0.380703
2025-02-24,27.3108,18.6118,3.30728,2.9238,-0.0113518,8.69902,0.380703
2025-02-25,27.2615,18.5627,3.30548,2.92116,-0.0133034,8.6988,0.380703
2025-02-26,26.542,18.7982,3.27873,2.93376,0.00948423,7.74385,0.380703
2025-02-27,26.3351,18.5824,3.2709,2.92221,0.000915948,7.75272,0.380703
2025-02-28,26.1084,18.9257,3.26226,2.94052,0.0225179,7.18264,0.380703
2025-03-03,24.1076,18.6707,3.18253,2.92695,0.0393005,5.43697,0.380703
2025-03-04,24.0781,18.1212,3.1813,2.89708,0.00989884,5.95683,0.380703
2025-03-05,23.674,17.8563,3.16438,2.88236,0.00161613,5.81764,0.380703
2025-03-06,23.812,17.3658,3.17019,2.8545,-0.0284533,6.44618,0.380703
2025-03-07,24.9947,17.1303,3.21866,2.84085,-0.06056,7.86436,0.380703
2025-03-10,25.2805,16.9341,3.23003,2.82933,-0.0764095,8.34641,0.380703
2025-03-11,24.8862,17.4933,3.21432,2.86182,-0.0379351,7.39293,0.380703
2025-03-12,24.768,18.0526,3.20955,2.89329,-0.00465329,6.71542,0.380703
2025-03-13,24.5216,17.8269,3.19955,2.88071,-0.0134258,6.69468,0.380703
2025-03-14,25.6649,18.3763,3.24512,2.91106,-0.00041974,7.28855,0.380703
2025-03-17,26.2759,18.5431,3.26865,2.9201,-0.000342465,7.73283,0.380703
2025-03-18,25.724,18.3273,3.24742,2.90839,-0.00396897,7.39674,0.380703
2025-03-19,26.7096,18.5824,3.28502,2.92221,-0.00446012,8.12724,0.380703
2025-03-20,26.4435,18.4941,3.27501,2.91745,-0.00541132,7.94943,0.380703
2025-03-21,26.3154,18.2488,3.27015,2.9041,-0.0169134,8.06658,0.380703
2025-03-24,26.8673,18.5235,3.29091,2.91904,-0.00987422,8.34381,0.380703
2025-03-25,27.3404,18.5235,3.30836,2.91904,-0.0165194,8.81689,0.380703
2025-03-26,27.9416,18.5725,3.33012,2.92168,-0.0221554,9.36905,0.380703
2025-03-27,28.0894,18.5235,3.33539,2.91904,-0.0268093,9.56594,0.380703
2025-03-28,27.9613,18.3567,3.33082,2.90999,-0.0341137,9.6046,0.380703
2025-03-31,27.9909,18.239,3.33188,2.90356,-0.0409503,9.7519,0.380703
2025-04-01,28.3358,18.3763,3.34413,2.91106,-0.0381108,9.95951,0.380703
2025-04-02,28.7892,18.5725,3.36,2.92168,-0.0335324,10.2167,0.380703
2025-04-03,25.0439,17.3952,3.22063,2.85619,-0.0459642,7.64874,0.380703
2025-04-04,21.9985,15.8548,3.09097,2.76348,-0.0893215,6.14361,0.380703
2025-04-07,21.1508,15.5703,3.05168,2.74537,-0.0924713,5.58052,0.380703
2025-04-08,19.3374,15.3545,2.96204,2.73141,-0.0723042,3.98288,0.380703
2025-04-09,22.8461,16.3552,3.12878,2.79455,-0.072643,6.49085,0.380703
2025-04-10,19.6823,15.6096,2.97972,2.74788,-0.0625587,4.07274,0.380703
2025-04-11,20.5693,16.0216,3.0238,2.77394,-0.0532847,4.54771,0.380703
2025-04-14,20.2342,16.5024,3.00738,2.8035,-0.0174667,3.73186,0.380703
2025-04-15,19.8302,16.7869,2.9872,2.8206,0.00730767,3.04324,0.380703
2025-04-16,20.2934,16.6005,3.01029,2.80943,-0.01265,3.69288,0.380703
2025-04-17,21.0621,16.9439,3.04748,2.82991,-0.00633089,4.11825,0.380703
2025-04-21,20.5299,16.2473,3.02188,2.78793,-0.0385681,4.28263,0.380703
2025-04-22,21.0819,16.6594,3.04841,2.81297,-0.0236218,4.42249,0.380703
2025-04-23,20.2934,16.7771,3.01029,2.82001,-0.00206784,3.51628,0.380703
2025-04-24,20.5299,17.2578,3.02188,2.84827,0.0217724,3.27208,0.380703
2025-04-25,20.7665,17.1205,3.03334,2.84028,0.00942022,3.64597,0.380703
2025-04-28,20.9044,16.9537,3.03996,2.83049,-0.0028909,3.95075,0.380703
2025-04-29,20.9143,16.7182,3.04043,2.8165,-0.0170566,4.19607,0.380703
2025-04-30,20.2342,16.2277,3.00738,2.78672,-0.0342536,4.00657,0.380703
2025-05-01,20.8059,16.2179,3.03524,2.78611,-0.0454646,4.58803,0.380703
2025-05-02,21.4662,16.3552,3.06648,2.79455,-0.048926,5.11102,0.380703
2025-05-05,20.3131,15.8843,3.01127,2.76533,-0.0571222,4.42881,0.380703
2025-05-06,20.6975,15.5115,3.03001,2.74158,-0.0880099,5.18602,0.380703
2025-05-07,20.6975,16.5711,3.03001,2.80766,-0.0219309,4.12641,0.380703
2025-05-08,21.072,17.042,3.04795,2.83568,-0.000735277,4.03,0.380703
2025-05-09,21.5451,17.21,3.07015,2.84549,0.000621699,4.33508,0.380703
2025-05-12,22.6489,17.44,3.12011,2.85877,-0.00512453,5.20895,0.380703
2025-05-13,22.9939,18,3.13523,2.89037,0.0207261,4.99391,0.380703
2025-05-14,22.6489,18.16,3.12011,2.89922,0.0353304,4.48895,0.380703
2025-05-15,22.235,17.97,3.10167,2.8887,0.0318351,4.265,0.380703
2025-05-16,22.08,17.95,3.09467,2.88759,0.0333847,4.13,0.380703
2025-05-19,21.62,18,3.07362,2.89037,0.0441814,3.62,0.380703
2025-05-20,21.61,18.14,3.07316,2.89812,0.0521052,3.47,0.380703
2025-05-21,20.93,17.76,3.04118,2.87695,0.0431066,3.17,0.380703
2025-05-22,21,17.88,3.04452,2.88368,0.0485695,3.12,0.380703
2025-05-23,20.89,17.85,3.03927,2.882,0.0488897,3.04,0.380703
2025-05-27,21.43,17.95,3.06479,2.88759,0.0447603,3.48,0.380703
2025-05-28,21.23,17.76,3.05542,2.87695,0.0376886,3.47,0.380703
2025-05-29,21.25,17.68,3.05636,2.87243,0.0328154,3.57,0.380703
2025-05-30,20.93,17.48,3.04118,2.86106,0.0272152,3.45,0.380703
2025-06-02,21.27,17.48,3.0573,2.86106,0.0210805,3.79,0.380703
2025-06-03,22.03,17.9,3.09241,2.8848,0.0314583,4.13,0.380703
2025-06-04,21.67,17.53,3.07593,2.86391,0.016844,4.14,0.380703
2025-06-05,21.54,17.67,3.06991,2.87187,0.0270893,3.87,0.380703
2025-06-06,22.5,17.93,3.11352,2.88648,0.0250963,4.57,0.380703
2025-06-09,23.02,17.71,3.13636,2.87413,0.004052,5.31,0.380703
2025-06-10,23.79,17.99,3.16927,2.88982,0.00721277,5.8,0.380703
2025-06-11,24.32,18.25,3.1913,2.90417,0.0131735,6.07,0.380703
2025-06-12,24.41,18.45,3.19499,2.91506,0.0226666,5.96,0.380703
2025-06-13,25.43,18.32,3.23593,2.90799,1.08031e-05,7.11,0.380703
