Date,VLO Raw Price,RRC Raw Price,VLO Log Price,RRC Log Price,Residual,Spread,Beta
2025-02-05,139.358,38.7593,4.93704,3.65737,-0.0391936,100.598,0.722691
2025-02-06,133.16,37.4554,4.89155,3.62315,-0.0405384,95.7049,0.722691
2025-02-07,131.961,37.0771,4.8825,3.613,-0.0441469,94.8834,0.722691
2025-02-10,135.659,39.5257,4.91015,3.67695,-0.000172896,96.1334,0.722691
2025-02-11,135.738,39.3864,4.91073,3.67342,-0.00412719,96.3521,0.722691
2025-02-12,129.809,38.3014,4.86606,3.64549,0.000221139,91.5073,0.722691
2025-02-13,129.888,38.6199,4.86667,3.65377,0.00806115,91.2682,0.722691
2025-02-14,134.172,38.4906,4.89912,3.65041,-0.0187445,95.6812,0.722691
2025-02-18,137.028,38.7394,4.92018,3.65686,-0.0275209,98.2881,0.722691
2025-02-19,135.996,39.7148,4.91263,3.68173,0.00280664,96.2814,0.722691
2025-02-20,137.97,39.4859,4.92703,3.67594,-0.0133852,98.4836,0.722691
2025-02-21,133.607,38.3014,4.8949,3.64549,-0.020619,95.3051,0.722691
2025-02-24,133.924,37.8137,4.89727,3.63267,-0.035149,96.1101,0.722691
2025-02-25,132.536,37.326,4.88685,3.61969,-0.0406007,95.2097,0.722691
2025-02-26,129.065,38.3711,4.86032,3.6473,0.00619096,90.694,0.722691
2025-02-27,128.54,36.2311,4.85624,3.58992,-0.0482476,92.3084,0.722691
2025-02-28,129.63,36.9477,4.86469,3.6095,-0.0347672,92.6825,0.722691
2025-03-03,127.32,36.6292,4.8467,3.60085,-0.0304286,90.6906,0.722691
2025-03-04,126.537,37.6843,4.84053,3.62924,0.00242888,88.8522,0.722691
2025-03-05,120.736,37.3558,4.7936,3.62049,0.027588,83.3799,0.722691
2025-03-06,124.94,35.2158,4.82783,3.5615,-0.0561437,89.7243,0.722691
2025-03-07,125.783,35.0566,4.83456,3.55696,-0.0655351,90.7264,0.722691
2025-03-10,125.733,36.2908,4.83416,3.59156,-0.0306486,89.4425,0.722691
2025-03-11,121.995,37.2762,4.80398,3.61836,0.0179553,84.7188,0.722691
2025-03-12,124.127,37.4255,4.8213,3.62235,0.0094323,86.7015,0.722691
2025-03-13,124.742,37.2862,4.82625,3.61862,0.00213133,87.4556,0.722691
2025-03-14,128.054,38.234,4.85245,3.64373,0.0082978,89.8196,0.722691
2025-03-17,131.832,38.8826,4.88153,3.66055,0.0041051,92.949,0.722691
2025-03-18,130.919,39.5511,4.87458,3.67759,0.02617,91.3683,0.722691
2025-03-19,132.714,40.4191,4.8882,3.6993,0.0380401,92.295,0.722691
2025-03-20,133.696,40.1797,4.89557,3.69336,0.026772,93.5161,0.722691
2025-03-21,130.404,39.7905,4.87064,3.68363,0.0350582,90.6132,0.722691
2025-03-24,130.84,40.5788,4.87398,3.70324,0.05226,90.2612,0.722691
2025-03-25,130.89,40.05,4.87435,3.69013,0.0388688,90.8396,0.722691
2025-03-26,133.388,39.7506,4.89327,3.68263,0.0177001,93.6378,0.722691
2025-03-27,132.109,38.703,4.88363,3.65592,-0.00204499,93.4063,0.722691
2025-03-28,130.374,39.1021,4.87041,3.66618,0.0177697,91.2719,0.722691
2025-03-31,130.959,39.8404,4.87488,3.68488,0.0332403,91.1186,0.722691
2025-04-01,132.615,40.1298,4.88745,3.69212,0.0313957,92.4852,0.722691
2025-04-02,132.496,40.5189,4.88655,3.70177,0.0416945,91.9771,0.722691
2025-04-03,113.329,37.9846,4.73029,3.63718,0.090035,75.344,0.722691
2025-04-04,103.809,33.375,4.64256,3.50781,0.0240659,70.4344,0.722691
2025-04-07,105.773,33.4348,4.66129,3.5096,0.0123174,72.3378,0.722691
2025-04-08,104.295,32.028,4.64723,3.46661,-0.0205045,72.2672,0.722691
2025-04-09,114.925,34.4825,4.74428,3.54045,-0.016804,80.4426,0.722691
2025-04-10,108.093,32.1777,4.68299,3.47127,-0.0416906,75.9153,0.722691
2025-04-11,109.769,33.3151,4.69838,3.50601,-0.0180702,76.4537,0.722691
2025-04-14,109.402,33.3849,4.69503,3.5081,-0.0135565,76.017,0.722691
2025-04-15,106.645,33.2652,4.66951,3.50451,0.00129385,73.3801,0.722691
2025-04-16,106.229,34.0235,4.6656,3.52705,0.0266611,72.2053,0.722691
2025-04-17,109.134,34.1033,4.69258,3.52939,0.00950431,75.0308,0.722691
2025-04-21,107.924,32.5468,4.68143,3.48268,-0.0291552,75.3776,0.722691
2025-04-22,111.514,33.2153,4.71415,3.50301,-0.0324692,78.2986,0.722691
2025-04-23,113.537,33.9736,4.73213,3.52558,-0.0228882,79.5632,0.722691
2025-04-24,112.406,33.784,4.72212,3.51999,-0.0212524,78.6224,0.722691
2025-04-25,112.912,34.712,4.72661,3.54708,0.00259911,78.2002,0.722691
2025-04-28,113.785,35.1709,4.73431,3.56022,0.0101712,78.6138,0.722691
2025-04-29,114.548,35.0213,4.741,3.55596,0.00107348,79.527,0.722691
2025-04-30,115.113,33.8539,4.74592,3.52205,-0.0363852,81.2595,0.722691
2025-05-01,113.914,34.1432,4.73544,3.53056,-0.0203023,79.7704,0.722691
2025-05-02,117.93,34.9315,4.77009,3.55339,-0.0225181,82.9981,0.722691
2025-05-05,118.336,34.9814,4.77353,3.55482,-0.0235779,83.3547,0.722691
2025-05-06,116.016,34.9514,4.75373,3.55396,-0.0101229,81.0644,0.722691
2025-05-07,115.966,35.7396,4.7533,3.57626,0.0124877,80.2266,0.722691
2025-05-08,120.706,36.6476,4.79336,3.60135,0.00862473,84.0584,0.722691
2025-05-09,121.896,37.7751,4.80317,3.63165,0.0318368,84.1208,0.722691
2025-05-12,129.392,38.9125,4.86285,3.66132,0.018372,90.4798,0.722691
2025-05-13,133.973,40.5289,4.89764,3.70201,0.0339265,93.4446,0.722691
2025-05-14,133.19,40.3293,4.89178,3.69708,0.0332286,92.8608,0.722691
2025-05-15,134.231,40.2096,4.89956,3.69411,0.024628,94.0217,0.722691
2025-05-16,134.598,40.03,4.90229,3.68963,0.0181789,94.5681,0.722691
2025-05-19,133.2,39.3415,4.89185,3.67228,0.00837718,93.8584,0.722691
2025-05-20,132.21,39.6309,4.88439,3.67961,0.0210964,92.5791,0.722691
2025-05-21,127.8,39.2318,4.85047,3.66949,0.0354922,88.5682,0.722691
2025-05-22,128.72,39.3216,4.85764,3.67177,0.0325946,89.3984,0.722691
2025-05-23,128.55,39.4613,4.85632,3.67532,0.0370958,89.0887,0.722691
2025-05-27,130.71,39.7207,4.87298,3.68187,0.0316059,90.9893,0.722691
2025-05-28,126.93,39.2518,4.84364,3.67,0.0409373,87.6782,0.722691
2025-05-29,129.16,39.122,4.86105,3.66669,0.0250407,90.038,0.722691
2025-05-30,128.97,37.9547,4.85958,3.63639,-0.00418892,91.0153,0.722691
2025-06-02,128.3,38.8327,4.85437,3.65926,0.0224452,89.4673,0.722691
2025-06-03,130.95,38.9524,4.87482,3.66234,0.0107489,91.9976,0.722691
2025-06-04,126.54,37.6254,4.84056,3.62768,0.000844668,88.9146,0.722691
2025-06-05,126.88,37.3161,4.84324,3.61942,-0.00934908,89.5639,0.722691
2025-06-06,128.35,38.3039,4.85476,3.64555,0.00845235,90.0461,0.722691
2025-06-09,128.26,38.7229,4.85406,3.65643,0.0198403,89.5371,0.722691
2025-06-10,131.93,38.6431,4.88227,3.65437,-0.00261175,93.2869,0.722691
2025-06-11,134.06,39.2418,4.89829,3.66974,0.00118685,94.8182,0.722691
2025-06-12,133.5,40.03,4.8941,3.68963,0.0240993,93.47,0.722691
2025-06-13,134.11,41.39,4.89866,3.72304,0.0542148,92.72,0.722691
