Date,EOG Raw Price,RRC Raw Price,EOG Log Price,RRC Log Price,Residual,Spread,Beta
2025-02-07,125.352,37.0771,4.83113,3.613,-0.0339608,88.2753,0.500506
2025-02-10,129.376,39.5257,4.86272,3.67695,0.0141791,89.8499,0.500506
2025-02-11,131.09,39.3864,4.87588,3.67342,0.00405883,91.7036,0.500506
2025-02-12,127.671,38.3014,4.84946,3.64549,-0.0106477,89.3698,0.500506
2025-02-13,127.85,38.6199,4.85085,3.65377,-0.00306498,89.2297,0.500506
2025-02-14,128.137,38.4906,4.8531,3.65041,-0.00754486,89.6464,0.500506
2025-02-18,129.752,38.7394,4.86563,3.65686,-0.00737025,91.0128,0.500506
2025-02-19,133.31,39.7148,4.89267,3.68173,0.00396011,93.5948,0.500506
2025-02-20,134.439,39.4859,4.90111,3.67594,-0.00604442,94.9534,0.500506
2025-02-21,131.873,38.3014,4.88184,3.64549,-0.0268537,93.5713,0.500506
2025-02-24,132.418,37.8137,4.88596,3.63267,-0.0417337,94.6041,0.500506
2025-02-25,130.129,37.326,4.86852,3.61969,-0.045988,92.8028,0.500506
2025-02-26,128.662,38.3711,4.85719,3.6473,-0.0127,90.291,0.500506
2025-02-27,129.425,36.2311,4.8631,3.58992,-0.0730467,93.1941,0.500506
2025-02-28,125.788,36.9477,4.8346,3.6095,-0.0391946,88.8407,0.500506
2025-03-03,119.447,36.6292,4.78287,3.60085,-0.0219601,82.8173,0.500506
2025-03-04,121.002,37.6843,4.79581,3.62924,-3.96436e-05,83.318,0.500506
2025-03-05,120.745,37.3558,4.79368,3.62049,-0.00772733,83.3888,0.500506
2025-03-06,121.082,35.2158,4.79646,3.5615,-0.0681159,85.8657,0.500506
2025-03-07,124.124,35.0566,4.82128,3.55696,-0.0850682,89.0671,0.500506
2025-03-10,124.748,36.2908,4.8263,3.59156,-0.0529775,88.4572,0.500506
2025-03-11,123.361,37.2762,4.81511,3.61836,-0.0205893,86.0845,0.500506
2025-03-12,123.143,37.4255,4.81334,3.62235,-0.0157068,85.7172,0.500506
2025-03-13,119.992,37.2862,4.78742,3.61862,-0.00646273,82.7054,0.500506
2025-03-14,122.796,38.234,4.81052,3.64373,0.00707821,84.5618,0.500506
2025-03-17,122.459,38.8826,4.80778,3.66055,0.0252736,83.5764,0.500506
2025-03-18,121.458,39.5511,4.79957,3.67759,0.0464275,81.907,0.500506
2025-03-19,123.807,40.4191,4.81872,3.6993,0.0585523,83.3875,0.500506
2025-03-20,123.172,40.1797,4.81359,3.69336,0.0551807,82.9928,0.500506
2025-03-21,124.035,39.7905,4.82056,3.68363,0.0419579,84.244,0.500506
2025-03-24,127.106,40.5788,4.84502,3.70324,0.0493288,86.5276,0.500506
2025-03-25,126.224,40.05,4.83806,3.69013,0.0396964,86.1745,0.500506
2025-03-26,128.008,39.7506,4.85209,3.68263,0.0251715,88.2575,0.500506
2025-03-27,125.58,38.703,4.83295,3.65592,0.00804611,86.8774,0.500506
2025-03-28,125.442,39.1021,4.83184,3.66618,0.0188584,86.3396,0.500506
2025-03-31,127.077,39.8404,4.84479,3.68488,0.0310832,87.2363,0.500506
2025-04-01,128.127,40.1298,4.85302,3.69212,0.0341996,87.9973,0.500506
2025-04-02,128.791,40.5189,4.85819,3.70177,0.0412628,88.2721,0.500506
2025-04-03,118.802,37.9846,4.77746,3.63718,0.0170803,80.8178,0.500506
2025-04-04,109.547,33.375,4.69636,3.50781,-0.0717,76.1722,0.500506
2025-04-07,108.041,33.4348,4.68251,3.5096,-0.0629785,74.6061,0.500506
2025-04-08,104.008,32.028,4.64447,3.46661,-0.0869253,71.9799,0.500506
2025-04-09,113.015,34.4825,4.72752,3.54045,-0.0546551,78.5329,0.500506
2025-04-10,103.661,32.1777,4.64113,3.47127,-0.0805914,71.4834,0.500506
2025-04-11,107.555,33.3151,4.67801,3.50601,-0.0643114,74.2403,0.500506
2025-04-14,106.664,33.3849,4.66968,3.5081,-0.0580499,73.2786,0.500506
2025-04-15,106.505,33.2652,4.66819,3.50451,-0.0608981,73.2398,0.500506
2025-04-16,108.24,34.0235,4.68435,3.52705,-0.0464463,74.2165,0.500506
2025-04-17,110.5,34.1033,4.70502,3.52939,-0.0544457,76.3967,0.500506
2025-04-21,109.11,32.5468,4.69236,3.48268,-0.094825,76.5632,0.500506
2025-04-22,111.32,33.2153,4.71241,3.50301,-0.0845298,78.1047,0.500506
2025-04-23,111.57,33.9736,4.71465,3.52558,-0.0630797,77.5964,0.500506
2025-04-24,113.46,33.784,4.73145,3.51999,-0.0770828,79.676,0.500506
2025-04-25,113.07,34.712,4.72801,3.54708,-0.0482638,78.358,0.500506
2025-04-28,114.14,35.1709,4.73743,3.56022,-0.0398424,78.9691,0.500506
2025-04-29,112.93,35.0213,4.72677,3.55596,-0.0387726,77.9087,0.500506
2025-04-30,110.33,33.8539,4.70348,3.52205,-0.0610162,76.4761,0.500506
2025-05-01,111.68,34.1432,4.71564,3.53056,-0.0585925,77.5368,0.500506
2025-05-02,110.86,34.9315,4.70827,3.55339,-0.0320807,75.9285,0.500506
2025-05-05,108.52,34.9814,4.68693,3.55482,-0.0199758,73.5386,0.500506
2025-05-06,108.72,34.9514,4.68878,3.55396,-0.0217535,73.7686,0.500506
2025-05-07,107.97,35.7396,4.68185,3.57626,0.00401279,72.2304,0.500506
2025-05-08,109.71,36.6476,4.69784,3.60135,0.0210985,73.0624,0.500506
2025-05-09,111.12,37.7751,4.71061,3.63165,0.0450083,73.3449,0.500506
2025-05-12,114.06,38.9125,4.73672,3.66132,0.0616047,75.1475,0.500506
2025-05-13,116.65,40.5289,4.75918,3.70201,0.0910655,76.1211,0.500506
2025-05-14,115.59,40.3293,4.75005,3.69708,0.0906986,75.2607,0.500506
2025-05-15,115.86,40.2096,4.75238,3.69411,0.0865575,75.6504,0.500506
2025-05-16,115.5,40.03,4.74927,3.68963,0.0836386,75.47,0.500506
2025-05-19,113.95,39.3415,4.73576,3.67228,0.0730529,74.6084,0.500506
2025-05-20,112.58,39.6309,4.72366,3.67961,0.0864347,72.9491,0.500506
2025-05-21,111.38,39.2318,4.71295,3.66949,0.0816767,72.1482,0.500506
2025-05-22,110.79,39.3216,4.70764,3.67177,0.0866213,71.4684,0.500506
2025-05-23,110.18,39.4613,4.70212,3.67532,0.0929308,70.7187,0.500506
2025-05-27,111.23,39.7207,4.7116,3.68187,0.0947361,71.5093,0.500506
2025-05-28,110.45,39.2518,4.70456,3.67,0.086382,71.1982,0.500506
2025-05-29,109.88,39.122,4.69939,3.66669,0.0856616,70.758,0.500506
2025-05-30,108.57,37.9547,4.6874,3.63639,0.061371,70.6153,0.500506
2025-06-02,111.34,38.8327,4.71259,3.65926,0.0716315,72.5073,0.500506
2025-06-03,112.82,38.9524,4.72579,3.66234,0.0681008,73.8676,0.500506
2025-06-04,110.77,37.6254,4.70746,3.62768,0.0426174,73.1446,0.500506
2025-06-05,111.03,37.3161,4.7098,3.61942,0.0331894,73.7139,0.500506
2025-06-06,114.05,38.3039,4.73664,3.64555,0.0458838,75.7461,0.500506
2025-06-09,114.33,38.7229,4.73909,3.65643,0.0555376,75.6071,0.500506
2025-06-10,117.88,38.6431,4.76967,3.65437,0.0381695,79.2369,0.500506
2025-06-11,119.92,39.2418,4.78682,3.66974,0.0449552,80.6782,0.500506
2025-06-12,120.59,40.03,4.7924,3.68963,0.0620539,80.56,0.500506
2025-06-13,125.28,41.39,4.83055,3.72304,0.0763673,83.89,0.500506
