Date,SHEL Raw Price,AR Raw Price,SHEL Log Price,AR Log Price,Residual,Spread,Beta
2025-03-12,66.6641,36.01,4.19967,3.5838,-0.0557117,30.6541,1.07899
2025-03-13,67.0203,36.37,4.205,3.59374,-0.0515135,30.6503,1.07899
2025-03-14,68.0393,37.57,4.22009,3.62621,-0.0353348,30.4693,1.07899
2025-03-17,69.3552,38.9,4.23924,3.66099,-0.0212147,30.4552,1.07899
2025-03-18,70.216,39.87,4.25158,3.68562,-0.00989365,30.346,1.07899
2025-03-19,70.7601,41.02,4.2593,3.71406,0.0102124,29.7401,1.07899
2025-03-20,71.1855,40.97,4.26529,3.71284,0.00252492,30.2155,1.07899
2025-03-21,70.2555,40.77,4.25214,3.70795,0.0118208,29.4855,1.07899
2025-03-24,70.5227,41.21,4.25593,3.71868,0.0184604,29.3127,1.07899
2025-03-25,71.2647,41.42,4.2664,3.72376,0.0122495,29.8447,1.07899
2025-03-26,72.2541,40.97,4.28019,3.71284,-0.0135509,31.2841,1.07899
2025-03-27,72.5113,39.53,4.28374,3.67706,-0.0531658,32.9813,1.07899
2025-03-28,71.9573,39.69,4.27607,3.6811,-0.0408504,32.2673,1.07899
2025-03-31,72.5014,40.44,4.28361,3.69982,-0.030259,32.0614,1.07899
2025-04-01,72.2739,40.92,4.28046,3.71162,-0.0150676,31.3539,1.07899
2025-04-02,71.9474,42,4.27593,3.73767,0.0158684,29.9474,1.07899
2025-04-03,69.0287,38.79,4.23452,3.65816,-0.018955,30.2387,1.07899
2025-04-04,63.4486,33.46,4.15023,3.51035,-0.0758165,29.9886,1.07899
2025-04-07,61.6579,34.15,4.1216,3.53076,-0.0245131,27.5079,1.07899
2025-04-08,59.1152,32.24,4.07949,3.47321,-0.0366279,26.8752,1.07899
2025-04-09,63.2112,34.89,4.14648,3.5522,-0.0299213,28.3212,1.07899
2025-04-10,59.1449,31.92,4.07999,3.46323,-0.0471447,27.2249,1.07899
2025-04-11,61.4303,33.1,4.1179,3.49953,-0.051753,28.3303,1.07899
2025-04-14,61.8755,33.23,4.12512,3.50345,-0.055625,28.6455,1.07899
2025-04-15,62.113,33.1,4.12895,3.49953,-0.0636776,29.013,1.07899
2025-04-16,63.3497,34.3,4.14867,3.53515,-0.049338,29.0497,1.07899
2025-04-17,64.349,34.42,4.16432,3.53864,-0.0627327,29.929,1.07899
2025-04-21,63.9631,32.06,4.15831,3.46761,-0.127272,31.9031,1.07899
2025-04-22,64.4776,32.83,4.16632,3.49134,-0.112182,31.6476,1.07899
2025-04-23,63.8246,34.29,4.15614,3.53485,-0.0576882,29.5346,1.07899
2025-04-24,64.3589,34.54,4.16447,3.54212,-0.0594182,29.8189,1.07899
2025-04-25,65.1603,35.33,4.17685,3.56473,-0.0501564,29.8303,1.07899
2025-04-28,65.3186,35.93,4.17928,3.58157,-0.0359343,29.3885,1.07899
2025-04-29,64.814,36.18,4.17152,3.58851,-0.0206331,28.634,1.07899
2025-04-30,63.7949,34.83,4.15567,3.55048,-0.0415609,28.9649,1.07899
2025-05-01,64.1115,34.65,4.16062,3.5453,-0.0520838,29.4615,1.07899
2025-05-02,65.932,35.76,4.18862,3.57683,-0.0507628,30.172,1.07899
2025-05-05,64.4281,35.49,4.16555,3.56925,-0.0334459,28.9381,1.07899
2025-05-06,64.4083,35.5,4.16524,3.56953,-0.0328327,28.9083,1.07899
2025-05-07,64.3589,36.71,4.16447,3.60305,0.00151283,27.6489,1.07899
2025-05-08,64.3885,37.39,4.16494,3.6214,0.0193695,26.9985,1.07899
2025-05-09,65.4472,38.71,4.18124,3.6561,0.0364683,26.7372,1.07899
2025-05-12,65.6747,39.4,4.18471,3.67377,0.0503912,26.2747,1.07899
2025-05-13,66.8917,41.04,4.20307,3.71455,0.0713621,25.8517,1.07899
2025-05-14,66.3772,40.5,4.19535,3.7013,0.0664477,25.8772,1.07899
2025-05-15,66.674,40.23,4.19982,3.69461,0.0549445,26.444,1.07899
2025-05-16,66.62,39.8,4.199,3.68387,0.0450727,26.82,1.07899
2025-05-19,66.67,39.42,4.19976,3.67427,0.0346696,27.25,1.07899
2025-05-20,66.62,39.77,4.199,3.68311,0.0443187,26.85,1.07899
2025-05-21,66.36,39.11,4.19509,3.66638,0.0318033,27.25,1.07899
2025-05-22,65.95,39.05,4.1889,3.66484,0.0369552,26.9,1.07899
2025-05-23,66.3,39.49,4.19419,3.67605,0.0424486,26.81,1.07899
2025-05-27,66.69,40.17,4.20006,3.69312,0.0531931,26.52,1.07899
2025-05-28,66.04,38.97,4.19026,3.66279,0.0334329,27.07,1.07899
2025-05-29,66.44,38.84,4.1963,3.65945,0.0235757,27.6,1.07899
2025-05-30,66.22,37.45,4.19298,3.62301,-0.00928943,28.77,1.07899
2025-06-02,67.45,38.65,4.21139,3.65455,0.00239288,28.8,1.07899
2025-06-03,67.83,38.36,4.217,3.64702,-0.0112005,29.47,1.07899
2025-06-04,67.27,37.3,4.20871,3.61899,-0.0302773,29.97,1.07899
2025-06-05,67.53,37.19,4.21257,3.61604,-0.0373931,30.34,1.07899
2025-06-06,68.02,38.65,4.2198,3.65455,-0.00668706,29.37,1.07899
2025-06-09,68.26,38.92,4.22332,3.66151,-0.00352614,29.34,1.07899
2025-06-10,70.05,38.39,4.24921,3.6478,-0.0451675,31.66,1.07899
2025-06-11,71.02,39.22,4.26296,3.66919,-0.0386161,31.8,1.07899
2025-06-12,71.44,40.04,4.26886,3.68988,-0.0242863,31.4,1.07899
2025-06-13,72.54,41.66,4.28414,3.72954,-0.00111101,30.88,1.07899
