Date,XOM Raw Price,ENB Raw Price,XOM Log Price,ENB Log Price,Residual,Spread,Beta
2025-03-11,108.164,42.3,4.68365,3.74479,-0.0466232,65.8638,-0.129555
2025-03-12,108.134,42.54,4.68337,3.75044,-0.041001,65.5941,-0.129555
2025-03-13,107.678,42.55,4.67915,3.75068,-0.0413133,65.1283,-0.129555
2025-03-14,110.879,42.83,4.70844,3.75724,-0.0309596,68.0488,-0.129555
2025-03-17,112.722,43.5,4.72492,3.77276,-0.0133018,69.2218,-0.129555
2025-03-18,112.603,43.41,4.72387,3.77069,-0.0155096,69.1929,-0.129555
2025-03-19,114.357,43.75,4.73932,3.77849,-0.00570551,70.6068,-0.129555
2025-03-20,114.842,44.23,4.74356,3.7894,0.00575504,70.6123,-0.129555
2025-03-21,114.446,43.87,4.7401,3.78123,-0.00286545,70.5759,-0.129555
2025-03-24,114.743,44.26,4.7427,3.79008,0.00632123,70.4832,-0.129555
2025-03-25,115.526,44.42,4.7495,3.79369,0.0108105,71.106,-0.129555
2025-03-26,117.191,44.52,4.7638,3.79594,0.0149128,72.6707,-0.129555
2025-03-27,116.814,44.36,4.76058,3.79234,0.0108955,72.4541,-0.129555
2025-03-28,116.656,44.46,4.75923,3.79459,0.0129713,72.1956,-0.129555
2025-03-31,117.845,44.31,4.76937,3.79121,0.0109056,73.5346,-0.129555
2025-04-01,117.954,44.57,4.77029,3.79706,0.016876,73.3836,-0.129555
2025-04-02,117.587,45.14,4.76718,3.80977,0.0291804,72.447,-0.129555
2025-04-03,111.404,45.34,4.71316,3.81419,0.0266033,66.064,-0.129555
2025-04-04,103.388,43.35,4.63849,3.76931,-0.0279543,60.0378,-0.129555
2025-04-07,102.001,41.95,4.62498,3.73648,-0.0625326,60.0506,-0.129555
2025-04-08,99.8504,41.09,4.60367,3.71576,-0.0860065,58.7604,-0.129555
2025-04-09,104.834,41.77,4.65238,3.73218,-0.0632823,63.0645,-0.129555
2025-04-10,99.018,41.82,4.5953,3.73337,-0.0694811,57.198,-0.129555
2025-04-11,102.199,43.24,4.62692,3.76677,-0.0319935,58.9587,-0.129555
2025-04-14,102.446,44.02,4.62934,3.78464,-0.0138018,58.4264,-0.129555
2025-04-15,102.159,44.28,4.62653,3.79053,-0.00827674,57.8791,-0.129555
2025-04-16,103.239,44.57,4.63705,3.79706,-0.000386341,58.6692,-0.129555
2025-04-17,105.944,45.37,4.66291,3.81485,0.0207546,60.5742,-0.129555
2025-04-21,104.389,44.99,4.64812,3.80644,0.0104274,59.3986,-0.129555
2025-04-22,107.312,45.64,4.67574,3.82078,0.0283495,61.6716,-0.129555
2025-04-23,106.39,45.61,4.66711,3.82013,0.0265747,60.7801,-0.129555
2025-04-24,107.639,46.36,4.67878,3.83644,0.0443962,61.2786,-0.129555
2025-04-25,107.579,46.19,4.67823,3.83276,0.0406509,61.3892,-0.129555
2025-04-28,107.639,46.64,4.67878,3.84246,0.0504177,60.9986,-0.129555
2025-04-29,107.371,46.64,4.67629,3.84246,0.0500953,60.7311,-0.129555
2025-04-30,104.666,46.69,4.65077,3.84353,0.047861,57.976,-0.129555
2025-05-01,104.815,46.48,4.65219,3.83902,0.0435369,58.3346,-0.129555
2025-05-02,105.241,46.86,4.65625,3.84716,0.0522048,58.3807,-0.129555
2025-05-05,102.328,46.59,4.62818,3.84139,0.0427896,55.7375,-0.129555
2025-05-06,103.754,46.16,4.64203,3.83211,0.0353113,57.5944,-0.129555
2025-05-07,103.655,46.69,4.64107,3.84353,0.0466039,56.9653,-0.129555
2025-05-08,105.102,45.78,4.65493,3.82385,0.0287168,59.322,-0.129555
2025-05-09,106.331,46.1,4.66655,3.83081,0.0371882,60.2307,-0.129555
2025-05-12,108.164,44.55,4.68365,3.79661,0.00520188,63.6138,-0.129555
2025-05-13,108.461,44.57,4.68639,3.79706,0.00600628,63.8911,-0.129555
2025-05-14,107.49,44.87,4.6774,3.80377,0.0115496,62.62,-0.129555
2025-05-15,108.58,44.92,4.68749,3.80488,0.0139704,63.66,-0.129555
2025-05-16,108.19,44.85,4.68389,3.80332,0.0119447,63.34,-0.129555
2025-05-19,106.47,44.94,4.66786,3.80533,0.0118732,61.53,-0.129555
2025-05-20,104.95,45.61,4.65348,3.82013,0.024809,59.34,-0.129555
2025-05-21,103.66,45.57,4.64112,3.81925,0.0223293,58.09,-0.129555
2025-05-22,102.97,45.17,4.63444,3.81043,0.0126476,57.8,-0.129555
2025-05-23,103.03,46.06,4.63502,3.82994,0.0322349,56.97,-0.129555
2025-05-27,103.52,46.04,4.63976,3.82951,0.0324152,57.48,-0.129555
2025-05-28,102.11,45.57,4.62605,3.81925,0.0203775,56.54,-0.129555
2025-05-29,102.69,45.85,4.63171,3.82538,0.0272369,56.84,-0.129555
2025-05-30,102.3,46.48,4.62791,3.83902,0.0403909,55.82,-0.129555
2025-06-02,103.05,47.16,4.63521,3.85355,0.0558612,55.89,-0.129555
2025-06-03,103.8,47.07,4.64247,3.85164,0.0548904,56.73,-0.129555
2025-06-04,102.3,46.66,4.62791,3.84289,0.044256,55.64,-0.129555
2025-06-05,101.83,46.87,4.6233,3.84738,0.0481499,54.96,-0.129555
2025-06-06,104.27,46.52,4.64698,3.83988,0.0437222,57.75,-0.129555
2025-06-09,104.97,45.82,4.65367,3.82472,0.0294274,59.15,-0.129555
2025-06-10,107.22,45.85,4.67488,3.82538,0.0328295,61.37,-0.129555
2025-06-11,109.31,45.87,4.69419,3.82581,0.0357667,63.44,-0.129555
2025-06-12,109.73,46.81,4.69802,3.8461,0.0565491,62.92,-0.129555
2025-06-13,112.12,46.67,4.71957,3.8431,0.0563453,65.45,-0.129555
