Date,VLO Raw Price,ET Raw Price,VLO Log Price,ET Log Price,Residual,Spread,Beta
2025-05-20,132.21,18.14,4.88439,2.89812,-0.032693,114.07,0.758524
2025-05-21,127.8,17.76,4.85047,2.87695,-0.0281307,110.04,0.758524
2025-05-22,128.72,17.88,4.85764,2.88368,-0.0268375,110.84,0.758524
2025-05-23,128.55,17.85,4.85632,2.882,-0.0275143,110.7,0.758524
2025-05-27,130.71,17.95,4.87298,2.88759,-0.0345671,112.76,0.758524
2025-05-28,126.93,17.76,4.84364,2.87695,-0.0229493,109.17,0.758524
2025-05-29,129.16,17.68,4.86105,2.87243,-0.0406746,111.48,0.758524
2025-05-30,128.97,17.48,4.85958,2.86106,-0.0509347,111.49,0.758524
2025-06-02,128.3,17.48,4.85437,2.86106,-0.0469839,110.82,0.758524
2025-06-03,130.95,17.9,4.87482,2.8848,-0.038748,113.05,0.758524
2025-06-04,126.54,17.53,4.84056,2.86391,-0.0336501,109.01,0.758524
2025-06-05,126.88,17.67,4.84324,2.87187,-0.0277309,109.21,0.758524
2025-06-06,128.35,17.93,4.85476,2.88648,-0.0218615,110.42,0.758524
2025-06-09,128.26,17.71,4.85406,2.87413,-0.0336753,110.55,0.758524
2025-06-10,131.93,17.99,4.88227,2.88982,-0.0393881,113.94,0.758524
2025-06-11,134.06,18.25,4.89829,2.90417,-0.0371876,115.81,0.758524
2025-06-12,133.5,18.45,4.8941,2.91506,-0.0231131,115.05,0.758524
2025-06-13,134.11,18.32,4.89866,2.90799,-0.0336422,115.79,0.758524
