Date,OKE Raw Price,ET Raw Price,OKE Log Price,ET Log Price,Residual,Spread,Beta
2025-03-17,97.2152,18.5431,4.57693,2.9201,-0.0197614,78.672,0.618836
2025-03-18,96.7905,18.3273,4.57255,2.90839,-0.0287608,78.4632,0.618836
2025-03-19,98.8051,18.5824,4.59315,2.92221,-0.0276864,80.2228,0.618836
2025-03-20,99.3977,18.4941,4.59913,2.91745,-0.0361497,80.9036,0.618836
2025-03-21,98.104,18.2488,4.58603,2.9041,-0.0413936,79.8552,0.618836
2025-03-24,101.027,18.5235,4.61539,2.91904,-0.0446221,82.5036,0.618836
2025-03-25,101.106,18.5235,4.61617,2.91904,-0.0451058,82.5826,0.618836
2025-03-26,100,18.5725,4.60517,2.92168,-0.0356539,81.4275,0.618836
2025-03-27,97.4522,18.5235,4.57936,2.91904,-0.022327,78.9287,0.618836
2025-03-28,97.2547,18.3567,4.57733,2.90999,-0.0301165,78.898,0.618836
2025-03-31,97.9855,18.239,4.58482,2.90356,-0.0411835,79.7465,0.618836
2025-04-01,98.262,18.3763,4.58764,2.91106,-0.0354248,79.8856,0.618836
2025-04-02,99.1211,18.5725,4.59634,2.92168,-0.0301907,80.5486,0.618836
2025-04-03,91.5466,17.3952,4.51685,2.85619,-0.0464862,74.1514,0.618836
2025-04-04,79.8539,15.8548,4.3802,2.76348,-0.0546419,63.999,0.618836
2025-04-07,79.9033,15.5703,4.38082,2.74537,-0.073133,64.3329,0.618836
2025-04-08,77.7306,15.3545,4.35325,2.73141,-0.070033,62.3762,0.618836
2025-04-09,83.8041,16.3552,4.42848,2.79455,-0.0534498,67.4489,0.618836
2025-04-10,80.2292,15.6096,4.38489,2.74788,-0.0731345,64.6196,0.618836
2025-04-11,81.5327,16.0216,4.401,2.77394,-0.0570525,65.5111,0.618836
2025-04-14,82.3425,16.5024,4.41089,2.8035,-0.0336038,65.8402,0.618836
2025-04-15,83.1128,16.7869,4.4202,2.8206,-0.0222716,66.3259,0.618836
2025-04-16,83.7449,16.6005,4.42777,2.80943,-0.0381265,67.1444,0.618836
2025-04-17,85.1571,16.9439,4.4445,2.82991,-0.0280005,68.2132,0.618836
2025-04-21,80.8019,16.2473,4.392,2.78793,-0.0374946,64.5547,0.618836
2025-04-22,83.0042,16.6594,4.41889,2.81297,-0.0290891,66.3448,0.618836
2025-04-23,83.6066,16.7771,4.42612,2.82001,-0.0265218,66.8295,0.618836
2025-04-24,85.2065,17.2578,4.44508,2.84827,-0.00999948,67.9486,0.618836
2025-04-25,85.2361,17.1205,4.44542,2.84028,-0.0182055,68.1156,0.618836
2025-04-28,86.7767,16.9537,4.46334,2.83049,-0.0390806,69.823,0.618836
2025-04-29,86.7668,16.7182,4.46322,2.8165,-0.0529964,70.0486,0.618836
2025-04-30,81.1377,16.2277,4.39615,2.78672,-0.0412692,64.91,0.618836
2025-05-01,79.923,16.2179,4.38106,2.78611,-0.0325394,63.7052,0.618836
2025-05-02,81.75,16.3552,4.40367,2.79455,-0.0380925,65.3948,0.618836
2025-05-05,80.15,15.8843,4.3839,2.76533,-0.0550776,64.2657,0.618836
2025-05-06,79.29,15.5115,4.37311,2.74158,-0.0721528,63.7785,0.618836
2025-05-07,80.25,16.5711,4.38515,2.80766,-0.0135213,63.6789,0.618836
2025-05-08,82.25,17.042,4.40976,2.83568,-0.000732,65.208,0.618836
2025-05-09,82.3,17.21,4.41037,2.84549,0.00870147,65.09,0.618836
2025-05-12,85.04,17.44,4.44312,2.85877,0.00171012,67.6,0.618836
2025-05-13,86.51,18,4.46026,2.89037,0.0227096,68.51,0.618836
2025-05-14,86.61,18.16,4.46142,2.89922,0.0308443,68.45,0.618836
2025-05-15,86.03,17.97,4.4547,2.8887,0.0244847,68.06,0.618836
2025-05-16,85.67,17.95,4.4505,2.88759,0.0259662,67.72,0.618836
2025-05-19,84.73,18,4.43947,2.89037,0.0355754,66.73,0.618836
2025-05-20,83.71,18.14,4.42736,2.89812,0.050818,65.57,0.618836
2025-05-21,81.83,17.76,4.40464,2.87695,0.0437039,64.07,0.618836
2025-05-22,81.37,17.88,4.39901,2.88368,0.0539264,63.49,0.618836
2025-05-23,81.14,17.85,4.39618,2.882,0.0539989,63.29,0.618836
2025-05-27,81.74,17.95,4.40354,2.88759,0.0550263,63.79,0.618836
2025-05-28,80.59,17.76,4.38937,2.87695,0.0531531,62.83,0.618836
2025-05-29,80.68,17.68,4.39049,2.87243,0.0479477,63,0.618836
2025-05-30,80.84,17.48,4.39247,2.86106,0.035345,63.36,0.618836
2025-06-02,82.51,17.48,4.41292,2.86106,0.0226912,65.03,0.618836
2025-06-03,83.24,17.9,4.42173,2.8848,0.0409836,65.34,0.618836
2025-06-04,80.52,17.53,4.38851,2.86391,0.0406559,62.99,0.618836
2025-06-05,81.19,17.67,4.39679,2.87187,0.0434824,63.52,0.618836
2025-06-06,81.72,17.93,4.4033,2.88648,0.0540628,63.79,0.618836
2025-06-09,81.12,17.71,4.39593,2.87413,0.0462773,63.41,0.618836
2025-06-10,81.72,17.99,4.4033,2.88982,0.0574036,63.73,0.618836
2025-06-11,82.9,18.25,4.41764,2.90417,0.0628808,64.65,0.618836
2025-06-12,82.65,18.45,4.41461,2.91506,0.0756492,64.2,0.618836
2025-06-13,83.75,18.32,4.42784,2.90799,0.0603963,65.43,0.618836
