Date,DVN Raw Price,WMB Raw Price,DVN Log Price,WMB Log Price,Residual,Spread,Beta
2025-05-23,30.9422,58.4991,3.43212,4.06901,0.0239975,27.5569,0.0195337
2025-05-27,31.1308,59.5998,3.4382,4.08765,0.0425206,28.469,0.0195337
2025-05-28,30.6443,60.1155,3.42245,4.09627,0.0514434,29.4712,0.0195337
2025-05-29,30.8925,59.7684,3.43051,4.09048,0.0454953,28.8759,0.0195337
2025-05-30,30.0485,60.0064,3.40281,4.09445,0.0500106,29.958,0.0195337
2025-06-02,30.9223,60.7601,3.43148,4.10693,0.0619324,29.8378,0.0195337
2025-06-03,31.7862,60.6014,3.45903,4.10432,0.0587793,28.8152,0.0195337
2025-06-04,31.3394,59.6197,3.44487,4.08799,0.0427229,28.2803,0.0195337
2025-06-05,31.2003,60.056,3.44043,4.09528,0.0501018,28.8557,0.0195337
2025-06-06,32.0643,60.056,3.46774,4.09528,0.0495683,27.9917,0.0195337
2025-06-09,32.4217,59.1635,3.47883,4.0803,0.0343789,26.7417,0.0195337
2025-06-10,33.236,58.4693,3.50363,4.0685,0.0220918,25.2333,0.0195337
2025-06-11,34.229,58.9255,3.53307,4.07627,0.0292884,24.6965,0.0195337
2025-06-12,34.09,59.58,3.529,4.08732,0.040414,25.49,0.0195337
2025-06-13,35.11,59.78,3.55849,4.09067,0.0431893,24.67,0.0195337
