Date,APA Raw Price,HES Raw Price,APA Log Price,HES Log Price,Residual,Spread,Beta
2025-03-28,20.5826,158.45,3.02445,5.06544,0.0994924,137.867,0.306698
2025-03-31,20.681,159.73,3.02921,5.07348,0.106076,139.049,0.306698
2025-04-01,20.7892,161.29,3.03443,5.0832,0.114194,140.501,0.306698
2025-04-02,20.8974,160.02,3.03963,5.0753,0.104696,139.123,0.306698
2025-04-03,17.4539,148.38,2.85956,4.99978,0.0843995,130.926,0.306698
2025-04-04,14.9352,133.56,2.70372,4.89455,0.0269706,118.625,0.306698
2025-04-07,14.7187,130.59,2.68912,4.87206,0.00895982,115.871,0.306698
2025-04-08,13.8037,127.51,2.62494,4.84819,0.00477656,113.706,0.306698
2025-04-09,16.4405,137.97,2.79975,4.92704,0.0300043,121.53,0.306698
2025-04-10,14.3645,127.16,2.66476,4.84545,-0.0101859,112.795,0.306698
2025-04-11,14.7974,128.5,2.69445,4.85593,-0.00880961,113.703,0.306698
2025-04-14,14.9548,127.91,2.70503,4.85133,-0.0166571,112.955,0.306698
2025-04-15,14.6498,127.21,2.68443,4.84584,-0.0158251,112.56,0.306698
2025-04-16,15.1221,127.95,2.71616,4.85164,-0.0197556,112.828,0.306698
2025-04-17,15.8502,130.64,2.76318,4.87245,-0.0133715,114.79,0.306698
2025-04-21,15.25,126.32,2.72458,4.83882,-0.03516,111.07,0.306698
2025-04-22,15.86,130.38,2.7638,4.87045,-0.015554,114.52,0.306698
2025-04-23,15.65,130.03,2.75047,4.86777,-0.014154,114.38,0.306698
2025-04-24,16.26,132.38,2.78871,4.88568,-0.00796986,116.12,0.306698
2025-04-25,16.35,132.34,2.79423,4.88537,-0.00996505,115.99,0.306698
2025-04-28,16.55,133.84,2.80639,4.89665,-0.00242324,117.29,0.306698
2025-04-29,16.24,132.54,2.78748,4.88688,-0.00638455,116.3,0.306698
2025-04-30,15.54,129.05,2.74342,4.8602,-0.0195559,113.51,0.306698
2025-05-01,16.22,129.79,2.78625,4.86592,-0.0269733,113.57,0.306698
2025-05-02,16.46,132.31,2.80093,4.88515,-0.0122482,115.85,0.306698
2025-05-05,15.5,128.8,2.74084,4.85826,-0.0207046,113.3,0.306698
2025-05-06,15.73,128.87,2.75557,4.8588,-0.0246789,113.14,0.306698
2025-05-07,15.48,129.09,2.73955,4.86051,-0.0180596,113.61,0.306698
2025-05-08,16.18,130.88,2.78378,4.87428,-0.0178529,114.7,0.306698
2025-05-09,16.72,132.37,2.81661,4.8856,-0.0166016,115.65,0.306698
2025-05-12,17.71,135.21,2.87413,4.90683,-0.0130159,117.5,0.306698
2025-05-13,18.46,135.7,2.91561,4.91045,-0.0221194,117.24,0.306698
2025-05-14,18.17,134.79,2.89977,4.90372,-0.0239916,116.62,0.306698
2025-05-15,17.76,135.07,2.87695,4.90579,-0.0149165,117.31,0.306698
2025-05-16,17.59,134.93,2.86733,4.90476,-0.0130038,117.34,0.306698
2025-05-19,17.32,132.79,2.85186,4.88877,-0.0242468,115.47,0.306698
2025-05-20,17.25,132.05,2.84781,4.88318,-0.0285929,114.8,0.306698
2025-05-21,16.71,130.16,2.81601,4.86876,-0.0332546,113.45,0.306698
2025-05-22,16.74,130.02,2.8178,4.86769,-0.0348809,113.28,0.306698
2025-05-23,16.85,131.36,2.82435,4.87794,-0.0266363,114.51,0.306698
2025-05-27,17.31,132.58,2.85128,4.88719,-0.0256522,115.27,0.306698
2025-05-28,17.18,131.07,2.84375,4.87573,-0.0347949,113.89,0.306698
2025-05-29,17.34,133.62,2.85302,4.895,-0.0183697,116.28,0.306698
2025-05-30,17.01,132.19,2.8338,4.88424,-0.0232362,115.18,0.306698
2025-06-02,17.33,133.75,2.85244,4.89597,-0.0172203,116.42,0.306698
2025-06-03,18.27,135.96,2.90526,4.91236,-0.0170321,117.69,0.306698
2025-06-04,17.92,133.45,2.88592,4.89373,-0.0297336,115.53,0.306698
2025-06-05,17.85,133.05,2.882,4.89073,-0.031535,115.2,0.306698
2025-06-06,18.5,136.13,2.91777,4.91361,-0.0196194,117.63,0.306698
2025-06-09,18.63,136.63,2.92477,4.91728,-0.0181008,118,0.306698
2025-06-10,19.28,138.66,2.95907,4.93202,-0.0138708,119.38,0.306698
2025-06-11,19.61,140.58,2.97604,4.94578,-0.00532403,120.97,0.306698
2025-06-12,19.95,141.14,2.99323,4.94975,-0.00662046,121.19,0.306698
2025-06-13,21.01,142.26,3.045,4.95766,-0.014594,121.25,0.306698
