Date,BP Raw Price,EOG Raw Price,BP Log Price,EOG Log Price,Residual,Spread,Beta
2025-02-18,34.2658,129.752,3.53415,4.86563,-0.0197518,95.4864,0.799615
2025-02-19,33.5185,133.31,3.5121,4.89267,0.0249263,99.7911,0.799615
2025-02-20,33.6253,134.439,3.51528,4.90111,0.0308219,100.814,0.799615
2025-02-21,33.3497,131.873,3.50705,4.88184,0.0181263,98.523,0.799615
2025-02-24,33.2021,132.418,3.50261,4.88596,0.0257976,99.2157,0.799615
2025-02-25,32.7003,130.129,3.48738,4.86852,0.0205389,97.4285,0.799615
2025-02-26,32.159,128.662,3.47069,4.85719,0.02255,96.5031,0.799615
2025-02-27,32.592,129.425,3.48407,4.8631,0.0177689,96.8332,0.799615
2025-02-28,32.592,125.788,3.48407,4.8346,-0.0107324,93.1965,0.799615
2025-03-03,31.3029,119.447,3.44371,4.78287,-0.0301955,88.1436,0.799615
2025-03-04,30.9388,121.002,3.43201,4.79581,-0.00789958,90.0635,0.799615
2025-03-05,31.3718,120.745,3.44591,4.79368,-0.0211441,89.3729,0.799615
2025-03-06,31.2045,121.082,3.44056,4.79646,-0.0140822,89.8771,0.799615
2025-03-07,31.5588,124.124,3.45185,4.82128,0.00170535,92.565,0.799615
2025-03-10,31.6965,124.748,3.45621,4.8263,0.00323919,93.0515,0.799615
2025-03-11,31.4702,123.361,3.44904,4.81511,-0.00221373,91.8905,0.799615
2025-03-12,31.6867,123.143,3.4559,4.81334,-0.00946446,91.456,0.799615
2025-03-13,31.854,119.992,3.46116,4.78742,-0.0395975,88.1376,0.799615
2025-03-14,32.8577,122.796,3.49219,4.81052,-0.0413029,89.9381,0.799615
2025-03-17,33.2218,122.459,3.50321,4.80778,-0.0528622,89.2371,0.799615
2025-03-18,33.6745,121.458,3.51674,4.79957,-0.0718904,87.7836,0.799615
2025-03-19,34.0583,123.807,3.52807,4.81872,-0.0618006,89.7483,0.799615
2025-03-20,34.196,123.172,3.53211,4.81359,-0.0701642,88.9764,0.799615
2025-03-21,33.9992,124.035,3.52634,4.82056,-0.058574,90.0353,0.799615
2025-03-24,33.5662,127.106,3.51352,4.84502,-0.0238608,93.5402,0.799615
2025-03-25,33.7434,126.224,3.51878,4.83806,-0.0350321,92.4811,0.799615
2025-03-26,33.8713,128.008,3.52257,4.85209,-0.0240257,94.1368,0.799615
2025-03-27,33.8615,125.58,3.52228,4.83295,-0.0429413,91.7189,0.799615
2025-03-28,33.3202,125.442,3.50616,4.83184,-0.0311626,92.1214,0.799615
2025-03-31,33.2513,127.077,3.50409,4.84479,-0.0165577,93.8253,0.799615
2025-04-01,33.271,128.127,3.50469,4.85302,-0.0087992,94.856,0.799615
2025-04-02,33.271,128.791,3.50469,4.85819,-0.00363081,95.52,0.799615
2025-04-03,30.8404,118.802,3.42883,4.77746,-0.0236998,87.962,0.799615
2025-04-04,27.9276,109.547,3.32961,4.69636,-0.0254763,81.6196,0.799615
2025-04-07,26.7369,108.041,3.28604,4.68251,-0.00448088,81.3041,0.799615
2025-04-08,25.6938,104.008,3.24625,4.64447,-0.0107039,78.3141,0.799615
2025-04-09,27.4552,113.015,3.31256,4.72752,0.0193326,85.5602,0.799615
2025-04-10,25.8119,103.661,3.25083,4.64113,-0.0177106,77.8492,0.799615
2025-04-11,26.1661,107.555,3.26447,4.67801,0.00826904,81.3893,0.799615
2025-04-14,26.481,106.664,3.27643,4.66968,-0.009623,80.1825,0.799615
2025-04-15,26.7762,106.505,3.28751,4.66819,-0.0199755,79.7288,0.799615
2025-04-16,27.2191,108.24,3.30392,4.68435,-0.0169324,81.0209,0.799615
2025-04-17,27.8685,110.5,3.3275,4.70502,-0.0151235,82.6315,0.799615
2025-04-21,27.6324,109.11,3.31899,4.69236,-0.0209772,81.4776,0.799615
2025-04-22,28.4098,111.32,3.34673,4.71241,-0.0231105,82.9102,0.799615
2025-04-23,28.1441,111.57,3.33734,4.71465,-0.0133538,83.4259,0.799615
2025-04-24,28.5377,113.46,3.35123,4.73145,-0.00766162,84.9223,0.799615
2025-04-25,28.7247,113.07,3.35776,4.72801,-0.0163267,84.3453,0.799615
2025-04-28,28.6656,114.14,3.3557,4.73743,-0.00526262,85.4744,0.799615
2025-04-29,27.6225,112.93,3.31863,4.72677,0.0137192,85.3075,0.799615
2025-04-30,27.0222,110.33,3.29666,4.70348,0.00799533,83.3078,0.799615
2025-05-01,27.4355,111.68,3.31184,4.71564,0.00801955,84.2445,0.799615
2025-05-02,27.6717,110.86,3.32041,4.70827,-0.00620388,83.1883,0.799615
2025-05-05,28.7148,108.52,3.35741,4.68693,-0.0571253,79.8052,0.799615
2025-05-06,27.9473,108.72,3.33032,4.68878,-0.0336189,80.7727,0.799615
2025-05-07,27.6816,107.97,3.32077,4.68185,-0.0329028,80.2884,0.799615
2025-05-08,28.1342,109.71,3.33699,4.69784,-0.0298859,81.5758,0.799615
2025-05-09,29.2954,111.12,3.37743,4.71061,-0.0494554,81.8246,0.799615
2025-05-12,29.7087,114.06,3.39144,4.73672,-0.0345438,84.3513,0.799615
2025-05-13,30.0728,116.65,3.40362,4.75918,-0.0218307,86.5772,0.799615
2025-05-14,29.876,115.59,3.39706,4.75005,-0.025709,85.714,0.799615
2025-05-15,29.63,115.86,3.38879,4.75238,-0.0167642,86.23,0.799615
2025-05-16,29.76,115.5,3.39317,4.74927,-0.0233768,85.74,0.799615
2025-05-19,29.4,113.95,3.38099,4.73576,-0.0271558,84.55,0.799615
2025-05-20,29.2,112.58,3.37417,4.72366,-0.0337934,83.38,0.799615
2025-05-21,28.88,111.38,3.36315,4.71295,-0.0356984,82.5,0.799615
2025-05-22,28.94,110.79,3.36522,4.70764,-0.0426692,81.85,0.799615
2025-05-23,29.09,110.18,3.37039,4.70212,-0.0523241,81.09,0.799615
2025-05-27,29.15,111.23,3.37245,4.7116,-0.0444869,82.08,0.799615
2025-05-28,28.94,110.45,3.36522,4.70456,-0.0457428,81.51,0.799615
2025-05-29,29.17,109.88,3.37314,4.69939,-0.0572466,80.71,0.799615
2025-05-30,29.1,108.57,3.37074,4.6874,-0.0673192,79.47,0.799615
2025-06-02,29.58,111.34,3.3871,4.71259,-0.0552077,81.76,0.799615
2025-06-03,29.56,112.82,3.38642,4.72579,-0.0414618,83.26,0.799615
2025-06-04,28.92,110.77,3.36453,4.70746,-0.0422969,81.85,0.799615
2025-06-05,29.05,111.03,3.36902,4.7098,-0.0435388,81.98,0.799615
2025-06-06,29.29,114.05,3.37725,4.73664,-0.0232813,84.76,0.799615
2025-06-09,29.46,114.33,3.38303,4.73909,-0.0254567,84.87,0.799615
2025-06-10,30.23,117.88,3.40883,4.76967,-0.0155098,87.65,0.799615
2025-06-11,30.81,119.92,3.42784,4.78682,-0.0135484,89.11,0.799615
2025-06-12,30.92,120.59,3.4314,4.7924,-0.0108267,89.67,0.799615
2025-06-13,31.72,125.28,3.45695,4.83055,0.00690271,93.56,0.799615
