Date,OXY Raw Price,HES Raw Price,OXY Log Price,HES Log Price,Residual,Spread,Beta
2025-03-25,48.738,158.29,3.88646,5.06443,0.0741617,109.552,0.546026
2025-03-26,49.4739,160.52,3.90144,5.07842,0.0799687,111.046,0.546026
2025-03-27,49.2352,159.07,3.89661,5.06934,0.0735351,109.835,0.546026
2025-03-28,48.559,158.45,3.88278,5.06544,0.0771811,109.891,0.546026
2025-03-31,49.086,159.73,3.89357,5.07348,0.0793323,110.644,0.546026
2025-04-01,48.917,161.29,3.89012,5.0832,0.0909352,112.373,0.546026
2025-04-02,49.0562,160.02,3.89297,5.0753,0.0814782,110.964,0.546026
2025-04-03,43.6563,148.38,3.77635,4.99978,0.0696324,104.724,0.546026
2025-04-04,40.315,133.56,3.69672,4.89455,0.00788406,93.245,0.546026
2025-04-07,38.5349,130.59,3.65156,4.87206,0.0100536,92.0551,0.546026
2025-04-08,35.9096,127.51,3.581,4.84819,0.0247138,91.6004,0.546026
2025-04-09,40.0067,137.97,3.68905,4.92704,0.0445609,97.9633,0.546026
2025-04-10,36.2676,127.16,3.59092,4.84545,0.0165485,90.8924,0.546026
2025-04-11,37.4609,128.5,3.6233,4.85593,0.00935421,91.0391,0.546026
2025-04-14,37.6896,127.91,3.62939,4.85133,0.00142848,90.2204,0.546026
2025-04-15,37.5902,127.21,3.62674,4.84584,-0.00261651,89.6198,0.546026
2025-04-16,38.2366,127.95,3.64379,4.85164,-0.00612581,89.7134,0.546026
2025-04-17,39.4896,130.64,3.67604,4.87245,-0.00292609,91.1504,0.546026
2025-04-21,38.8034,126.32,3.65851,4.83882,-0.0269821,87.5166,0.546026
2025-04-22,39.7481,130.38,3.68256,4.87045,-0.00848172,90.6319,0.546026
2025-04-23,39.6089,130.03,3.67905,4.86777,-0.00925398,90.4211,0.546026
2025-04-24,40.1459,132.38,3.69252,4.88568,0.00130443,92.2341,0.546026
2025-04-25,40.136,132.34,3.69227,4.88537,0.00113739,92.204,0.546026
2025-04-28,40.2851,133.84,3.69598,4.89665,0.0103826,93.5548,0.546026
2025-04-29,40.126,132.54,3.69203,4.88688,0.00278284,92.414,0.546026
2025-04-30,39.1913,129.05,3.66845,4.8602,-0.0110309,89.8587,0.546026
2025-05-01,40.2155,129.79,3.69425,4.86592,-0.0194004,89.5745,0.546026
2025-05-02,40.3846,132.31,3.69845,4.88515,-0.0024611,91.9254,0.546026
2025-05-05,38.5946,128.8,3.65311,4.85826,-0.00459306,90.2054,0.546026
2025-05-06,39.062,128.87,3.66515,4.8588,-0.0106226,89.808,0.546026
2025-05-07,38.7935,129.09,3.65825,4.86051,-0.00515067,90.2965,0.546026
2025-05-08,41.21,130.88,3.71868,4.87428,-0.0243751,89.67,0.546026
2025-05-09,41.926,132.37,3.73591,4.8856,-0.0224605,90.444,0.546026
2025-05-12,43.6166,135.21,3.77544,4.90683,-0.0228172,91.5934,0.546026
2025-05-13,44.1436,135.7,3.78745,4.91045,-0.0257584,91.5564,0.546026
2025-05-14,43.5768,134.79,3.77452,4.90372,-0.0254302,91.2132,0.546026
2025-05-15,43.1293,135.07,3.7642,4.90579,-0.0177187,91.9407,0.546026
2025-05-16,42.8011,134.93,3.75656,4.90476,-0.0145852,92.1289,0.546026
2025-05-19,42.0752,132.79,3.73946,4.88877,-0.0212319,90.7148,0.546026
2025-05-20,41.6674,132.05,3.72972,4.88318,-0.0215031,90.3826,0.546026
2025-05-21,40.9017,130.16,3.71117,4.86876,-0.0257916,89.2583,0.546026
2025-05-22,40.852,130.02,3.70996,4.86769,-0.0262036,89.168,0.546026
2025-05-23,41.0608,131.36,3.71505,4.87794,-0.0187344,90.2992,0.546026
2025-05-27,41.389,132.58,3.72301,4.88719,-0.0138364,91.191,0.546026
2025-05-28,40.8918,131.07,3.71093,4.87573,-0.0186917,90.1782,0.546026
2025-05-29,41.2299,133.62,3.71916,4.895,-0.00391958,92.3901,0.546026
2025-05-30,40.5536,132.19,3.70263,4.88424,-0.00564935,91.6364,0.546026
2025-06-02,41.21,133.75,3.71868,4.89597,-0.00268363,92.54,0.546026
2025-06-03,42.453,135.96,3.7484,4.91236,-0.00252209,93.507,0.546026
2025-06-04,41.6774,133.45,3.72996,4.89373,-0.0110872,91.7726,0.546026
2025-06-05,41.5879,133.05,3.72781,4.89073,-0.0129152,91.4621,0.546026
2025-06-06,42.3039,136.13,3.74488,4.91361,0.000649372,93.8261,0.546026
2025-06-09,43,136.63,3.7612,4.91728,-0.00459617,93.63,0.546026
2025-06-10,43.91,138.66,3.78214,4.93202,-0.00128268,94.75,0.546026
2025-06-11,44.84,140.58,3.8031,4.94578,0.00102524,95.74,0.546026
2025-06-12,44.76,141.14,3.80131,4.94975,0.00597588,96.38,0.546026
2025-06-13,46.45,142.26,3.83838,4.95766,-0.0063567,95.81,0.546026
