Date,HES Raw Price,RRC Raw Price,HES Log Price,RRC Log Price,Residual,Spread,Beta
2025-02-27,146.414,36.2311,4.98644,3.58992,-0.06121,110.183,0.604685
2025-02-28,148.437,36.9477,5.00016,3.6095,-0.0499213,111.49,0.604685
2025-03-03,143.604,36.6292,4.96706,3.60085,-0.038561,106.974,0.604685
2025-03-04,141.909,37.6843,4.95519,3.62924,-0.00298714,104.225,0.604685
2025-03-05,140.863,37.3558,4.94779,3.62049,-0.0072661,103.507,0.604685
2025-03-06,142.856,35.2158,4.96184,3.5615,-0.0747565,107.64,0.604685
2025-03-07,146.932,35.0566,4.98997,3.55696,-0.0963013,111.876,0.604685
2025-03-10,147.74,36.2908,4.99545,3.59156,-0.0650128,111.449,0.604685
2025-03-11,144.122,37.2762,4.97066,3.61836,-0.0232304,106.846,0.604685
2025-03-12,143.544,37.4255,4.96664,3.62235,-0.016803,106.118,0.604685
2025-03-13,143.434,37.2862,4.96588,3.61862,-0.0200713,106.148,0.604685
2025-03-14,147.63,38.234,4.99471,3.64373,-0.0124023,109.396,0.604685
2025-03-17,150.45,38.8826,5.01363,3.66055,-0.00702373,111.567,0.604685
2025-03-18,152.82,39.5511,5.02926,3.67759,0.000571575,113.269,0.604685
2025-03-19,156.38,40.4191,5.05229,3.6993,0.00835697,115.961,0.604685
2025-03-20,157.37,40.1797,5.0586,3.69336,-0.00140107,117.19,0.604685
2025-03-21,156.58,39.7905,5.05357,3.68363,-0.00808977,116.789,0.604685
2025-03-24,157.35,40.5788,5.05847,3.70324,0.00855956,116.771,0.604685
2025-03-25,158.29,40.05,5.06443,3.69013,-0.00815931,118.24,0.604685
2025-03-26,160.52,39.7506,5.07842,3.68263,-0.0241206,120.769,0.604685
2025-03-27,159.07,38.703,5.06934,3.65592,-0.0453425,120.367,0.604685
2025-03-28,158.45,39.1021,5.06544,3.66618,-0.032722,119.348,0.604685
2025-03-31,159.73,39.8404,5.07348,3.68488,-0.0188808,119.89,0.604685
2025-04-01,161.29,40.1298,5.0832,3.69212,-0.0175213,121.16,0.604685
2025-04-02,160.02,40.5189,5.0753,3.70177,-0.00309122,119.501,0.604685
2025-04-03,148.38,37.9846,4.99978,3.63718,-0.0220119,110.395,0.604685
2025-04-04,133.56,33.375,4.89455,3.50781,-0.0877582,100.185,0.604685
2025-04-07,130.59,33.4348,4.87206,3.5096,-0.0723679,97.1552,0.604685
2025-04-08,127.51,32.028,4.84819,3.46661,-0.100923,95.482,0.604685
2025-04-09,137.97,34.4825,4.92704,3.54045,-0.0747564,103.488,0.604685
2025-04-10,127.16,32.1777,4.84545,3.47127,-0.0945991,94.9823,0.604685
2025-04-11,128.5,33.3151,4.85593,3.50601,-0.0661994,95.1849,0.604685
2025-04-14,127.91,33.3849,4.85133,3.5081,-0.0613225,94.5251,0.604685
2025-04-15,127.21,33.2652,4.84584,3.50451,-0.061597,93.9448,0.604685
2025-04-16,127.95,34.0235,4.85164,3.52705,-0.0425649,93.9265,0.604685
2025-04-17,130.64,34.1033,4.87245,3.52939,-0.0528025,96.5367,0.604685
2025-04-21,126.32,32.5468,4.83882,3.48268,-0.0791839,93.7732,0.604685
2025-04-22,130.38,33.2153,4.87045,3.50301,-0.0779816,97.1647,0.604685
2025-04-23,130.03,33.9736,4.86777,3.52558,-0.0537832,96.0564,0.604685
2025-04-24,132.38,33.784,4.88568,3.51999,-0.0702095,98.596,0.604685
2025-04-25,132.34,34.712,4.88537,3.54708,-0.0429311,97.628,0.604685
2025-04-28,133.84,35.1709,4.89665,3.56022,-0.0366108,98.6691,0.604685
2025-04-29,132.54,35.0213,4.88688,3.55596,-0.0349732,97.5187,0.604685
2025-04-30,129.05,33.8539,4.8602,3.52205,-0.052739,95.1961,0.604685
2025-05-01,129.79,34.1432,4.86592,3.53056,-0.0476856,95.6468,0.604685
2025-05-02,132.31,34.9315,4.88515,3.55339,-0.0364903,97.3785,0.604685
2025-05-05,128.8,34.9814,4.85826,3.55482,-0.018805,93.8186,0.604685
2025-05-06,128.87,34.9514,4.8588,3.55396,-0.0199897,93.9186,0.604685
2025-05-07,129.09,35.7396,4.86051,3.57626,0.00128052,93.3503,0.604685
2025-05-08,130.88,36.6476,4.87428,3.60135,0.0180407,94.2324,0.604685
2025-05-09,132.37,37.7751,4.8856,3.63165,0.041497,94.5949,0.604685
2025-05-12,135.21,38.9125,4.90683,3.66132,0.0583272,96.2975,0.604685
2025-05-13,135.7,40.5289,4.91045,3.70201,0.0968386,95.1711,0.604685
2025-05-14,134.79,40.3293,4.90372,3.69708,0.0959715,94.4607,0.604685
2025-05-15,135.07,40.2096,4.90579,3.69411,0.0917433,94.8604,0.604685
2025-05-16,134.93,40.03,4.90476,3.68963,0.087894,94.9,0.604685
2025-05-19,132.79,39.3415,4.88877,3.67228,0.0802132,93.4484,0.604685
2025-05-20,132.05,39.6309,4.88318,3.67961,0.0909202,92.4191,0.604685
2025-05-21,130.16,39.2318,4.86876,3.66949,0.0895159,90.9282,0.604685
2025-05-22,130.02,39.3216,4.86769,3.67177,0.0924529,90.6984,0.604685
2025-05-23,131.36,39.4613,4.87794,3.67532,0.089799,91.8987,0.604685
2025-05-27,132.58,39.7207,4.88719,3.68187,0.0907614,92.8593,0.604685
2025-05-28,131.07,39.2518,4.87573,3.67,0.0858116,91.8183,0.604685
2025-05-29,133.62,39.122,4.895,3.66669,0.0708502,94.498,0.604685
2025-05-30,132.19,37.9547,4.88424,3.63639,0.0470629,94.2353,0.604685
2025-06-02,133.75,38.8327,4.89597,3.65926,0.0628387,94.9173,0.604685
2025-06-03,135.96,38.9524,4.91236,3.66234,0.0560074,97.0076,0.604685
2025-06-04,133.45,37.6254,4.89373,3.62768,0.0326135,95.8246,0.604685
2025-06-05,133.05,37.3161,4.89073,3.61942,0.0261741,95.7339,0.604685
2025-06-06,136.13,38.3039,4.91361,3.64555,0.038462,97.8261,0.604685
2025-06-09,136.63,38.7229,4.91728,3.65643,0.047126,97.9071,0.604685
2025-06-10,138.66,38.6431,4.93202,3.65437,0.0361444,100.017,0.604685
2025-06-11,140.58,39.2418,4.94578,3.66974,0.0432021,101.338,0.604685
2025-06-12,141.14,40.03,4.94975,3.68963,0.0606854,101.11,0.604685
2025-06-13,142.26,41.39,4.95766,3.72304,0.0893161,100.87,0.604685
