Date,FANG Raw Price,ENB Raw Price,FANG Log Price,ENB Log Price,Residual,Spread,Beta
2025-04-11,128.119,43.24,4.85296,3.76677,-0.0350889,84.8792,-0.0652687
2025-04-14,126.759,44.02,4.84228,3.78464,-0.0179076,82.7386,-0.0652687
2025-04-15,126.262,44.28,4.83836,3.79053,-0.0122748,81.9821,-0.0652687
2025-04-16,129.321,44.57,4.8623,3.79706,-0.00418459,84.7508,-0.0652687
2025-04-17,136.69,45.37,4.91771,3.81485,0.0172224,91.3196,-0.0652687
2025-04-21,131.436,44.99,4.87852,3.80644,0.00625367,86.4461,-0.0652687
2025-04-22,135.597,45.64,4.90969,3.82078,0.0226322,89.9572,-0.0652687
2025-04-23,134.604,45.61,4.90234,3.82013,0.0214949,88.9941,-0.0652687
2025-04-24,135.22,46.36,4.9069,3.83644,0.0381028,88.8598,-0.0652687
2025-04-25,135.816,46.19,4.9113,3.83276,0.034716,89.6256,-0.0652687
2025-04-28,136.868,46.64,4.91902,3.84246,0.0449152,90.2283,-0.0652687
2025-04-29,135.706,46.64,4.91049,3.84246,0.0443587,89.0664,-0.0652687
2025-04-30,131.098,46.69,4.87595,3.84353,0.0431755,84.4085,-0.0652687
2025-05-01,133.899,46.48,4.89709,3.83902,0.0400472,87.419,-0.0652687
2025-05-02,135.865,46.86,4.91166,3.84716,0.049141,89.0053,-0.0652687
2025-05-05,132.161,46.59,4.88402,3.84139,0.0415583,85.5711,-0.0652687
2025-05-06,131.069,46.16,4.87572,3.83211,0.0317443,84.9086,-0.0652687
2025-05-07,128.675,46.69,4.85729,3.84353,0.0419578,81.9853,-0.0652687
2025-05-08,135.24,45.78,4.90705,3.82385,0.0255226,89.4597,-0.0652687
2025-05-09,136.938,46.1,4.91953,3.83081,0.0333027,90.8379,-0.0652687
2025-05-12,141.933,44.55,4.95536,3.79661,0.00144045,97.3831,-0.0652687
2025-05-13,145.161,44.57,4.97784,3.79706,0.00335688,100.591,-0.0652687
2025-05-14,143.82,44.87,4.96856,3.80377,0.00945969,98.95,-0.0652687
2025-05-15,141.95,44.92,4.95547,3.80488,0.00971916,97.03,-0.0652687
2025-05-16,141.13,44.85,4.94968,3.80332,0.0077815,96.28,-0.0652687
2025-05-19,139.35,44.94,4.93699,3.80533,0.00895775,94.41,-0.0652687
2025-05-20,138.35,45.61,4.92979,3.82013,0.0232864,92.74,-0.0652687
2025-05-21,136.31,45.57,4.91493,3.81925,0.0214395,90.74,-0.0652687
2025-05-22,136.29,45.17,4.91478,3.81043,0.0126134,91.12,-0.0652687
2025-05-23,135.86,46.06,4.91162,3.82994,0.031919,89.8,-0.0652687
2025-05-27,137.49,46.04,4.92355,3.82951,0.0322631,91.45,-0.0652687
2025-05-28,136.28,45.57,4.91471,3.81925,0.0214251,90.71,-0.0652687
2025-05-29,137.81,45.85,4.92588,3.82538,0.0282794,91.96,-0.0652687
2025-05-30,134.55,46.48,4.90194,3.83902,0.0403638,88.07,-0.0652687
2025-06-02,137.59,47.16,4.92428,3.85355,0.056346,90.43,-0.0652687
2025-06-03,142.28,47.07,4.9578,3.85164,0.0566235,95.21,-0.0652687
2025-06-04,139.35,46.66,4.93699,3.84289,0.0465168,92.69,-0.0652687
2025-06-05,137.45,46.87,4.92326,3.84738,0.0501113,90.58,-0.0652687
2025-06-06,140.56,46.52,4.94563,3.83988,0.0440761,94.04,-0.0652687
2025-06-09,142.13,45.82,4.95674,3.82472,0.0296395,96.31,-0.0652687
2025-06-10,145.57,45.85,4.98066,3.82538,0.0318549,99.72,-0.0652687
2025-06-11,148.92,45.87,5.00341,3.82581,0.033776,103.05,-0.0652687
2025-06-12,149.33,46.81,5.00616,3.8461,0.054241,102.52,-0.0652687
2025-06-13,154.91,46.67,5.04284,3.8431,0.0536401,108.24,-0.0652687
