Date,PSX Raw Price,KMI Raw Price,PSX Log Price,KMI Log Price,Residual,Spread,Beta
2025-04-07,95.6681,25.0968,4.56089,3.22274,-0.0563859,70.5713,0.130617
2025-04-08,91.9836,24.9385,4.52161,3.21641,-0.0575826,67.0451,0.130617
2025-04-09,102.146,25.9673,4.6264,3.25684,-0.0308447,76.1784,0.130617
2025-04-10,96.0643,25.5123,4.56502,3.23916,-0.0405062,70.552,0.130617
2025-04-11,96.4506,26.185,4.56903,3.26519,-0.0150053,70.2656,0.130617
2025-04-14,96.8864,26.5114,4.57354,3.27758,-0.00320424,70.375,0.130617
2025-04-15,95.2917,26.9269,4.55694,3.29313,0.0145136,68.3649,0.130617
2025-04-16,95.6483,26.6598,4.56068,3.28316,0.00405708,68.9885,0.130617
2025-04-17,98.1542,26.8082,4.58654,3.28871,0.00622956,71.346,0.130617
2025-04-21,96.0841,25.5123,4.56522,3.23916,-0.0405332,70.5718,0.130617
2025-04-22,99.937,26.3136,4.60454,3.27008,-0.0147441,73.6234,0.130617
2025-04-23,101.799,26.3136,4.623,3.27008,-0.0171554,75.4855,0.130617
2025-04-24,103.691,26.5807,4.64141,3.28018,-0.00946119,77.1101,0.130617
2025-04-25,102.978,26.5609,4.63451,3.27944,-0.00930439,76.4168,0.130617
2025-04-28,104.77,26.7785,4.65177,3.2876,-0.00339846,77.9919,0.130617
2025-04-29,104.988,26.917,4.65385,3.29276,0.00148855,78.0713,0.130617
2025-04-30,103.067,26.3,4.63538,3.26957,-0.0192878,76.7668,0.130617
2025-05-01,102.473,26.3,4.62959,3.26957,-0.0185325,76.1726,0.130617
2025-05-02,106.127,26.83,4.66464,3.28952,-0.00315821,79.2973,0.130617
2025-05-05,105.88,26.87,4.6623,3.29101,-0.00136331,79.0097,0.130617
2025-05-06,104.384,27.21,4.64808,3.30358,0.0130689,77.1741,0.130617
2025-05-07,104.543,27.62,4.64959,3.31854,0.0278264,76.9226,0.130617
2025-05-08,108.148,27.04,4.6835,3.29732,0.00217501,81.1079,0.130617
2025-05-09,109.861,27.31,4.69922,3.30725,0.0100574,82.5514,0.130617
2025-05-12,117.547,27.31,4.76684,3.30725,0.00122486,90.2373,0.130617
2025-05-13,124.372,27.5,4.82327,3.31419,0.000786899,96.8715,0.130617
2025-05-14,123.51,27.46,4.81632,3.31273,0.000239384,96.0498,0.130617
2025-05-15,123.579,28,4.81688,3.3322,0.0196402,95.5792,0.130617
2025-05-16,124.53,28.09,4.82455,3.33541,0.0218482,96.44,0.130617
2025-05-19,122.18,28,4.8055,3.3322,0.0211275,94.18,0.130617
2025-05-20,120.9,27.98,4.79496,3.33149,0.0217885,92.92,0.130617
2025-05-21,111.78,27.47,4.71653,3.31309,0.0136375,84.31,0.130617
2025-05-22,112.98,27.34,4.72721,3.30835,0.00749911,85.64,0.130617
2025-05-23,113.13,27.86,4.72854,3.32719,0.026167,85.27,0.130617
2025-05-27,114.33,28.19,4.73909,3.33897,0.0365641,86.14,0.130617
2025-05-28,112.77,27.95,4.72535,3.33042,0.0298085,84.82,0.130617
2025-05-29,114.68,27.92,4.74215,3.32934,0.0265408,86.76,0.130617
2025-05-30,113.48,28.04,4.73163,3.33363,0.0322036,85.44,0.130617
2025-06-02,114.28,28.65,4.73865,3.35515,0.0528074,85.63,0.130617
2025-06-03,115.97,28.56,4.75333,3.35201,0.0477436,87.41,0.130617
2025-06-04,112.48,28.03,4.72278,3.33328,0.033003,84.45,0.130617
2025-06-05,112.23,28.24,4.72055,3.34074,0.0407576,83.99,0.130617
2025-06-06,114.29,28.14,4.73874,3.33719,0.0348345,86.15,0.130617
2025-06-09,116.1,27.53,4.75445,3.31528,0.0108665,88.57,0.130617
2025-06-10,118.7,27.38,4.7766,3.30981,0.0025101,91.32,0.130617
2025-06-11,120.95,27.52,4.79538,3.31491,0.00515762,93.43,0.130617
2025-06-12,121.52,27.66,4.80008,3.31999,0.0096178,93.86,0.130617
2025-06-13,122.15,27.64,4.80525,3.31926,0.00821904,94.51,0.130617
