Date,MTDR Raw Price,ENB Raw Price,MTDR Log Price,ENB Log Price,Residual,Spread,Beta
2025-04-08,36.401,41.09,3.5946,3.71576,-0.092841,4.68899,-0.0559855
2025-04-09,42.1882,41.77,3.74214,3.73218,-0.068167,0.418247,-0.0559855
2025-04-10,37.5624,41.82,3.626,3.73337,-0.0734727,4.25757,-0.0559855
2025-04-11,39.1209,43.24,3.66666,3.76677,-0.0378054,4.11909,-0.0559855
2025-04-14,38.9422,44.02,3.66208,3.78464,-0.0201836,5.07777,-0.0559855
2025-04-15,38.6643,44.28,3.65492,3.79053,-0.0146956,5.61571,-0.0559855
2025-04-16,39.8356,44.57,3.68476,3.79706,-0.00649683,4.73437,-0.0559855
2025-04-17,41.1658,45.37,3.71761,3.81485,0.0131322,4.2042,-0.0559855
2025-04-21,39.7364,44.99,3.68227,3.80644,0.00274278,5.25364,-0.0559855
2025-04-22,40.7191,45.64,3.7067,3.82078,0.0184548,4.92089,-0.0559855
2025-04-23,40.5404,45.61,3.7023,3.82013,0.0175511,5.06958,-0.0559855
2025-04-24,40.4511,46.36,3.70009,3.83644,0.0337376,5.90892,-0.0559855
2025-04-25,40.7687,46.19,3.70792,3.83276,0.0305018,5.42126,-0.0559855
2025-04-28,41.2353,46.64,3.71929,3.84246,0.040834,5.40471,-0.0559855
2025-04-29,40.7191,46.64,3.7067,3.84246,0.0401288,5.92089,-0.0559855
2025-04-30,39.25,46.69,3.66995,3.84353,0.039143,7.44004,-0.0559855
2025-05-01,40.193,46.48,3.69369,3.83902,0.0359643,6.28701,-0.0559855
2025-05-02,40.7886,46.86,3.7084,3.84716,0.0449302,6.07141,-0.0559855
2025-05-05,39.3592,46.59,3.67273,3.84139,0.0371544,7.23085,-0.0559855
2025-05-06,40.0342,46.16,3.68973,3.83211,0.0288341,6.12583,-0.0559855
2025-05-07,39.7463,46.69,3.68252,3.84353,0.0398465,6.94371,-0.0559855
2025-05-08,42.357,45.78,3.74613,3.82385,0.0237254,3.423,-0.0559855
2025-05-09,42.75,46.1,3.75537,3.83081,0.0312081,3.35,-0.0559855
2025-05-12,44.69,44.55,3.79975,3.79661,-0.000508018,0.139999,-0.0559855
2025-05-13,46.36,44.57,3.83644,3.79706,0.00199478,1.79,-0.0559855
2025-05-14,45.89,44.87,3.82625,3.80377,0.00813272,1.02,-0.0559855
2025-05-15,44.59,44.92,3.79751,3.80488,0.00763752,0.329998,-0.0559855
2025-05-16,44.54,44.85,3.79639,3.80332,0.00601517,0.309998,-0.0559855
2025-05-19,44.29,44.94,3.79076,3.80533,0.00770473,0.649998,-0.0559855
2025-05-20,44.28,45.61,3.79053,3.82013,0.0224909,1.33,-0.0559855
2025-05-21,43.55,45.57,3.77391,3.81925,0.0206828,2.02,-0.0559855
2025-05-22,43.6,45.17,3.77506,3.81043,0.0119305,1.57,-0.0559855
2025-05-23,43.4,46.06,3.77046,3.82994,0.0311849,2.66,-0.0559855
2025-05-27,44.16,46.04,3.78782,3.82951,0.0317225,1.88,-0.0559855
2025-05-28,43.83,45.57,3.78032,3.81925,0.0210416,1.74,-0.0559855
2025-05-29,44.04,45.85,3.7851,3.82538,0.0274347,1.81,-0.0559855
2025-05-30,43.01,46.48,3.76143,3.83902,0.0397567,3.47,-0.0559855
2025-06-02,43.51,47.16,3.77299,3.85355,0.0549278,3.65,-0.0559855
2025-06-03,45.8,47.07,3.82428,3.85164,0.0558893,1.27,-0.0559855
2025-06-04,45.01,46.66,3.80688,3.84289,0.0461666,1.65,-0.0559855
2025-06-05,44.77,46.87,3.80154,3.84738,0.0503578,2.1,-0.0559855
2025-06-06,45.79,46.52,3.82407,3.83988,0.0441235,0.73,-0.0559855
2025-06-09,46.66,45.82,3.84289,3.82472,0.0300156,0.84,-0.0559855
2025-06-10,47.93,45.85,3.86974,3.82538,0.0321735,2.08,-0.0559855
2025-06-11,49.02,45.87,3.89223,3.82581,0.0338686,3.15,-0.0559855
2025-06-12,49.5,46.81,3.90197,3.8461,0.0546997,2.69,-0.0559855
2025-06-13,51.64,46.67,3.9443,3.8431,0.0540739,4.97,-0.0559855
